Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,RandomSearch-30_mean,RandomSearch-30_std,RandomSearch-30_budget,RandomSearch-30_runtime_mean,RandomSearch-30_runtime_std,RandomSearch-30_tier,RandomSearch-50_mean,RandomSearch-50_std,RandomSearch-50_budget,RandomSearch-50_runtime_mean,RandomSearch-50_runtime_std,RandomSearch-50_tier,RandomSearch-100_mean,RandomSearch-100_std,RandomSearch-100_budget,RandomSearch-100_runtime_mean,RandomSearch-100_runtime_std,RandomSearch-100_tier,RandomSearch-200_mean,RandomSearch-200_std,RandomSearch-200_budget,RandomSearch-200_runtime_mean,RandomSearch-200_runtime_std,RandomSearch-200_tier
Health-ClosedIssues0007,10000,0.5310340215207048,0.0639402325482218,30,0.5042503714561463,0.0592272310549277,3,0.49072491340015506,0.060768043451968755,50,0.8666575670242309,0.09869518646643374,2,0.44128358288831404,0.05249774101058089,100.0,1.7115557074546814,0.09813599811214738,1.0,0.4192382972559646,0.0335109721541516,200,3.6375300526618957,0.1551160252312139,1,0.5432524381178477,0.06895079653698193,30,0.5947261929512024,0.004448636744558385,3,0.5205438405100643,0.06334087359865206,50,0.8505860328674316,0.04192296796734295,3,0.48688080039753795,0.06060144761518054,100,1.0372455835342407,0.006597164732186374,2,0.4708819258159793,0.053914678147643745,200,3.8145569443702696,0.06904444022710712,1
Health-ClosedIssues0008,10000,0.2853411462208778,0.06538682054085408,30,0.4732944965362549,0.05230327770393239,2,0.25631735764900243,0.013787512004546183,50,0.9205079913139343,0.04817122769755558,1,0.24826384717958852,0.00808979758985091,100.0,1.5978625297546387,0.10128110579444628,1.0,0.2430333425073278,0.004560744434278786,200,3.0499614477157593,0.18466723661943585,1,0.30446965780703106,0.04646613774076014,30,0.5122269630432129,0.02630063234048862,2,0.28941259865993413,0.04003387445645791,50,0.9123208403587342,0.05270360905118425,2,0.2580297076677327,0.0150904977359868,100,1.9527400612831116,0.04831074535778768,1,0.2499397716657965,0.006877590647591177,200,3.724313974380493,0.06617500875433133,1
Health-ClosedIssues0009,10000,0.3052427493491183,0.05860709764398778,30,0.5516818523406982,0.04965365725654347,2,0.27918587584535015,0.039358789811897416,50,0.7179885625839233,0.07058169357703115,1,0.26248554460142753,0.011543852019147857,100.0,1.821059226989746,0.03666609179504062,1.0,0.25226660194595574,0.006789822998762331,200,3.061528241634369,0.2214761810353039,1,0.3550860212074426,0.06305129452431595,30,0.5545033574104309,0.022562352111222633,3,0.3175570330270153,0.06320574925924333,50,0.8561836242675781,0.05819909368729544,2,0.27429498680933195,0.024564860860867763,100,1.7034267067909241,0.11119011831988548,1,0.2653285568670493,0.015481390335169473,200,3.612485349178314,0.10760116214893378,1
Health-ClosedIssues0010,10000,0.4861158069839167,0.0063495389787583695,30,0.4239077210426331,0.05788090033214656,3,0.4834194515324389,0.006183716621741864,50,0.7010927438735962,0.04771078272654211,2,0.47846476437547586,0.005895044294737553,100.0,1.4437408208847047,0.1008299842164948,1.0,0.47311852371399404,0.008224806928812663,200,2.8348010659217833,0.19948223516845143,1,0.4865438420362532,0.006426380020759076,30,0.5400368571281433,0.023211646093991397,3,0.4851347578195499,0.006368800136768565,50,0.9641515970230102,0.008559376773361145,3,0.4813195469883489,0.005197299640310448,100,1.5381240248680115,0.10494788145247139,2,0.47696551681060484,0.006492295753099485,200,3.9733144879341125,0.15900818113439913,1
Health-ClosedIssues0011,10000,0.035250023259441474,0.04240838142742045,30,0.4470345854759216,0.06022252033289155,2,0.010699369543357245,0.009046551512052402,50,0.7215848207473755,0.05505227325223646,1,0.005079215245211851,0.0038204676709208065,100.0,1.4788738012313842,0.11260824929845102,1.0,0.00321384456072726,0.0020461060817633025,200,3.097992718219757,0.20133713238285536,1,0.0546849844588147,0.04890080152874415,30,0.49632505178451536,0.047793065961768334,2,0.039720246906527326,0.049904450010927255,50,0.9752446055412293,0.01175307688534189,2,0.011266215385732956,0.00907658459076706,100,2.0770878195762634,0.02647892274083936,1,0.0058259743201099605,0.004910027450153924,200,3.9375364184379578,0.01403313436949953,1
Health-ClosedPRs0000,10000,0.0,0.0,30,0.27285405397415163,0.002464390761484055,1,0.0,0.0,50,0.5699608206748963,0.06823331133301146,1,0.0,0.0,100.0,0.9659983277320862,0.06476257258176746,1.0,0.0,0.0,200,1.9880021929740905,0.19723054544978585,1,0.0,0.0,30,0.3753471851348877,0.002050843432461905,1,0.0,0.0,50,0.604764211177826,0.0023550922068826144,1,0.0,0.0,100,1.3699339985847474,0.05015749404433305,1,0.0,0.0,200,2.2911786675453185,0.1307515585227992,1
Health-ClosedPRs0002,10000,0.021121308675497823,1.3059866396360008e-05,30,0.41641714572906496,0.046890440289018384,2,0.021121308675497823,1.3059866396360008e-05,50,0.6122109532356262,0.06091497570114152,2,0.02099249783456047,0.00040756430063661214,100.0,1.530437207221985,0.07364391308290016,2.0,0.020696461042010762,0.0006890701885641799,200,2.763793182373047,0.2669668294684183,1,0.021121308675497823,1.3059866396360008e-05,30,0.563199782371521,0.0018404310257387015,2,0.021115254095207456,2.9436299366661747e-05,50,0.8780556797981263,0.005915739101560063,2,0.021112333820303468,3.133494686674677e-05,100,1.8266529321670533,0.016416839007161475,2,0.021018994133806125,0.000415800880932421,200,3.763297212123871,0.014530177069282372,2
Health-ClosedPRs0003,10000,0.08309341603589024,1.6324456666696272e-16,30,0.391415011882782,0.04774997495680749,2,0.08309341603589024,1.6324456666696272e-16,50,0.6093364953994751,0.05907090879290156,2,0.08308285214226208,3.7868541659724585e-05,100.0,1.1949504971504212,0.07762168512112477,1.0,0.08307159207631357,6.564854951365082e-05,200,2.612250816822052,0.15259067361000112,1,0.08309179389350554,7.25444128273518e-06,30,0.503366494178772,0.00971364176525052,2,0.08309179389350554,7.25444128273518e-06,50,0.8958560943603515,0.0064641660414953275,2,0.08309179389350554,7.25444128273518e-06,100,1.8386385679244994,0.013854064162770137,2,0.08307867539038442,3.9027271983068965e-05,200,2.6886484384536744,0.007472867289928776,1
Health-ClosedPRs0004,10000,0.3798725972762761,0.08618139506557704,30,0.22338572740554805,0.03034818889158497,2,0.3348303952133597,0.05233448710982738,50,0.3877073287963867,0.0495536131593922,1,nan,nan,nan,nan,nan,nan,0.2898369478974362,0.007539473014862342,200,1.4079587936401368,0.061389440832422704,1,0.4155424762039079,0.10761285133012603,30,0.46191835403442383,0.004570534726939757,2,0.3554308863101666,0.06533487151839291,50,0.9421819686889649,0.012075652902529103,1,0.33611120885282525,0.04162916165656231,100,1.8201508402824402,0.023342376913578506,1,0.3159054176821474,0.028815808298948527,200,3.4112083673477174,0.16175087777575292,1
Health-ClosedPRs0005,10000,0.0010872739047600882,0.0013279030788542331,30,0.22445452213287348,0.03143328550154937,1,0.00013436947789839578,0.00032723552362982883,50,0.35429795980453493,0.035659042834068934,1,4.815742445998631e-06,1.2836244973281664e-05,100.0,0.7110507965087891,0.07233439247164092,1.0,0.0,0.0,200,1.563746702671051,0.13708195982529953,1,0.002297823370419472,0.0028698827932502153,30,0.4590230107307434,0.009459253299193213,2,0.0006820740688842569,0.0008614834628515406,50,0.7656154990196228,0.019566425184454624,1,0.0002073370959672844,0.0004848815383960307,100,1.9688876152038575,0.021804278129325075,1,5.346184091912765e-06,1.5725222154034998e-05,200,2.8563884615898134,0.1968697852427287,1
Health-ClosedPRs0006,10000,0.24924987231160162,0.09427925411839799,30,0.21900937557220454,0.029528681177845847,2,0.2205367269460466,0.08781837326453909,50,0.35341356992721557,0.0337758283204316,2,0.15462375792923932,0.06984929777590788,100.0,0.7171112298965454,0.07215087364503181,1.0,0.11115678577620465,0.044808559711101516,200,1.4480061888694764,0.13969253015051844,1,0.37100729034632846,0.12058042679623816,30,0.5481920957565307,0.019676870681488406,3,0.2798952097863339,0.10605884540343133,50,0.8288710355758667,0.008139991679976186,2,0.22478321386588712,0.08542340304471044,100,1.5193611145019532,0.03776815560456835,2,0.16732760460635343,0.07106660033691788,200,3.0774176597595213,0.22819716026545986,1
Health-ClosedPRs0007,10000,0.08900648528433172,0.03750550916457449,30,0.4505756855010986,0.06305303815686167,2,0.06325673657581835,0.02494539348168146,50,0.8702503561973571,0.03648298672389661,1,0.04286373419922224,0.017383483866019768,100.0,1.9232937693595886,0.040272829326226056,1.0,0.03356823890304893,0.009376930440734933,200,3.191380727291107,0.2462064560776918,1,0.12517115086015979,0.06986684822940038,30,0.49111543893814086,0.006002921888582328,3,0.09205785052676382,0.03905860177154526,50,0.7820346713066101,0.013368494914401497,2,0.06467082196091065,0.025948984789225363,100,1.6297053575515748,0.03907572813920443,1,0.04848335299099922,0.018437712156948397,200,3.0613240361213685,0.21989038003738168,1
Health-ClosedPRs0008,10000,0.6278790313932462,0.05429937436599154,30,0.5389043927192688,0.011282211807382354,2,0.5998551619201989,0.03701369536403393,50,0.380121636390686,0.06621627578263611,1,0.5782656149270081,0.0500197449378049,100.0,1.7149827599525451,0.1194953843543871,1.0,0.5589826901420589,0.03822128603594301,200,3.1136470794677735,0.3281372412221987,1,0.6656898869329861,0.08978477018113905,30,0.4916872262954712,0.048564218355863754,3,0.6193870780140072,0.056388162127454275,50,0.7642467141151428,0.011828193665967164,2,0.6013804982015969,0.031337707838986886,100,1.5259354948997497,0.03385368692987048,1,0.5817620742473001,0.02303049612850012,200,3.2102474570274353,0.21525821417039942,1
Health-ClosedPRs0009,10000,0.5737303818486654,0.1090022743528507,30,0.22212572097778316,0.030123097599883297,2,0.5343351547120028,0.12082808832681027,50,0.46578437089920044,0.06121243054845931,2,0.44831892579055976,0.11399838263741087,100.0,0.7818807125091553,0.0985555375081357,1.0,0.38803619809452006,0.09120014566206004,200,1.620513951778412,0.13466459664783156,1,0.5636417330908162,0.11994995874913522,30,0.458269739151001,0.006611244051632936,2,0.5414945790497884,0.11634740515108814,50,0.9464216470718384,0.008369418239664547,2,0.4992604553848087,0.11575221622996715,100,1.5933330297470092,0.05456715822486066,2,0.42649302149384855,0.10398315435775306,200,3.6891560435295103,0.09851368192236638,1
Health-ClosedPRs0010,10000,0.45430699481673925,0.07478542853831537,30,0.2215062141418457,0.03583875879771569,3,0.42286313947900195,0.057898241013443326,50,0.3553542494773865,0.03584748098874864,2,0.3432389430341002,0.06879255282284624,100.0,0.7155034899711609,0.07261422195021938,1.0,0.27642852221428144,0.06015967557109234,200,3.7820284605026244,0.05674775530913616,1,0.4727297011511363,0.061374856842373635,30,0.5977665185928345,0.0044860488717426246,3,0.4549404365281002,0.061613758722262525,50,0.7974782228469849,0.012599770434311092,3,0.41895579051129184,0.04905009657334587,100,1.5438839793205261,0.02327121108967339,2,0.3886618071474273,0.04830508480049603,200,3.7573935866355894,0.09999786153657161,2
Health-ClosedPRs0011,10000,0.0,0.0,30,0.24399639368057252,0.03824049187706287,1,0.0,0.0,50,0.7453699946403504,0.05773030736693641,1,0.0,0.0,100.0,1.4684801697731018,0.11475665920057966,1.0,0.0,0.0,200,1.6430741786956786,0.26865970260825184,1,0.0,0.0,30,0.4516596794128418,0.003557072721842753,1,0.0,0.0,50,0.7123531818389892,0.005748361921352533,1,0.0,0.0,100,1.4860561728477477,0.016321957319570955,1,0.0,0.0,200,2.935316324234009,0.07861689670544546,1
