Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier
Health-ClosedIssues0008,10000,0.29215973271532,0.05092956380840962,30,5.326886868476867,0.5010803306445721,2,0.2698875289063942,0.03724431042689601,50,10.058438766002656,1.018133821094993,1,0.2570474950619709,0.030198183102862118,100,25.274834787845613,1.9410929483372312,1,0.24092083791619165,0.014914710219910131,200.0,45.822957038879395,4.363970279976964,1.0,0.3120549402279571,0.05450608496398433,30.0,0.47156769037246704,0.009602673788040701,2.0,0.27911304350272004,0.043046839501486314,50,0.7567784667015076,0.05351827322983563,2,0.2621909077123603,0.033983610888992065,100,1.2060765862464904,0.1317693830969186,1,0.2487836681191284,0.024374979308570036,200,2.9465630531311033,0.22865129543090199,1
Health-ClosedIssues0009,10000,0.32683474920986044,0.07083057603369397,30,5.256659281253815,0.42814241971238237,2,0.2826771512611519,0.049663187856570985,50,9.378034245967864,1.0434138539604685,1,0.2657566341762317,0.0479224663736573,100,21.90512263774872,2.2145060575448543,1,0.23867923359816579,0.009576428160116307,200.0,44.77832911014557,4.114113467894149,1.0,0.3428794180165825,0.06732838871638615,30.0,0.4580446004867554,0.005483708422571722,2.0,0.2925190613608344,0.05145429143665829,50,0.7575646758079528,0.010466355546111753,1,0.2620666039918728,0.03403199401757365,100,1.2779393315315246,0.15756455836931357,1,0.25162997240979357,0.03298518961522106,200,2.30347398519516,0.31633606086938754,1
Health-ClosedIssues0010,10000,0.48194697865661346,0.006392265560159643,30,4.8877766013145445,0.43025796507586217,3,0.480639727898075,0.007152178043414932,50,8.952867543697357,1.1108728321050645,3,0.47147805032982354,0.009190357237210794,100,21.144359815120698,2.221873743339353,1,0.466092217054592,0.00958165742705987,200.0,44.065387952327725,5.128811891385789,1.0,0.4845602003885533,0.007857529856221835,30.0,0.5710184216499329,0.010061008021884697,3.0,0.47991640936031965,0.006309901923753381,50,0.9560935497283936,0.010686695919958435,3,0.4758534646935277,0.007036272677564723,100,1.4033156633377075,0.1293739029770077,2,0.46563110989782686,0.008744229351169457,200,3.7757851839065553,0.22149000946000838,1
Health-ClosedIssues0011,10000,0.02696550992919581,0.026886007555061046,30,4.491642165184021,0.46561108222546843,1,0.01920542598562381,0.02608625107980847,50,17.940895116329195,1.3726796911578194,1,0.004068016044017895,0.006960253939265764,100,20.59467006921768,2.579955263986386,1,0.0023269787154478303,0.0061954276855597625,200.0,36.79263453483581,4.792564362062101,1.0,0.06378762415411904,0.05468782905772773,30.0,0.5652207970619202,0.005953860865294588,2.0,0.03247251046279477,0.040114386733549244,50,0.8243118643760681,0.04453094242336613,1,0.007226258967344165,0.010304742901189264,100,1.9619139432907104,0.03725865592356263,1,0.0017466877645202152,0.001588994866230419,200,4.275335204601288,0.1261174582558521,1
Health-ClosedPRs0000,10000,0.0,0.0,30,4.023287379741669,0.5425908952094955,1,0.0,0.0,50,7.68355963230133,1.0416847166228613,1,0.0,0.0,100,19.063914930820467,2.6237744190342784,1,0.0,0.0,200.0,35.22536514997482,4.488741489082557,1.0,0.0,0.0,30.0,0.33918132781982424,0.004958149511659226,1.0,0.0,0.0,50,0.6251851677894592,0.010379831849065567,1,0.0,0.0,100,1.2692467093467712,0.03743540153314089,1,0.0,0.0,200,2.405310034751892,0.05471796788617772,1
Health-ClosedPRs0002,10000,0.021096542354763482,0.00011453903330245893,30,4.551448321342468,0.6298053863391442,3,0.020784463910868224,0.0006390758630551448,50,7.546447670459747,1.089486425595951,2,0.020178411754139508,0.0008819086268035055,100,17.77962120771408,2.298785657862578,1,0.02007796430732477,0.0008803153433115123,200.0,37.34859807491303,5.120454092330186,1.0,0.02109859126573969,0.00011465521138019843,30.0,0.5294787645339966,0.010875629196735967,3.0,0.02097836802725273,0.0004086963921819924,50,0.8031305313110352,0.014258102514534486,3,0.020852566704661346,0.0006009327420438385,100,1.801525318622589,0.07044667227816244,2,0.02024868626821305,0.0008312028105114779,200,3.470013988018036,0.12612856429952343,1
Health-ClosedPRs0003,10000,0.083064398309853,0.00012977121594345744,30,4.261550772190094,0.5467242178106274,3,0.08304721881638054,0.0001636612897247222,50,8.0590771317482,1.1055080528784231,3,0.08249661413685476,0.0007479565928585053,100,18.396261358261107,2.435637011420646,1,0.08246420132170461,0.000832047872141108,200.0,37.36668659448624,4.169213821394527,1.0,0.0829636089857117,0.00025833227030044604,30.0,0.46050013303756715,0.008638066215271398,3.0,0.08271019089874551,0.0006752866928658155,50,0.7773659944534301,0.012629772970084316,2,0.082497786977923,0.0006424858510627439,100,1.8445626139640807,0.08806477515180036,1,0.08215040938545833,0.0007679446148544712,200,3.2664589047431947,0.5732274560021868,1
Health-ClosedPRs0004,10000,0.3237017767925444,0.06861095802604673,30,5.429679048061371,0.6256896912973477,1,0.30244772526325525,0.033994952161301696,50,8.443996596336365,1.165707265638378,1,0.29166432994954616,0.03646740527870864,100,19.903754436969756,2.756494320296796,1,0.2806280566379677,0.005686748511593477,200.0,38.79978835582733,5.128202477255433,1.0,0.37100938340956857,0.10974974390006605,30.0,0.5192100405693054,0.008410433820557879,2.0,0.3072945512731323,0.036608890195166804,50,0.7909110069274903,0.027236613540623834,1,0.2863207968133288,0.008583254178306708,100,1.4788087606430054,0.14825142918451112,1,0.28139722297753356,0.006018990899379282,200,2.762461268901825,0.4768623475656968,1
Health-ClosedPRs0005,10000,0.001340562116072121,0.004034395616073244,30,4.493973839282989,0.562781419008538,2,0.0006343199768692207,0.001953947627300637,50,8.325497364997863,1.1588129819793889,1,0.00023960307365559507,0.0007988615518879327,100,18.976876819133757,2.2401482416305813,1,0.0,0.0,200.0,36.144532561302185,5.684000626531754,1.0,0.003282711202888039,0.005274612708753825,30.0,0.5241439342498779,0.02927139845307849,2.0,0.0016290762205700391,0.004670949147334846,50,0.6835288524627685,0.014863022446173184,2,0.00010218590254856285,0.0004322653087273272,100,1.4263574719429015,0.04105870181146891,1,0.0,0.0,200,3.581184506416321,0.21575300888751417,1
Health-ClosedPRs0006,10000,0.2975003644082965,0.15922333914150036,30,4.580322778224945,0.6496651404701003,3,0.17449903960502763,0.1455577533692808,50,8.437441229820251,1.1355390672883057,2,0.12321067872851713,0.09217684991299616,100,18.822875380516052,2.353269403978591,1,0.0656293515719919,0.07239869619014482,200.0,38.54686051607132,4.665758183080562,1.0,0.28067997432914965,0.1637732516206373,30.0,0.44329993724822997,0.00554509581802425,3.0,0.21316956060856412,0.15287067162089804,50,0.8844548106193543,0.012903114874649745,2,0.09711925076389921,0.07171427571371793,100,1.6305490970611571,0.10014010417801607,1,0.05794121171273262,0.01911365987707928,200,3.93987557888031,0.35522822712004126,1
Health-ClosedPRs0007,10000,0.08114809757737977,0.04931932989130895,30,4.440011000633239,0.5147327756351083,2,0.0561937412270566,0.03841492026189634,50,10.079298913478851,1.154273956470469,2,0.026456200645978655,0.01822185700955806,100,18.946680986881255,2.5407333491124686,1,0.017799045087127076,0.029313737516806396,200.0,36.06936948299408,5.180529593087302,1.0,0.11934927875602701,0.10750508144472026,30.0,0.5695279002189636,0.009044267815621678,3.0,0.06927545972919888,0.04512235924198454,50,0.7315621972084045,0.016508252167500768,2,0.027738019785808726,0.01625254742950242,100,3.289474308490753,0.08584222841418657,1,0.016941885386486687,0.010711860039467034,200,3.501904010772705,0.1853206160056238,1
Health-ClosedPRs0008,10000,0.6400246510032422,0.08878240004736168,30,5.212337481975555,0.5713519443015977,3,0.5827976454327378,0.11389622086999478,50,6.888637232780456,1.1224703400432066,3,0.5293693638860644,0.13017514092728133,100,19.766622030735014,3.3287870829792223,2,0.36380117429315006,0.20663110799730974,200.0,33.789453864097595,7.632097325202544,1.0,0.5469176819006406,0.12519833199394326,30.0,0.4574743151664734,0.007113412167560788,2.0,0.5044193675063948,0.13052996241596282,50,0.6784994602203369,0.014494580546170137,2,0.37733080970147526,0.17717405735920766,100,1.372547972202301,0.0722626513202887,1,0.291447326571089,0.1721635622295174,200,2.063356614112854,0.3712007076609933,1
Health-ClosedPRs0009,10000,0.5327853217186651,0.15634203103482236,30,3.694566822052002,0.503382032063566,2,0.5073746781792706,0.16339899288269688,50,7.342130076885224,0.9883912848195804,2,0.47209464223088826,0.16219294367345163,100,14.846194851398469,2.0091709945796783,2,0.38970828918408096,0.1512761800273559,200.0,29.372008287906645,7.208247116657762,1.0,0.5124494234944426,0.13000196689989438,30.0,0.4528533101081848,0.005820411685416078,2.0,0.4558409123203873,0.12357373101517632,50,0.7931180238723755,0.02334244743507359,2,0.40359976835081285,0.11952460241794763,100,1.3848880410194397,0.08778110393737483,1,0.37101997078143295,0.10515052881204094,200,1.7022845149040222,0.2945264049644021,1
Health-ClosedPRs0010,10000,0.42924753659871523,0.10527235456479699,30,4.011850249767304,0.5448999705543577,2,0.36874257168684915,0.11840479540202323,50,7.11643352508545,1.1199844728056296,2,0.284689234273289,0.0681012429462361,100,15.358136630058288,2.2566936385503475,1,0.24303231590784397,0.04635856821737142,200.0,27.550702810287476,7.620994968755095,1.0,0.4107266229057148,0.12606575055704403,30.0,0.5660954594612122,0.014934921594606023,2.0,0.3623489829725134,0.1235311239275829,50,0.7448405742645263,0.024049080850081284,2,0.31070764035409987,0.11311559159912589,100,1.2732905387878417,0.09069617032426688,1,0.2784310037759935,0.10117689713886244,200,3.3777072429656982,0.43585934437329327,1
