Dataset,Rows,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier
FM-500-100-1.00-SAT-1,10000,0.33352746963044944,0.02703506944200935,30,0.4500330567359924,0.009104459308641222,2,0.3136236716974109,0.01742876714013851,50,0.7600884556770324,0.10794290229637452,1,0.3032733629668898,0.011290356688128608,100,0.830174720287323,0.03575104809757426,1,0.2977446379621733,0.005872821838206599,200,1.6975151300430298,0.08347064994529171,1,0.33997525129600187,0.028343258653002953,30.0,0.4593821167945862,0.010559129956109836,2.0,0.3160167915234153,0.01758217927782,50,0.6377459287643432,0.010607165663376722,1,0.29857392547605416,0.006162719985274657,100,1.5183405518531798,0.024850109937018014,1,0.29493791416273846,0.0051905669936825214,200,1.7140750885009766,0.0942378912028793,1
HSMGP_num,3456,0.03903427250004492,0.01629761294751435,30,0.13671309947967525,0.005940283275888853,3,0.034152041303611214,0.013847190162122894,50,0.2411733388900757,0.005677325300980533,3,0.02587566976112383,0.014092360268931242,100,0.48008636236190794,0.011808353394331074,2,0.013114364685070759,0.012900741525129362,200,0.8666669249534606,0.10569189990933049,1,0.03397231033102932,0.013318100099051464,30.0,0.14875687360763545,0.005073759922079798,3.0,0.030416778743619043,0.013457689417996533,50,0.1631489515304565,0.0046005067509715895,3,0.02357749349346138,0.014421987263401596,100,0.3309277415275574,0.006085498235950215,2,0.011161720068832714,0.010600542678698237,200,0.8066357254981995,0.09893309590243753,1
HSQLDB,864,0.005406755913387731,0.010775431480375554,30,0.15650488138198848,0.006121552158489517,2,0.0029195487120019198,0.0014559136823946391,50,0.2505056619644165,0.006828916987218707,1,0.00212352141413641,0.0008588629829495654,100,0.44821680784225465,0.009581447303702,1,0.0017468747116163156,0.00040378672324201055,200,0.8264176249504089,0.1067909400635033,1,0.005992281326805299,0.007924688919894111,30.0,0.14392492771148677,0.004435601350783691,2.0,0.0037108315123366743,0.004725328557883863,50,0.24309239387512202,0.004509869996226168,1,0.001788401260927305,0.00043635568960223624,100,0.5998957514762878,0.010843997143795489,1,0.0016356018921395853,7.228729085558016e-05,200,0.8135952115058899,0.10268466527183576,1
Health-ClosedIssues0000,10000,0.5998793771948534,0.26796595878026114,30,0.3973628044128418,0.02848328008212643,2,0.5230160546009126,0.30849905259196625,50,0.6786670923233032,0.0447992149040574,2,0.42869797628762873,0.3200071611941802,100,1.1026044964790345,0.145188008013898,1,0.4088983825783911,0.3285174965038885,200,3.179410219192505,0.15240723294520378,1,0.6295484150552464,0.2608777707669894,30.0,0.3959389328956604,0.01997455067558393,2.0,0.6015774262002489,0.26196494466048686,50,0.6502517223358154,0.03304193822130254,2,0.46575260604788316,0.3194559217076561,100,1.1045273184776305,0.154082891251808,1,0.4121782499048475,0.32863602364427114,200,2.0585883975028993,0.191160136847813,1
Health-ClosedIssues0001,10000,0.4613871306995816,0.016201920685092422,30,0.39589978456497193,0.030743034878428305,3,0.4510551642410032,0.020361549715786985,50,0.6598143100738525,0.042728073665569154,2,0.4451191967340048,0.025057984089711074,100,1.0610045671463013,0.1423250029951354,1,0.43705139469665966,0.030041031248203027,200,2.6714178562164306,0.21173328431430988,1,0.46561882721415315,0.016550684548585902,30.0,0.39788362979888914,0.021943502675282094,3.0,0.45507612850013696,0.016869788331539293,50,0.6521552205085754,0.030067771319569118,2,0.4436521284432762,0.02349913346851995,100,1.097208309173584,0.13277835366016422,1,0.4352029887726789,0.030958798049816258,200,3.124493861198425,0.15603667927089232,1
Health-ClosedIssues0002,10000,0.2114716612843588,0.1389139635846678,30,0.3988935470581055,0.02630184021787294,2,0.18040955472443407,1.2312804336657292e-15,50,0.6381423354148865,0.04737983993957183,1,0.18040955472443387,1.461158640125628e-15,100,1.0744497776031494,0.13643531459572847,1,0.1804095547244337,1.6256010006047357e-15,200,2.766661834716797,0.2264576135806332,1,0.17485269857381577,0.024709555547526418,30.0,0.4112309098243713,0.022185219907151943,1.0,0.1748217895155606,0.024847783020389206,50,0.6743188977241517,0.034414712822439984,1,0.16772784107045782,0.03329143209794106,100,1.0953187942504883,0.15681931408073524,1,0.15965433753269567,0.03933855541649607,200,2.432864081859589,0.2352168001469892,1
Health-ClosedIssues0003,10000,0.27620084023666996,0.06772541337520394,30,0.4128204584121704,0.031996318585098084,3,0.2649534874955061,0.06549492957027622,50,0.44686689376831057,0.028320529211088488,2,0.25095730163303437,0.06614839335090085,100,1.0730640292167664,0.13910456510474203,2,0.20012994625285824,0.06477671774428245,200,2.2155335187911986,0.2302881136867957,1,0.287629548022059,0.0628652495716019,30.0,0.42539448738098146,0.017380405187661728,3.0,0.2783457036881124,0.0671631436175345,50,0.7026154518127441,0.02304614455181776,3,0.2511141853406903,0.06584457723218183,100,1.1235811829566955,0.16023769607514338,2,0.21949440535153175,0.07162945201055315,200,2.279530239105225,0.2487526657846454,1
Health-ClosedIssues0004,10000,0.3054543834967949,0.013054088114079045,30,0.4052399039268494,0.02483402953477823,3,0.2962578515336357,0.013149206502348841,50,0.6397973775863648,0.07131479152517589,2,0.29059669424422974,0.013406498405018438,100,1.1677942156791687,0.16703748576296296,1,0.2819346393158195,0.014130758809426347,200,2.704981541633606,0.232687371250652,1,0.3011791836518417,0.011067890434943209,30.0,0.4104233503341675,0.033974271760070736,3.0,0.29611076699165084,0.011901329561406583,50,0.6922251343727112,0.03157733330989333,2,0.2875134322610174,0.01271795255747607,100,1.6919534921646118,0.0781854699942373,1,0.2823918960224509,0.013124901125800247,200,2.267952048778534,0.10768728809143999,1
Health-ClosedIssues0005,10000,0.2435006796328157,0.006877237305231522,30,0.47073572874069214,0.033350798528242666,2,0.24116430408511708,0.008792885811132817,50,0.6891036868095398,0.03514468518100694,2,0.23757364452989077,0.007776650833920586,100,1.6668160796165465,0.07810904084924865,1,0.23470666769163104,0.007383994907895122,200,2.0811622381210326,0.2169312844265223,1,0.24359749414572002,0.010893970582050817,30.0,0.5247343897819519,0.024119219697096444,2.0,0.23953918639080532,0.005553765896611903,50,0.6817590236663819,0.03743857555174107,2,0.23655151691751164,0.008076375500498927,100,1.196435308456421,0.12819158099153682,1,0.23375074976526528,0.008292840910793374,200,3.0850833296775817,0.09588221385654445,1
Health-ClosedIssues0006,10000,0.13836809393188867,0.030595457187852237,30,0.54744553565979,0.04236350191980277,2,0.12867578943818928,0.027746660694209693,50,0.8734511375427246,0.051080905972687815,2,0.11500648735170915,0.017674224025127003,100,1.7644389390945434,0.1008171209975767,1,0.10660093922954017,0.010300207873187391,200,3.3452516913414003,0.1401660595805861,1,0.13741762891092923,0.0341238042856833,30.0,0.4000439167022705,0.019582149878499273,2.0,0.1264174441619591,0.03162069679405671,50,0.6833082795143127,0.06789236333733564,2,0.11512134137526527,0.030412175940542917,100,1.1503251791000366,0.060688731074180886,1,0.11053275493817502,0.030612621308421815,200,2.433638882637024,0.21911887498277524,1
Health-ClosedIssues0007,10000,0.5792985999586818,0.06171841000854354,30,0.4962547540664673,0.045205132010950506,2,0.570811781153377,0.06385278316861123,50,0.7331307888031006,0.056994413709497135,2,0.5351552767490062,0.09840702903618292,100,1.6538394570350647,0.10339979107046993,1,0.502407838225844,0.11652374880507076,200,3.4589947700500487,0.20484930888171302,1,0.5898686469208809,0.02107670380633194,30.0,0.4730093955993652,0.035276464151652066,2.0,0.5719484199552671,0.0473893761788259,50,1.0283953428268433,0.06295389582931708,2,0.5226487894060933,0.09919749744108794,100,1.834235668182373,0.08315120733694549,1,0.4759418986816872,0.12380594570614216,200,2.890367269515991,0.3020260405724786,1
Health-ClosedIssues0008,10000,0.4315396487913968,0.11096274566918488,30,0.42778881788253786,0.03353706967019936,2,0.39427895649982997,0.1254941868613004,50,0.8018599867820739,0.0624556723075496,2,0.36313664469229073,0.13172368281833047,100,1.3438045501708984,0.12445467273938783,1,0.32454418166644694,0.1281693232582523,200,3.4698128700256348,0.11944852726603675,1,0.45024055170789534,0.11216231893626012,30.0,0.546125864982605,0.028086794372121124,2.0,0.4204158738204885,0.11551175531592944,50,0.7005920767784118,0.04215811091677567,2,0.3635012875647814,0.1320692277851564,100,1.3556623458862305,0.10658000245021017,1,0.33141943419413605,0.1305829706877564,200,2.8223938941955566,0.19834666411037458,1
Health-ClosedIssues0009,10000,0.4311053018881325,0.05938228401212684,30,0.4960823655128479,0.038423806957737235,2,0.4126136685000111,0.08257101046730325,50,0.8353560566902161,0.053696091181014406,2,0.38953322121212314,0.09450750601574898,100,1.1625093698501587,0.16645890778886965,1,0.35620726429500715,0.10452081926069683,200,3.246354305744171,0.14547534630217437,1,0.42374627007331817,0.06766366512461369,30.0,0.5170037269592285,0.02403317464100293,2.0,0.41425514376158795,0.07998346629599229,50,0.8572513937950135,0.05003971447434327,2,0.4016307734579209,0.08153664420105035,100,1.8900062441825867,0.17997188636892542,2,0.3889863181196125,0.08283672981747735,200,3.0237758636474608,0.2847758149009584,1
Health-ClosedIssues0010,10000,0.4877835524850518,0.007716545376256462,30,0.4985537648200989,0.03572057881787797,2,0.48516255127812535,0.008163866194300207,50,0.8409752607345581,0.05990038538371777,2,0.48127896735424897,0.011511389637722408,100,1.5593839287757874,0.12034365254616142,1,0.47695294406546573,0.013449247051357851,200,3.1908856630325317,0.17433016309879518,1,0.48960032618431243,0.005995500477072769,30.0,0.509471321105957,0.023109503923929787,2.0,0.4861020061077294,0.007227906341491313,50,0.8055105805397034,0.034861511296181466,2,0.4806985395186798,0.009892430095604893,100,1.7920066714286804,0.067679484121569,1,0.47420869847922786,0.012620157889341456,200,3.866352045536041,0.17719259960007316,1
Health-ClosedIssues0011,10000,0.14579240174813518,0.09754208934405159,30,0.518478512763977,0.03408848887476306,2,0.10512068599399801,0.08427165477163011,50,0.7277774572372436,0.03956489624112273,2,0.07212364346380659,0.06823718585357062,100,1.522927451133728,0.06736968550694912,1,0.04541559548163584,0.06315328103266792,200,2.418863022327423,0.1745487462222611,1,0.1402629293760938,0.10895086691316368,30.0,0.5237903475761414,0.03224721910609881,2.0,0.10233915667695462,0.08849755944402989,50,0.8450314998626709,0.043185771166422145,2,0.06984499062999362,0.06966545498002119,100,1.5658769488334656,0.06556476939681258,1,0.04541505396058832,0.051642976216849525,200,2.1051201462745666,0.19716433472369457,1
Health-ClosedPRs0000,10000,0.0,0.0,30,0.2772157311439514,0.018922206912723817,1,0.0,0.0,50,0.46793498992919924,0.03398634114071734,1,0.0,0.0,100,0.9533465266227722,0.0799348448164196,1,0.0,0.0,200,1.8538512706756591,0.09532895768094762,1,0.0,0.0,30.0,0.26825478076934817,0.012199417309607686,1.0,0.0,0.0,50,0.46357648372650145,0.02177855912762923,1,0.0,0.0,100,1.2497156381607055,0.0673368006624867,1,0.0,0.0,200,2.001007413864136,0.13692760619233552,1
Health-ClosedPRs0002,10000,0.02112422895040175,1.9059202359400131e-16,30,0.517840850353241,0.032875202560161666,2,0.021123456414235537,3.454886765526663e-06,50,0.6214664936065674,0.033756454859947,2,0.021123456414235537,3.454886765526663e-06,100,1.4013762831687928,0.05065722989641958,2,0.02111611793867798,3.627354716135365e-05,200,2.8092043876647947,0.19070472783095133,2,0.021039602935538127,0.0003784590437999581,30.0,0.9419538736343384,0.0533528637205342,2.0,0.021039602935538127,0.0003784590437999581,50,0.6775986790657044,0.038147464664423036,2,0.021003599682731865,0.000403412433422701,100,1.4721888542175292,0.10855392183953196,2,0.02087999313265509,0.0005971988869701449,200,2.8213212370872496,0.17694989072172648,1
Health-ClosedPRs0003,10000,0.08308143211089546,5.359374185123254e-05,30,0.4333693504333496,0.023579089458290115,1,0.08300785947074338,0.00033500149166965304,50,0.800937807559967,0.04739561284201404,1,0.0829760639181292,0.00036749876997756994,100,2.867797076702118,0.1947589964110144,1,0.08284802668743085,0.0005261043152881867,200,2.5661407232284548,0.18294556087834013,1,0.08307943187924896,6.253904971617812e-05,30.0,0.4265834212303162,0.02088354243952444,1.0,0.08301522337265657,0.00034968822066448215,50,0.7997879266738892,0.031300892173513215,1,0.08300961347690014,0.0003747764371806081,100,1.477075982093811,0.10839047519953417,1,0.0829799929532967,0.0004147173433102458,200,3.8773307323455812,0.21883445709027394,1
Health-ClosedPRs0004,10000,0.5394983312705302,0.17352965657306535,30,0.3945336937904358,0.02906657131673162,2,0.4864604908695259,0.1695610179508821,50,0.6647836089134216,0.037574025376233056,2,0.4398340460855158,0.15226456410480102,100,0.899439787864685,0.054619802202746565,1,0.3805385612585266,0.12283979836193266,200,3.1969941020011903,0.1387266078791844,1,0.5550719019578298,0.13005037059093388,30.0,0.3983659267425537,0.021373091356890875,2.0,0.5075976493619885,0.13251657949186502,50,0.777922785282135,0.06369612284268512,2,0.4396617712610234,0.14679985508593957,100,1.276141059398651,0.07932797569096094,1,0.3716242052613611,0.12082189092727541,200,3.1194326996803285,0.23863399904987947,1
Health-ClosedPRs0005,10000,0.01873885666921552,0.0460683961790574,30,0.3987621426582336,0.03285562890920798,2,0.008198644454517732,0.012596457668836358,50,0.6735038161277771,0.06183447663343062,1,0.001978327315635081,0.004504986327174798,100,1.4589032173156737,0.1170071952859824,1,0.0012352133883243481,0.0040919589081267116,200,2.7885979294776915,0.214886311265082,1,0.017147837481998322,0.05246196397231816,30.0,0.4840352773666382,0.025399801882828203,2.0,0.004969488820763422,0.010999093726592846,50,0.4319731593132019,0.020424585978438645,1,0.00216696708137418,0.004658060461225543,100,1.2562345027923585,0.05410501139090234,1,0.00045670395860277223,0.0012285574047937854,200,2.684136247634888,0.22381198387636314,1
Health-ClosedPRs0006,10000,0.5220683605736881,0.1294886456153136,30,0.3517420649528503,0.021750426014896938,2,0.46596549215250127,0.17680120360160106,50,0.449172043800354,0.03588690673547161,2,0.3664268360923165,0.22497037533374967,100,1.1799071669578551,0.050072635233519264,1,0.2292551564549196,0.21074900136437377,200,2.363990545272827,0.16425188043516126,1,0.507239000659184,0.1309062636505204,30.0,0.4112225890159607,0.020513522688768795,2.0,0.47773562324146035,0.16284446804339148,50,0.6443867564201355,0.033979536322024655,2,0.3534654272215714,0.20819808943428383,100,1.5543054699897767,0.07196305525655627,1,0.26568016208396766,0.24394083685143214,200,2.6446173429489135,0.13926613951966785,1
Health-ClosedPRs0007,10000,0.23158956935649838,0.15109886715020038,30,0.26574360132217406,0.017846805602443738,2,0.20374584471847396,0.14651792476707654,50,0.6466391086578369,0.03880790025690871,2,0.1375939376722296,0.12954501777076838,100,1.342941677570343,0.11053836132857531,1,0.08715808338386326,0.11570808843523042,200,2.348047339916229,0.1680195137492287,1,0.29076469505952474,0.13587636564969996,30.0,0.3689642310142517,0.015775103735596995,2.0,0.23045997384998268,0.14369873991436996,50,0.6535292387008667,0.034119761575546644,2,0.15782098456831453,0.13188395164610267,100,1.2031891703605653,0.0646700364660867,1,0.11130711557166229,0.12535889077441437,200,2.44067804813385,0.18462706116907335,1
Health-ClosedPRs0008,10000,0.7610672062117465,0.124516362051504,30,0.4869533181190491,0.05274671880097496,2,0.7366728002931487,0.13088877246558472,50,0.6719834923744201,0.04471001905161122,2,0.694375015104505,0.14000546829243266,100,0.8717404007911682,0.0568330828087285,2,0.6088529783565289,0.18995986006691176,200,2.0904881596565246,0.20551496584174206,1,0.7246545108167475,0.16229654219325043,30.0,0.2704958200454712,0.010284679795698432,2.0,0.6837971556924195,0.16837599072229217,50,0.6299597740173339,0.027646320424273823,2,0.6316604180915465,0.16282091444786279,100,1.184983777999878,0.05482026662309648,1,0.5574279137466254,0.15105814855248564,200,2.3569955229759216,0.17159604400403683,1
Health-ClosedPRs0009,10000,0.6505751258367973,0.06948340500951729,30,0.4323683500289917,0.029573032548437662,3,0.6421315163704446,0.07069453582059292,50,0.6606344938278198,0.0409475861154362,3,0.6121672510512117,0.10888864807139094,100,1.2630015850067138,0.09032139596489305,2,0.5467501837236838,0.1533120898620221,200,2.3003929615020753,0.22979245565633005,1,0.6432018905170614,0.08353356912715143,30.0,0.2708306789398193,0.009466182235469321,3.0,0.6276124721442196,0.09918874542757293,50,0.804716956615448,0.05095318315453447,3,0.6083939083511795,0.12015561361408117,100,1.1761142373085023,0.06420081275780275,2,0.6013610698481029,0.1284870880399076,200,2.8771737217903137,0.2514679509954509,2
