Dataset,Rows,GA-30_mean,GA-30_std,GA-30_budget,GA-30_runtime_mean,GA-30_runtime_std,GA-30_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.38078045774294644,0.06948734764838918,30,0.4655707120895386,0.04372343324725625,3,0.3657319327003529,0.07013128513917376,50,0.6443840980529785,0.08829143621826892,3,0.35340132380264505,0.07339504214101462,100,1.0143664240837098,0.1256067979269361,3,0.32741012457463187,0.07053390372911941,200,1.4776697874069213,0.22073299295464432,2,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,2,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.4855770545685688,0.007079004401235799,30,0.4736698269844055,0.051580463330164056,2,0.4822927584491513,0.009967633791100031,50,0.6751392483711243,0.08836075279050394,2,0.47806902211143,0.010460738700287962,100,0.778400993347168,0.07818651597643989,1,0.4762059198295997,0.010873533699643795,200,1.5286200642585754,0.15569515331457515,1,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,2,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.05692358489770409,0.05751394282410382,30,0.3984596848487854,0.03455929352203897,2,0.047240113737716305,0.057661567564920954,50,0.6031873226165771,0.06126417716312134,2,0.030191913157581723,0.03547944605933221,100,0.9187061786651611,0.09999260744872787,1,0.021900747296331534,0.034232494655788225,200,1.3623638510704041,0.13699271163287322,1,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,2,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,0.30722029209136964,0.02295798486093568,1,0.0,0.0,50,0.537055778503418,0.03641687276997553,1,0.0,0.0,100,0.6324253559112549,0.11176191513756499,1,0.0,0.0,200,1.5574162483215332,0.11948060262208375,1,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.02112422895040175,1.9059202359400131e-16,30,0.40278284549713134,0.03380318377063775,2,0.02112422895040175,1.9059202359400131e-16,50,0.6014116644859314,0.05100262169632658,2,0.02112422895040175,1.9059202359400131e-16,100,1.0989955425262452,0.09259869899237261,2,0.02112422895040175,1.9059202359400131e-16,200,1.838417410850525,0.19666580863135297,2,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,2,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,2,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,2.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,1.0
Health-ClosedPRs0003,10000,0.08308326937186843,4.53772609952458e-05,30,0.41014963388442993,0.039814481621795884,2,0.08308326937186843,4.53772609952458e-05,50,0.5883273363113404,0.06131571950106655,2,0.083060942499445,0.0001452260699227354,100,1.1306310892105103,0.1759025706622295,2,0.08305548708011541,0.00014563506010637135,200,1.427949321269989,0.2725720129952648,2,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,2,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,2,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,2.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,1.0
Health-ClosedPRs0004,10000,0.45448345207971175,0.14061321658989973,30,0.4425928592681885,0.042604161890672114,3,0.4187102244274345,0.1231654837280652,50,0.5879401564598083,0.0657653193095747,3,0.3805519965546347,0.12383792375669742,100,0.7003317713737488,0.1132369922194632,2,0.36903727084700666,0.11851237791307284,200,1.0956770300865173,0.15727573118469998,2,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,2,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.00323215985515165,0.004815842210698839,30,0.46730221509933473,0.04149083269804078,2,0.0020671604998551882,0.004388337041470428,50,0.56456059217453,0.08775864923027275,2,0.001130268499831722,0.0026851280133024353,100,0.8195247888565064,0.11926713400635595,1,0.00079831620415775,0.001871587031700258,200,1.375444734096527,0.1803762639315084,1,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,1,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.4173123216823596,0.14271341616364472,30,0.38938751220703127,0.03333486929519147,2,0.373164668935595,0.1787315256716238,50,0.4487565040588379,0.05462934115555678,2,0.31841910350866426,0.19763994857855363,100,0.6953772902488708,0.10296566420849877,2,0.255924739939029,0.18277843302337107,200,1.1706446051597594,0.19617919207887233,1,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,1,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.16089479793300382,0.11693647407004715,30,0.36205599308013914,0.03563557587132347,2,0.1420375642979245,0.11853285779538666,50,0.3354195594787598,0.04595620503525435,2,0.12070258560627334,0.11267828673300503,100,0.5028701305389405,0.07382177612708868,2,0.10126049163178852,0.10769385211860917,200,1.3867536425590514,0.18434527315794613,2,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,2,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
