Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,DODGE-30_mean,DODGE-30_std,DODGE-30_budget,DODGE-30_runtime_mean,DODGE-30_runtime_std,DODGE-30_tier,DODGE-50_mean,DODGE-50_std,DODGE-50_budget,DODGE-50_runtime_mean,DODGE-50_runtime_std,DODGE-50_tier,DODGE-100_mean,DODGE-100_std,DODGE-100_budget,DODGE-100_runtime_mean,DODGE-100_runtime_std,DODGE-100_tier,DODGE-200_mean,DODGE-200_std,DODGE-200_budget,DODGE-200_runtime_mean,DODGE-200_runtime_std,DODGE-200_tier
Health-ClosedIssues0007,10000,0.5310340215207048,0.0639402325482218,30,0.5042503714561463,0.0592272310549277,3,0.49072491340015506,0.060768043451968755,50,0.8666575670242309,0.09869518646643374,2,0.44128358288831404,0.05249774101058089,100.0,1.7115557074546814,0.09813599811214738,1.0,0.4192382972559646,0.0335109721541516,200,3.6375300526618957,0.1551160252312139,1,0.5432524381178477,0.06895079653698193,30,0.44507771730422974,0.00441275848024009,3,0.5206292713394515,0.06343229853006274,50,0.7815467715263367,0.024687455296252745,3,0.4972618039772024,0.06441269393081556,100,1.1571096062660218,0.2634114450319655,2,0.48632584785113053,0.0600367689559347,200,1.6585619449615479,0.6354831795088691,2
Health-ClosedIssues0008,10000,0.2853411462208778,0.06538682054085408,30,0.4732944965362549,0.05230327770393239,2,0.25631735764900243,0.013787512004546183,50,0.9205079913139343,0.04817122769755558,1,0.24826384717958852,0.00808979758985091,100.0,1.5978625297546387,0.10128110579444628,1.0,0.2430333425073278,0.004560744434278786,200,3.0499614477157593,0.18466723661943585,1,0.30446965780703106,0.04646613774076014,30,0.48789998292922976,0.016126985099996813,2,0.28941259865993413,0.04003387445645791,50,0.8216716885566712,0.017438882851422224,2,0.2580297076677327,0.0150904977359868,100,1.3940478324890138,0.17609288545429685,1,0.2499397716657965,0.006877590647591177,200,2.5528766393661497,0.2395883887040688,1
Health-ClosedIssues0009,10000,0.3052427493491183,0.05860709764398778,30,0.5516818523406982,0.04965365725654347,2,0.27918587584535015,0.039358789811897416,50,0.7179885625839233,0.07058169357703115,1,0.26248554460142753,0.011543852019147857,100.0,1.821059226989746,0.03666609179504062,1.0,0.25226660194595574,0.006789822998762331,200,3.061528241634369,0.2214761810353039,1,0.3550860212074426,0.06305129452431595,30,0.5438283681869507,0.019492669438251342,3,0.3175570330270153,0.06320574925924333,50,0.7753597497940063,0.020420735662699172,2,0.280229389833594,0.03952526441155697,100,1.8911432862281798,0.21378627192639127,1,0.2712629598913115,0.03620095990457815,200,3.4971220970153807,0.5919088267054399,1
Health-ClosedIssues0010,10000,0.4861158069839167,0.0063495389787583695,30,0.4239077210426331,0.05788090033214656,3,0.4834194515324389,0.006183716621741864,50,0.7010927438735962,0.04771078272654211,2,0.47846476437547586,0.005895044294737553,100.0,1.4437408208847047,0.1008299842164948,1.0,0.47311852371399404,0.008224806928812663,200,2.8348010659217833,0.19948223516845143,1,0.4865438420362532,0.006426380020759076,30,0.6424094557762146,0.08400679618676282,3,0.4851347578195499,0.006368800136768565,50,1.0053972363471986,0.007755691874960078,3,0.48148219906913275,0.005334997696808986,100,1.3298752307891846,0.21518295135257115,2,0.47910672064778703,0.0059422999125934165,200,3.014139974117279,0.8928272458917088,1
Health-ClosedIssues0011,10000,0.035250023259441474,0.04240838142742045,30,0.4470345854759216,0.06022252033289155,2,0.010699369543357245,0.009046551512052402,50,0.7215848207473755,0.05505227325223646,1,0.005079215245211851,0.0038204676709208065,100.0,1.4788738012313842,0.11260824929845102,1.0,0.00321384456072726,0.0020461060817633025,200,3.097992718219757,0.20133713238285536,1,0.0546849844588147,0.04890080152874415,30,0.5870203971862793,0.0035074238592016113,2,0.039720246906527326,0.049904450010927255,50,0.8495588898658752,0.04397960102696168,2,0.011266215385732956,0.00907658459076706,100,1.679505503177643,0.07313904652004549,1,0.0058259743201099605,0.004910027450153924,200,3.872699809074402,0.3506617051586926,1
Health-ClosedPRs0000,10000,0.0,0.0,30,0.27285405397415163,0.002464390761484055,1,0.0,0.0,50,0.5699608206748963,0.06823331133301146,1,0.0,0.0,100.0,0.9659983277320862,0.06476257258176746,1.0,0.0,0.0,200,1.9880021929740905,0.19723054544978585,1,0.0,0.0,30,0.3632634401321411,0.0027184554546558787,1,0.0,0.0,50,0.5070408701896667,0.005506778095086657,1,0.0,0.0,100,0.5369062185287475,0.00595633197121448,1,0.0,0.0,200,0.49977209568023684,0.002863808087618847,1
Health-ClosedPRs0002,10000,0.021121308675497823,1.3059866396360008e-05,30,0.41641714572906496,0.046890440289018384,3,0.021121308675497823,1.3059866396360008e-05,50,0.6122109532356262,0.06091497570114152,3,0.02099249783456047,0.00040756430063661214,100.0,1.530437207221985,0.07364391308290016,2.0,0.020696461042010762,0.0006890701885641799,200,2.763793182373047,0.2669668294684183,1,0.021121308675497823,1.3059866396360008e-05,30,0.5415085434913636,0.006591447083051845,3,0.021115254095207456,2.9436299366661747e-05,50,0.6944104790687561,0.03568863884060665,3,0.021115254095207456,2.9436299366661747e-05,100,0.777771532535553,0.08703469365807863,3,0.021115254095207456,2.9436299366661747e-05,200,0.7554670095443725,0.08553799293214367,3
Health-ClosedPRs0003,10000,0.08309341603589024,1.6324456666696272e-16,30,0.391415011882782,0.04774997495680749,1,0.08309341603589024,1.6324456666696272e-16,50,0.6093364953994751,0.05907090879290156,1,0.08308285214226208,3.7868541659724585e-05,100.0,1.1949504971504212,0.07762168512112477,1.0,0.08307159207631357,6.564854951365082e-05,200,2.612250816822052,0.15259067361000112,1,0.08309179389350554,7.25444128273518e-06,30,0.5393427014350891,0.00502000044371885,1,0.08309179389350554,7.25444128273518e-06,50,0.7908268928527832,0.0851359829173842,1,0.08309179389350554,7.25444128273518e-06,100,1.8564262628555297,0.5646209562007656,1,0.08309179389350554,7.25444128273518e-06,200,0.8913568615913391,0.26673330356929315,1
Health-ClosedPRs0004,10000,0.3798725972762761,0.08618139506557704,30,0.22338572740554805,0.03034818889158497,2,0.3348303952133597,0.05233448710982738,50,0.3877073287963867,0.0495536131593922,1,nan,nan,nan,nan,nan,nan,0.2898369478974362,0.007539473014862342,200,1.4079587936401368,0.061389440832422704,1,0.4155424762039079,0.10761285133012603,30,0.44855786561965943,0.0045217175037440905,2,0.3554308863101666,0.06533487151839291,50,0.9709112524986268,0.011528231385391765,1,0.33611120885282525,0.04162916165656231,100,1.5001577854156494,0.28318273246457987,1,0.3260735440450768,0.031423272705159405,200,2.2261162638664245,0.8090968681827132,1
Health-ClosedPRs0005,10000,0.0010872739047600882,0.0013279030788542331,30,0.22445452213287348,0.03143328550154937,1,0.00013436947789839578,0.00032723552362982883,50,0.35429795980453493,0.035659042834068934,1,4.815742445998631e-06,1.2836244973281664e-05,100.0,0.7110507965087891,0.07233439247164092,1.0,0.0,0.0,200,1.563746702671051,0.13708195982529953,1,0.002297823370419472,0.0028698827932502153,30,0.539117968082428,0.024607227458308067,2,0.0006820740688842569,0.0008614834628515406,50,0.7974143624305725,0.019334103617005945,1,0.00037452081720857407,0.0006138490049577024,100,1.3948600530624389,0.31276417129461925,1,0.00025553773625463,0.000517533607238998,200,1.7097505688667298,0.6695901882811696,1
Health-ClosedPRs0006,10000,0.24924987231160162,0.09427925411839799,30,0.21900937557220454,0.029528681177845847,2,0.2205367269460466,0.08781837326453909,50,0.35341356992721557,0.0337758283204316,1,0.15462375792923932,0.06984929777590788,100.0,0.7171112298965454,0.07215087364503181,1.0,0.11115678577620465,0.044808559711101516,200,1.4480061888694764,0.13969253015051844,1,0.37100729034632846,0.12058042679623816,30,0.4846227169036865,0.006333078121116082,3,0.2798952097863339,0.10605884540343133,50,0.9099355697631836,0.015962381805674122,2,0.22478321386588712,0.08542340304471044,100,1.5256325244903564,0.06314071670571457,1,0.1864492327717424,0.06796760301496244,200,2.353696572780609,0.5954696065304043,1
Health-ClosedPRs0007,10000,0.08900648528433172,0.03750550916457449,30,0.4505756855010986,0.06305303815686167,2,0.06325673657581835,0.02494539348168146,50,0.8702503561973571,0.03648298672389661,1,0.04286373419922224,0.017383483866019768,100.0,1.9232937693595886,0.040272829326226056,1.0,0.03356823890304893,0.009376930440734933,200,3.191380727291107,0.2462064560776918,1,0.12517115086015979,0.06986684822940038,30,0.4389610767364502,0.005814038250157763,3,0.09205785052676382,0.03905860177154526,50,0.9417929649353027,0.00352430493966968,2,0.06467082196091065,0.025948984789225363,100,1.4514545321464538,0.01538882639583366,1,0.051125453694773226,0.02179861542099671,200,2.913423812389374,0.4769651339435172,1
