Dataset,Rows,PTUNE-30_mean,PTUNE-30_std,PTUNE-30_budget,PTUNE-30_runtime_mean,PTUNE-30_runtime_std,PTUNE-30_tier,PTUNE-50_mean,PTUNE-50_std,PTUNE-50_budget,PTUNE-50_runtime_mean,PTUNE-50_runtime_std,PTUNE-50_tier,PTUNE-100_mean,PTUNE-100_std,PTUNE-100_budget,PTUNE-100_runtime_mean,PTUNE-100_runtime_std,PTUNE-100_tier,PTUNE-200_mean,PTUNE-200_std,PTUNE-200_budget,PTUNE-200_runtime_mean,PTUNE-200_runtime_std,PTUNE-200_tier,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier
FM-500-100-1.00-SAT-1,10000,0.5867558757806289,4.042064523143016e-05,30.0,10.388498139381408,0.16606006858208566,2.0,0.5867558757806289,4.042064523143016e-05,50,19.966856729984283,0.1202577287144477,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33294798892800564,0.025950750412558742,30,14.594623267650604,1.5030881365710753,1,0.31590342673189287,0.018850349933412017,50,23.307770466804506,1.680186127483278,1,0.30132418786594134,0.008909285817955742,100,58.359280622005464,4.356025223499385,1,0.29516381060709085,0.005362469214773547,200.0,151.97020889520644,6.158539779521359,1.0
HSMGP_num,3456,0.003894337037650014,0.002382569437657274,30.0,5.461399018764496,0.12303053193436808,1.0,0.0018914812237766352,0.001062901915630723,50,23.34214254617691,3.756700505922925,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0073482112289595045,0.003706479572301455,30,6.577225613594055,0.5990582559502556,2,0.00563509568197891,0.007327869143641153,50,10.37231024503708,1.0369952600940133,2,0.0015133227394227553,0.0005920318936861317,100,21.9691859126091,2.7486519633371183,1,0.001377957664175985,0.0011195857823493953,200.0,52.256677293777464,3.8060770575397895,1.0
HSQLDB,864,0.0021624716800531553,0.0007829610448900412,30.0,5.6530921220779415,0.12200742555483893,1.0,0.001718569603734015,3.4017684674784184e-05,50,21.034364938735962,2.948356526026563,1,0.0017140167393190349,3.6047579682720935e-05,100.0,175.93342702388765,9.733166567979975,1.0,nan,nan,nan,nan,nan,nan,0.0031739057489947103,0.0014621743281838739,30,5.731168437004089,0.6635993528705014,2,0.001786663549718515,0.0002144355530378048,50,9.643673276901245,0.7633708124148646,1,0.0016033042253096,3.790896096311017e-05,100,19.03869535923004,3.2557897101109727,1,0.0015916033030820853,3.3980525803120285e-05,200.0,39.09399999380112,5.549561785396554,1.0
Health-ClosedIssues0000,10000,0.48656346773555115,0.003466650466619136,30.0,2.0640605807304384,0.29559663374824696,2.0,0.48626824239298266,0.003383008140340495,50,5.9342618703842165,0.7416986983379501,2,0.48626824239298266,0.003383008140340495,100.0,55.07014940977096,7.33671257920189,2.0,nan,nan,nan,nan,nan,nan,0.17058903737783396,0.022393951131005823,30,3.080491065979004,0.42329176288063913,1,0.1544236350170508,0.0120891055764696,50,6.540978860855103,0.9836960540752222,1,0.1454312608262588,0.01199100625243599,100,15.047409391403198,2.302858858551674,1,0.14397188389152177,0.011751897617176066,200.0,25.225161409378053,6.518521644042359,1.0
Health-ClosedIssues0001,10000,0.6968606677384799,0.000614984305438293,30.0,2.1619011521339417,0.2917954552874218,2.0,0.696825741281735,0.0006186649446379101,50,7.5218980550765995,1.131408406576199,2,0.6967940243328724,0.0005848118834246481,100.0,59.12576178312302,6.848730159282908,2.0,nan,nan,nan,nan,nan,nan,0.45305544290498884,0.012765567060440195,30,3.790018630027771,0.32742616784006107,1,0.4427206698134586,0.022960166969776312,50,6.626630711555481,0.5457850717709373,1,0.44055841426453,0.02399285060124318,100,15.215540325641632,2.319858256663752,1,0.4189916478970007,0.03394167847529032,200.0,28.50409542322159,8.000234505239376,1.0
Health-ClosedIssues0002,10000,0.18040955472443446,1.6895061133507964e-16,30.0,3.014794611930847,0.20417106794826168,4.0,0.18040955472443446,1.6895061133507964e-16,50,5.752024900913239,0.2688953108025934,4,0.18040955472443446,1.6895061133507964e-16,100.0,16.404353392124175,0.0384992661338445,4.0,0.18040955472443446,1.6895061133507964e-16,200.0,33.88940329551697,0.22588561612682453,4.0,0.17492800999836178,0.02366478962927079,30,3.852646327018738,0.5269939643371016,3,0.16680833306274057,0.03271013717413874,50,5.943232810497284,1.0160976166051585,2,0.11625902315086192,0.0514909672908649,100,16.08186866044998,2.593372375880887,1,0.08893147802426767,0.037919871834648775,200.0,30.56919593811035,6.1474858924544655,1.0
Health-ClosedIssues0003,10000,0.3499457829390984,0.0035149757206128685,30.0,3.08147269487381,0.21105172787814966,2.0,0.3494534836207271,0.002846863570139639,50,11.706273245811463,1.8822889325828787,2,0.3494453487806272,0.0028403568172275726,100.0,77.33724837303161,18.10811117421046,2.0,nan,nan,nan,nan,nan,nan,0.195177013918833,0.04431140741673079,30,4.271694207191468,0.4479834476317766,1,0.1677160870455143,0.03891588932130139,50,6.678052175045013,0.6900194198524293,1,0.15364775736371233,0.030107360514489603,100,17.032131481170655,1.923757308039856,1,0.1504417947134012,0.025691855465654282,200.0,31.721633267402648,6.158440129436264,1.0
Health-ClosedIssues0004,10000,0.276902084380595,0.005066343675029114,30.0,3.063101029396057,0.21188245558591187,1.0,0.276902084380595,0.005066343675029114,50,11.300487971305847,2.5534253179838804,1,0.27484582389207257,0.003362929615894543,100.0,120.11891652345658,23.673612379847157,1.0,nan,nan,nan,nan,nan,nan,0.2863374826075807,0.01042506589532772,30,4.626224112510681,0.4742479238299042,2,0.2776048141936085,0.009429413309243717,50,8.51135823726654,1.2186874197155428,1,0.272801491146577,0.007229685518267887,100,17.5035080075264,3.197550095774853,1,0.27042737513284953,0.008470226178474401,200.0,34.930506837368014,7.481069030492917,1.0
Health-ClosedIssues0005,10000,0.2403267098428123,0.0009838534322254382,30.0,3.309316670894623,0.2630693489297587,3.0,0.2403267098428123,0.0009838534322254382,50,11.707563173770904,1.7479064530465254,3,0.24005965637046928,0.0007756715776004739,100.0,78.92162798643112,9.414116257252441,3.0,nan,nan,nan,nan,nan,nan,0.2387306442196721,0.005795595128662092,30,3.989080023765564,0.5348269483641426,3,0.23617712284872017,0.006863423415121572,50,9.384062504768371,1.0806087700929883,2,0.23345172971157502,0.0067816529478420895,100,19.246842312812806,3.1939441351587425,1,0.2292274211490275,0.006352922040068033,200.0,35.18345829248428,7.5196076317041864,1.0
Health-ClosedIssues0006,10000,0.20164641538883482,0.009923184777713293,30.0,3.220507037639618,0.2661607943813807,3.0,0.19896705900128928,0.008030080580987385,50,11.885315787792205,1.6518510451877748,3,0.1956476441507187,0.0040451746815250355,100.0,84.4184266448021,10.534646291129823,2.0,nan,nan,nan,nan,nan,nan,0.10972874530182883,0.016499857553240932,30,5.672409975528717,0.5928884344353812,1,0.10485230377146135,0.010227717312120025,50,10.16732577085495,1.2808920800412706,1,0.09882490922460259,0.010813846010550208,100,18.411842226982117,3.3786753638632074,1,0.09076814535613462,0.014489338007001586,200.0,34.95813726186752,7.392648249565547,1.0
