Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,SWAY-30_mean,SWAY-30_std,SWAY-30_budget,SWAY-30_runtime_mean,SWAY-30_runtime_std,SWAY-30_tier,SWAY-50_mean,SWAY-50_std,SWAY-50_budget,SWAY-50_runtime_mean,SWAY-50_runtime_std,SWAY-50_tier,SWAY-100_mean,SWAY-100_std,SWAY-100_budget,SWAY-100_runtime_mean,SWAY-100_runtime_std,SWAY-100_tier,SWAY-200_mean,SWAY-200_std,SWAY-200_budget,SWAY-200_runtime_mean,SWAY-200_runtime_std,SWAY-200_tier
Health-ClosedIssues0001,10000,0.45295331654092913,0.017252824289983936,30,0.35251606702804567,0.025693483024021004,1,0.4436145591117232,0.024083496863583492,50,0.6277548193931579,0.03488445926676207,1,0.4373317094466077,0.02620538736869666,100.0,1.1855552077293396,0.006343761757650866,1.0,0.4345011094693326,0.025157281421943328,200,2.3418216586112974,0.012811609148994532,1,0.477998894431429,0.015360618238930831,30,0.5083624720573425,0.030382120929202183,2,0.477998894431429,0.015360618238930831,50,0.83207106590271,0.044454822036831515,2,0.477998894431429,0.015360618238930831,100,1.3091108441352843,0.16696454698289787,2,0.44419262907749113,0.012538051627530172,200,2.4322282314300536,0.19617533153831762,1
Health-ClosedIssues0002,10000,0.17882779636638302,0.007008487557915416,30,0.378667950630188,0.03654641038926818,2,0.17874635694213398,0.007000203307603153,50,0.5910214304924011,0.043676585558332995,2,0.16018827865055524,0.03638877889327388,100.0,1.2258816957473755,0.07500335138218359,1.0,0.14231084594813914,0.04649413827247885,200,2.5565746426582336,0.1430076282650122,1,0.15411550188721773,0.046744559997361816,30,0.5090022921562195,0.03560012029173135,1,0.15411550188721773,0.046744559997361816,50,0.7654197216033936,0.07548229130520853,1,0.15411550188721773,0.046744559997361816,100,1.2407276391983033,0.13661680588399763,1,0.1424436756264038,0.05140410432690779,200,3.8803484439849854,0.09557507695280257,1
Health-ClosedIssues0003,10000,0.18840529519174076,0.038358596757951176,30,0.596832275390625,0.0426050427390693,1,0.17382364545281428,0.029896818800352873,50,1.0756274819374085,0.060299948044387715,1,0.14932121750753924,0.005482614141736436,100.0,1.3301778197288514,0.13654323472606905,1.0,0.14440987931521682,0.0041123475659546995,200,4.351706683635712,0.15165823874542153,1,0.2512457988875203,0.04429024759211741,30,0.5352585315704346,0.03719761899432085,3,0.22705026427571004,0.043038303546702655,50,0.848701286315918,0.02983474089182822,2,0.22547693646287809,0.04318567931928456,100,1.2668742775917052,0.13929680983725953,2,0.16595204869561608,0.022246828536978666,200,2.5052583813667297,0.23048201160332357,1
Health-ClosedIssues0004,10000,0.28819520511720587,0.011322737474601356,30,0.5803221464157104,0.04186579352582298,2,0.2803220488814542,0.007147981990958011,50,0.946501362323761,0.04222990472023305,1,0.27580900007668935,0.007657103550275125,100.0,2.023308074474335,0.05124057570495054,1.0,0.27214149242704033,0.006298608336165378,200,3.9299302816390993,0.027776478875623404,1,0.2932641620375822,0.009432104599710769,30,0.5100761771202087,0.02637052044841915,2,0.29268333634597193,0.009004991285473003,50,0.9803876399993896,0.04350674578150578,2,0.29244318323769714,0.009043070722020865,100,1.4301984310150146,0.18232448688144465,2,0.2814286664102626,0.005402479269937872,200,2.64382404088974,0.24896435306404313,1
Health-ClosedIssues0005,10000,0.24017655618732206,0.004713909364272751,30,0.5846823215484619,0.043874013416679715,2,0.23693643168421463,0.0054321586751914204,50,0.9093310832977295,0.05413032641126922,1,0.23475594693836838,0.005362351203304825,100.0,1.9337641954421998,0.04858611358470974,1.0,0.23203384793689413,0.004554122630428329,200,3.638904404640198,0.15804484637889563,1,0.2454920620599359,0.0053973411836360325,30,0.669994342327118,0.06277557116490612,3,0.2454920620599359,0.0053973411836360325,50,0.5693992018699646,0.030547354284015758,3,0.2454920620599359,0.0053973411836360325,100,1.3997546553611755,0.15224991391366433,3,0.23427935304766967,0.0052200192874345755,200,2.6579825282096863,0.21010285315559532,1
Health-ClosedIssues0006,10000,0.11704846643100401,0.0116632886752796,30,0.5111225008964538,0.06125946925125908,1,0.10986377267536726,0.01396807110920043,50,0.8261987805366516,0.055022505687676374,1,0.10198000764514148,0.009777608810064385,100.0,2.0758312940597534,0.04446216147952547,1.0,0.09579630120861896,0.011905564167814365,200,3.5689719557762145,0.1728552799004128,1,0.13112051772724714,0.014631994577976344,30,0.6925476312637329,0.05531000547281206,2,0.13112051772724714,0.014631994577976344,50,0.9184379935264587,0.05293512914815237,2,0.13112051772724714,0.014631994577976344,100,1.8118226408958436,0.17637790354247074,2,0.11088145417409863,0.011174452400180257,200,2.7976613998413087,0.048209658772814246,1
Health-ClosedIssues0007,10000,0.5310340215207048,0.0639402325482218,30,0.5042503714561463,0.0592272310549277,3,0.49072491340015506,0.060768043451968755,50,0.8666575670242309,0.09869518646643374,2,0.44128358288831404,0.05249774101058089,100.0,1.7115557074546814,0.09813599811214738,1.0,0.4192382972559646,0.0335109721541516,200,3.6375300526618957,0.1551160252312139,1,0.5312077790580417,0.05323610912481357,30,0.6781519293785095,0.0532653825015642,3,0.5312077790580417,0.05323610912481357,50,1.0810181736946105,0.040048043797440876,3,0.5312077790580417,0.05323610912481357,100,1.6836299896240234,0.10802107210144164,3,0.4826090412005195,0.042413970440347594,200,3.45619592666626,0.23622710126274765,2
Health-ClosedIssues0008,10000,0.2853411462208778,0.06538682054085408,30,0.4732944965362549,0.05230327770393239,1,0.25631735764900243,0.013787512004546183,50,0.9205079913139343,0.04817122769755558,1,0.24826384717958852,0.00808979758985091,100.0,1.5978625297546387,0.10128110579444628,1.0,0.2430333425073278,0.004560744434278786,200,3.0499614477157593,0.18466723661943585,1,0.3494339460551578,0.058371403318752485,30,0.5847482204437255,0.0681096032446191,2,0.3494339460551578,0.058371403318752485,50,1.1211193084716797,0.045754384688926814,2,0.3494339460551578,0.058371403318752485,100,1.7256062865257262,0.13952093266570142,2,0.2685150306158632,0.029441054446985884,200,3.7474549412727356,0.14083862583747317,1
Health-ClosedIssues0009,10000,0.3052427493491183,0.05860709764398778,30,0.5516818523406982,0.04965365725654347,2,0.27918587584535015,0.039358789811897416,50,0.7179885625839233,0.07058169357703115,1,0.26248554460142753,0.011543852019147857,100.0,1.821059226989746,0.03666609179504062,1.0,0.25226660194595574,0.006789822998762331,200,3.061528241634369,0.2214761810353039,1,0.3421749773108636,0.06672125983571316,30,0.6258221745491028,0.06502743085617611,3,0.34016457598067057,0.06545011606623666,50,1.0760551810264587,0.046025724566639385,3,0.33874718243618157,0.06528734254008887,100,2.1255552768707275,0.05781271186647861,3,0.28720579995552487,0.030867396480767622,200,4.038378942012787,0.15807473744763098,1
Health-ClosedIssues0010,10000,0.4861158069839167,0.0063495389787583695,30,0.4239077210426331,0.05788090033214656,1,0.4834194515324389,0.006183716621741864,50,0.7010927438735962,0.04771078272654211,1,0.47846476437547586,0.005895044294737553,100.0,1.4437408208847047,0.1008299842164948,1.0,0.47311852371399404,0.008224806928812663,200,2.8348010659217833,0.19948223516845143,1,0.49456273459249944,0.0054594082173368835,30,0.6274650573730469,0.06110884210803521,2,0.49407805403155275,0.005250662675652898,50,0.9768513083457947,0.035748092214713846,2,0.4936300874423044,0.005818850770320743,100,2.0572585105895995,0.05319973533024775,2,0.4820566672051673,0.006096061553510953,200,3.837244617938995,0.08503254396623174,1
