Dataset,Rows,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier,HILL-30_mean,HILL-30_std,HILL-30_budget,HILL-30_runtime_mean,HILL-30_runtime_std,HILL-30_tier,HILL-50_mean,HILL-50_std,HILL-50_budget,HILL-50_runtime_mean,HILL-50_runtime_std,HILL-50_tier,HILL-100_mean,HILL-100_std,HILL-100_budget,HILL-100_runtime_mean,HILL-100_runtime_std,HILL-100_tier,HILL-200_mean,HILL-200_std,HILL-200_budget,HILL-200_runtime_mean,HILL-200_runtime_std,HILL-200_tier
Health-Commits0007,10000,0.4277912989352456,0.1315266134061577,30.0,0.4135961413383484,0.024708275394990514,2.0,0.38360338551965223,0.14054601024886326,50,0.4393215298652649,0.02483983803252113,2,0.3096811451369903,0.10951782365492248,100,1.796454381942749,0.09943512211208821,1,0.29070436137111716,0.11489729656511324,200,1.720019805431366,0.10711354348322341,1,0.44366749547055945,0.14124942893936757,30,0.17737269401550287,0.04038174314191547,2,0.4044338377787885,0.12997426535226325,50,0.20095982551574706,0.0358103602217215,2,0.36025790438493843,0.13299817785001034,100,0.5308344841003418,0.0753256162607717,1,0.32292464041804914,0.11730605330901822,200,1.1928088426589967,0.16860526577224763,1
Health-Commits0008,10000,0.40990084782385183,0.026165157692468792,30.0,0.5141464114189148,0.022510158591502766,3.0,0.39729145930378196,0.021788411234340027,50,0.7175504326820373,0.05923602160103217,2,0.3837327407835373,0.02126541350696077,100,0.9969799160957337,0.06640735780726414,1,0.3596398297141118,0.04097337252493184,200,3.2929331421852113,0.26241886490040955,1,0.4222862675604834,0.026249752719005565,30,0.1180449247360229,0.025277708743576596,3,0.41017242690850064,0.02797189475770228,50,0.18600668907165524,0.029107493962470393,3,0.38783741419662815,0.03426218310721983,100,0.6825618147850037,0.078858196611002,1,0.37573366880930303,0.03746713380093988,200,0.7331061720848083,0.11125223214851772,1
Health-Commits0009,10000,0.15358411958955256,0.03588616916142322,30.0,0.35703052282333375,0.019790609132946398,2.0,0.14509000720207596,0.012568736397349274,50,0.774125874042511,0.07814679087553623,1,0.13917110299237692,0.007520209888490509,100,0.8997765779495239,0.04204144466981196,1,0.13509973333693095,0.007898727509179826,200,2.3969537377357484,0.10769200286318627,1,0.15335392730160785,0.016386419997594052,30,0.24483375549316405,0.053354862689916654,2,0.1474255541668704,0.011964546298761687,50,0.26028372049331666,0.044380884387484644,2,0.1438655287998998,0.00963091314703226,100,0.3558205246925354,0.048435199920264155,1,0.13979400464402392,0.007360757825451434,200,0.6409633994102478,0.08765571444529131,1
Health-Commits0010,10000,0.3158605748445186,0.02542054925681494,30.0,0.4156460762023926,0.02202952083405912,2.0,0.3071460333643675,0.022463508725706252,50,0.7499861717224121,0.06561519083365504,1,0.29736016531437465,0.02458144864017615,100,1.1286891102790833,0.16115915054795804,1,0.29330667802589555,0.027228097389176257,200,2.1281902194023132,0.19519494844176835,1,0.34137846335531924,0.05424745124222081,30,0.1838068127632141,0.04156719499011924,3,0.3233762186096646,0.022872444488771824,50,0.2790788531303406,0.050835509000700004,2,0.3171436940675948,0.023560394774483687,100,0.5112604975700379,0.05942615699529921,2,0.3131837576965228,0.025488865717697044,200,0.6595769047737121,0.10327351117519531,2
Health-Commits0011,10000,0.12285525188996174,0.09215931848363025,30.0,0.39732513427734373,0.01771100472315146,2.0,0.08923218432684597,0.0774979784607033,50,0.8571890830993653,0.04007465027199832,1,0.055365601165466426,0.06008489354877445,100,1.1239013075828552,0.14263687209539347,1,0.030731253558755268,0.047694262261481865,200,2.038890528678894,0.17600330289065252,1,0.20432062459807554,0.18500674458026578,30,0.23017981052398678,0.050965641935253964,3,0.12703614461530652,0.08873077156215071,50,0.1997190117835998,0.03638549903332474,2,0.08141332746197924,0.07086230648956203,100,0.3489961624145508,0.04068973092722122,1,0.060443606308178174,0.05632637544206229,200,0.6808904767036438,0.0877004998825786,1
LLVM,1024,0.06762595790526912,0.04336825161938698,30.0,0.13441579341888424,0.008963407167984428,1.0,0.04556316506335904,0.006823687993325981,50,0.2213366031646728,0.010186693398304072,1,0.043015875324334214,0.002963045036820943,100,0.43508890867233274,0.020631296929255846,1,0.0416825773625295,0.001674975542045315,200,0.7944545149803162,0.0365164153582841,1,0.10622436652965372,0.09998141254600236,30,0.07787338495254512,0.01062671743135542,2,0.061697137022126744,0.06408982853640834,50,0.13858298063278193,0.01488271941876809,1,0.043499363416712525,0.004559013711351943,100,0.158549427986145,0.01845048653865435,1,0.041849451652262996,0.0026849311977059417,200,0.4588505744934082,0.03929605856752966,1
PostgreSQL,19008,0.020193096079813448,0.00041168426916549414,30.0,0.14614276885986324,0.0074858567133697,2.0,0.01994370430533735,0.0003208453926574389,50,0.2819891571998596,0.014384344767728662,1,0.019900084405511477,0.0002889796835816125,100,0.3113520860671997,0.011037457224964293,1,0.019818163688956232,0.00020559795292780428,200,1.2771857857704163,0.03812732143389765,1,0.020648197582598116,0.000785886157006872,30,0.05237687826156612,0.008618955144934803,3,0.020300120082280364,0.0005500075129692662,50,0.11797676086425776,0.013575121884322139,2,0.02004868753186542,0.000263868664623141,100,0.2340409398078918,0.023658492094954617,1,0.019962990175480703,0.00023722514660957762,200,0.22710735797882076,0.020630057907956554,1
SQL_AllMeasurements,4653,0.31552803657728573,0.04574797043615404,30.0,0.142703628540039,0.001812209469941241,3.0,0.2826024697466752,0.04104330785303204,50,0.3001325011253357,0.004538200050587347,2,0.24738792210897795,0.03205653444803388,100,0.5210837244987487,0.03657914503854939,1,0.23373578721262417,0.02835247322851039,200,0.9411685109138489,0.007154225184791425,1,0.29549695541281185,0.0440828889185258,30,0.10292974710464473,0.0025043260655863964,2,0.26458726307603897,0.04084537552480043,50,0.31077185869216917,0.00860990490677449,1,0.23666827508648466,0.04419950280984604,100,0.5341314554214478,0.01382378018826482,1,0.21945494199391963,0.04356500170724875,200,2.2295629024505614,0.12474566614162014,1
SS-A,1343,0.57453891220086,0.24628202960266501,30.0,0.1425534844398498,0.02068654574926479,2.0,0.539237335719353,0.2790816335330276,50,0.41211471557617185,0.05116398646327908,2,0.45336826764126653,0.3261958309964148,100,0.6084674596786499,0.069209559441865,1,0.3231265995072745,0.3214325867249581,200,0.8056681632995606,0.08395416323225813,1,0.7185303782773536,0.18617051665955914,30,0.04823129177093503,0.01786700542677618,3,0.6922155810534292,0.19459406104830299,50,0.07140272855758664,0.02216142200735554,3,0.6121058691709153,0.24868698412675602,100,0.18863281011581418,0.03725339834195314,2,0.5597985595461905,0.2923644200988915,200,0.3763260364532471,0.05123813093107324,2
SS-B,206,0.43952739774915683,0.21919944231444893,30.0,0.14373686313629147,0.030936382675701066,3.0,0.33633445467791634,0.2125208210839041,50,0.15556133985519405,0.029710199696547958,2,0.24048387939593593,0.13899970713888657,100,0.3748561263084412,0.054840658684683775,1,0.18847940119718104,0.1142295143369283,200,0.7571746826171875,0.10680249724000719,1,0.5027569800969816,0.216244284463689,30,0.04805861711502071,0.018043637001302036,3,0.4410293332319963,0.23397489149559983,50,0.0776697993278503,0.023891117352363846,3,0.39623241010827215,0.22504093298129554,100,0.11990020275115962,0.029150617701933366,2,0.3440752976302902,0.2095661114210411,200,0.17879627943038937,0.05243109129189937,2
