Dataset,Rows,SA-30_mean,SA-30_std,SA-30_budget,SA-30_runtime_mean,SA-30_runtime_std,SA-30_tier,SA-50_mean,SA-50_std,SA-50_budget,SA-50_runtime_mean,SA-50_runtime_std,SA-50_tier,SA-100_mean,SA-100_std,SA-100_budget,SA-100_runtime_mean,SA-100_runtime_std,SA-100_tier,SA-200_mean,SA-200_std,SA-200_budget,SA-200_runtime_mean,SA-200_runtime_std,SA-200_tier,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier
SS-L,1023,0.24076984013576488,0.10807470779020739,30,0.21165587902069088,0.005529767882218109,2,0.19013160674953794,0.0459838112984652,50,0.33138902187347413,0.009884474387923102,1,0.17349255485238307,0.003960884610774506,100,0.6657304644584656,0.019330342879551852,1,0.16942946504311646,0.0013320214215334638,200,1.082203495502472,0.04742810928630582,1,0.20796524288750096,0.07783745528390637,30,0.18867310285568234,0.011575470898821398,2,0.18455378396917282,0.04998174651454867,50,0.3036908745765686,0.018040765296461623,1,0.17152421135186352,0.0025488706770662407,100,0.5717687010765076,0.03250005491036836,1,0.16982667343385183,0.0017800457283835792,200,1.0874995231628417,0.053116244209366746,1
SS-M,864,0.011515007330196048,0.01082343807061812,30,0.4595744490623474,0.0076840778351438665,2,0.009099263578231421,0.008208257574433523,50,0.5496330022811889,0.010331133179229275,2,0.00460961821917561,0.0006217202950062102,100,1.0266350269317628,0.021737432178800163,1,0.003658946906834365,0.0002866873541333116,200,1.457382321357727,0.2508156078051278,1,0.010664966244758826,0.021483303889603015,30,0.28563121557235716,0.010138306732059038,2,0.004799749880262051,0.0017515620809888562,50,0.4784361243247986,0.012712341757722817,1,0.0038611265601094904,0.000524515604176544,100,1.5485244989395142,0.07279962123728241,1,0.00358169870614027,0.00026703105293913906,200,3.0379805684089662,0.21505069784320088,1
SS-N,53662,0.22969852803343063,0.09364604066571977,30,0.21173983812332148,0.003812809680174392,2,0.21692481514873846,0.07890785550930689,50,0.5021234035491944,0.03955930479141871,2,0.1811392382546417,0.0517311823130353,100,0.6727815389633178,0.0063429050751098665,1,0.1593170685186228,0.03950870349081482,200,0.9816942811012268,0.15721870025172477,1,0.21794903696794163,0.07845515630286963,30,0.35510685443878176,0.016070387108383325,2,0.2004905803531912,0.06760311875579175,50,0.7735863924026489,0.031936767010996625,2,0.17402095522152278,0.06278960502178275,100,1.1296224236488341,0.056745067833474064,1,0.14152189524182862,0.028120191983417777,200,1.7361191749572753,0.12327382202755016,1
SS-O,972,0.21162054084196327,0.035986584570082004,30,0.36775497198104856,0.016052917115490065,2,0.20258019422712903,0.02283484686220723,50,0.3456775784492493,0.006325151841390113,1,0.19700058244124782,0.007366240667545009,100,0.9898154616355896,0.05660796621587085,1,0.1947782674494209,0.00779296780785649,200,2.518028426170349,0.04176685604154404,1,0.21756243328506092,0.04183368104580661,30,0.281587016582489,0.012842995703900685,2,0.20886622087854895,0.03447439295268792,50,0.48432457447052,0.0186250010938825,2,0.19346063130830415,0.008665197576638962,100,0.6278872609138488,0.022704155592571454,1,0.19273309742284367,0.00808133327577924,200,2.2626867651939393,0.07609817219222968,1
SS-P,1023,0.24076984013576488,0.10807470779020739,30,0.3887150168418884,0.014803131744747337,2,0.19013160674953794,0.0459838112984652,50,0.34178202152252196,0.014351692270285203,1,0.17349255485238307,0.003960884610774506,100,0.8405149459838868,0.01935366611445456,1,0.16942946504311646,0.0013320214215334638,200,0.8985822677612305,0.1718917155820423,1,0.20796524288750096,0.07783745528390637,30,0.1850351572036743,0.011815931788230278,2,0.18455378396917282,0.04998174651454867,50,0.4464796185493469,0.04510348918943597,1,0.17152421135186352,0.0025488706770662407,100,0.5597837209701538,0.031083540026300805,1,0.16982667343385183,0.0017800457283835792,200,1.055126953125,0.04980923660831124,1
SS-Q,2736,0.0780381928545558,0.03394998710055693,30,0.4424580574035645,0.010530222197112051,2,0.062076327045116994,0.0024707498379553695,50,0.48767911195755004,0.010250561659966292,1,0.06036724942912088,0.002242770990563962,100,1.3319089531898498,0.1683808707182754,1,0.05829691526193651,0.0009730664599606826,200,2.293748438358307,0.2111449387248859,1,0.06701285591286782,0.024247343383441373,30,0.27090131044387816,0.01773653066893251,1,0.06607228321290641,0.0244546327525242,50,0.7026981234550476,0.03605631465962053,1,0.059343818891096724,0.0010578203087204436,100,1.4530411958694458,0.10654026112384972,1,0.05872270108910053,0.0008650388070848893,200,2.4984009146690367,0.10576428102902666,1
SS-R,3008,0.20385181786934736,0.047057002407284526,30,0.26592856645584106,0.010449271826317516,2,0.18624178406040587,0.0217906429169827,50,0.49950342178344725,0.03651758529712812,1,0.17596663210575364,0.007486994642551229,100,0.8822787880897522,0.01768021416614527,1,0.17355127671930048,0.009029862241217436,200,1.6374463081359862,0.2037323072188956,1,0.20097975805554294,0.02858390389373522,30,0.26840890645980836,0.014964375743595994,2,0.1862713235375813,0.018951565173378537,50,0.3078378915786743,0.0160168978886025,1,0.1756427767855133,0.012885339533629537,100,0.7979318737983704,0.026542779142139226,1,0.17283503239843692,0.007871355124287476,200,1.5390466332435608,0.06819994749140001,1
SS-S,3840,0.23377322187269325,0.14414496307732005,30,0.2817011117935181,0.011361258549923014,2,0.22818501862912316,0.14598692270930078,50,0.4765303015708923,0.017512628955626178,2,0.19843615703951661,0.1435289880336995,100,0.846609365940094,0.023287504814678173,2,0.15435368644943318,0.1378896123142799,200,1.5304823875427247,0.142542014311956,1,0.2168694066364676,0.13819472433967903,30,0.2835326433181763,0.012763259110274665,2,0.1768345296574571,0.12700786037645279,50,0.311528754234314,0.014043312103448242,1,0.15692783061102755,0.1227930758205806,100,0.9209593176841736,0.0374047551619844,1,0.13560418448201564,0.11855515762803388,200,1.8701231718063354,0.16756532136012092,1
SS-T,5184,0.1030620550857205,0.06489254104036454,30,0.30179381370544434,0.008978717246326045,2,0.0716005609796123,0.045572236829666476,50,0.6566951274871826,0.01859744494054119,2,0.03290785885006571,0.018759242797469516,100,1.2537681341171265,0.03395623425375111,1,0.02165173680820448,0.009502178270796639,200,2.160912573337555,0.18903203391266152,1,0.07388058405059257,0.07060807276303169,30,0.2788585424423218,0.012400227181159384,2,0.05131289630874858,0.03256753442134543,50,0.4602046012878418,0.027264517342072147,1,0.0355545765325935,0.024381027126505257,100,0.9066841721534729,0.03578015858080058,1,0.02224364018247752,0.007086737449004468,200,1.7138354539871217,0.20937034511107877,1
SS-U,4608,0.28387405276900013,0.042019858656267825,30,0.4189522624015808,0.012798694736530315,3,0.2631021981143358,0.01675890657078882,50,0.6550042986869812,0.0067946235346019665,2,0.240871535157091,0.007439478109204914,100,0.8633947968482971,0.11144502921961882,1,0.23236911455059697,0.0015752145913428756,200,1.6094277858734132,0.1653006071565855,1,0.2562906014940533,0.03133972859556057,30,0.29152976274490355,0.008157423136647997,2,0.2436459650559287,0.019094157138061757,50,0.6350725293159485,0.010045714851648171,1,0.23467032150845935,0.004640255670618576,100,0.9661548614501954,0.013314728291107795,1,0.2327604682875502,0.003002480263737821,200,2.4246565461158753,0.09588551521506498,1
