Dataset,Rows,DODGE-30_mean,DODGE-30_std,DODGE-30_budget,DODGE-30_runtime_mean,DODGE-30_runtime_std,DODGE-30_tier,DODGE-50_mean,DODGE-50_std,DODGE-50_budget,DODGE-50_runtime_mean,DODGE-50_runtime_std,DODGE-50_tier,DODGE-100_mean,DODGE-100_std,DODGE-100_budget,DODGE-100_runtime_mean,DODGE-100_runtime_std,DODGE-100_tier,DODGE-200_mean,DODGE-200_std,DODGE-200_budget,DODGE-200_runtime_mean,DODGE-200_runtime_std,DODGE-200_tier,RandomSearch-30_mean,RandomSearch-30_std,RandomSearch-30_budget,RandomSearch-30_runtime_mean,RandomSearch-30_runtime_std,RandomSearch-30_tier,RandomSearch-50_mean,RandomSearch-50_std,RandomSearch-50_budget,RandomSearch-50_runtime_mean,RandomSearch-50_runtime_std,RandomSearch-50_tier,RandomSearch-100_mean,RandomSearch-100_std,RandomSearch-100_budget,RandomSearch-100_runtime_mean,RandomSearch-100_runtime_std,RandomSearch-100_tier,RandomSearch-200_mean,RandomSearch-200_std,RandomSearch-200_budget,RandomSearch-200_runtime_mean,RandomSearch-200_runtime_std,RandomSearch-200_tier
Health-ClosedIssues0004,10000,0.292052620866614,0.011274834418332188,30,0.45010714530944823,0.005807328367061832,3,0.2870530059384997,0.008469782539811831,50,0.7504102706909179,0.004992088185027534,2,0.2804625666687478,0.007928082518774532,100,1.3760023832321167,0.004766086243478981,1,0.277729851462261,0.006822749485086891,200,2.3726853728294373,0.20608861580885707,1,0.292052620866614,0.011274834418332188,30,0.4552894353866577,0.001606700236053376,3,0.2870530059384997,0.008469782539811831,50,0.6474965572357178,0.08715964140053997,2,0.2804625666687478,0.007928082518774532,100,1.2393875122070312,0.14079963287141936,1,0.2767621828363317,0.0070817035639497644,200,2.5247328758239744,0.20946691620985955,1
Health-ClosedIssues0005,10000,0.24040169914290127,0.004658361305913099,30,0.5897233247756958,0.004389089755720357,3,0.23808492129231767,0.0048390089749992034,50,0.7441448450088501,0.004168579283758865,2,0.2374768892684561,0.004801781863245757,100,1.7449917435646056,0.09782947742941797,2,0.23439538513200925,0.004907314209612417,200,2.297291934490204,0.28499809961010947,1,0.24040169914290127,0.004658361305913099,30,0.4779391407966614,0.009475388484183254,3,0.23808492129231767,0.0048390089749992034,50,0.7982797622680664,0.01529206066869052,2,0.2374768892684561,0.004801781863245757,100,1.284162735939026,0.1675231768460196,2,0.23439538513200925,0.004907314209612417,200,2.5699788212776182,0.276946956673644,1
Health-ClosedIssues0006,10000,0.12342376603815867,0.008522299168281337,30,0.5707532525062561,0.013347557358345604,3,0.11802956448020305,0.0074000705597693965,50,0.7706005334854126,0.02525586653231352,2,0.11109920642574841,0.008129921259893563,100,1.2608027935028077,0.15322162025035568,1,0.10520206099025911,0.010815396147189668,200,2.3695006370544434,0.1964793793262109,1,0.12342376603815867,0.008522299168281337,30,0.46575491428375243,0.005287718617659803,3,0.11802956448020305,0.0074000705597693965,50,0.7833224058151245,0.014296787162026309,2,0.11109920642574841,0.008129921259893563,100,1.3854548692703248,0.18274184208464006,1,0.10520206099025911,0.010815396147189668,200,3.655583345890045,0.0559326323976284,1
Health-ClosedIssues0007,10000,0.5432524381178477,0.06895079653698193,30,0.44507771730422974,0.00441275848024009,2,0.5206292713394515,0.06343229853006274,50,0.7815467715263367,0.024687455296252745,2,0.4972618039772024,0.06441269393081556,100,1.1571096062660218,0.2634114450319655,1,0.48632584785113053,0.0600367689559347,200,1.6585619449615479,0.6354831795088691,1,0.5432524381178477,0.06895079653698193,30,0.5947261929512024,0.004448636744558385,2,0.5205438405100643,0.06334087359865206,50,0.8505860328674316,0.04192296796734295,2,0.48688080039753795,0.06060144761518054,100,1.0372455835342407,0.006597164732186374,1,0.4708819258159793,0.053914678147643745,200,3.8145569443702696,0.06904444022710712,1
Health-ClosedIssues0008,10000,0.30446965780703106,0.04646613774076014,30,0.48789998292922976,0.016126985099996813,2,0.28941259865993413,0.04003387445645791,50,0.8216716885566712,0.017438882851422224,2,0.2580297076677327,0.0150904977359868,100,1.3940478324890138,0.17609288545429685,1,0.2499397716657965,0.006877590647591177,200,2.5528766393661497,0.2395883887040688,1,0.30446965780703106,0.04646613774076014,30,0.5122269630432129,0.02630063234048862,2,0.28941259865993413,0.04003387445645791,50,0.9123208403587342,0.05270360905118425,2,0.2580297076677327,0.0150904977359868,100,1.9527400612831116,0.04831074535778768,1,0.2499397716657965,0.006877590647591177,200,3.724313974380493,0.06617500875433133,1
Health-ClosedIssues0009,10000,0.3550860212074426,0.06305129452431595,30,0.5438283681869507,0.019492669438251342,3,0.3175570330270153,0.06320574925924333,50,0.7753597497940063,0.020420735662699172,2,0.280229389833594,0.03952526441155697,100,1.8911432862281798,0.21378627192639127,1,0.2712629598913115,0.03620095990457815,200,3.4971220970153807,0.5919088267054399,1,0.3550860212074426,0.06305129452431595,30,0.5545033574104309,0.022562352111222633,3,0.3175570330270153,0.06320574925924333,50,0.8561836242675781,0.05819909368729544,2,0.27429498680933195,0.024564860860867763,100,1.7034267067909241,0.11119011831988548,1,0.2653285568670493,0.015481390335169473,200,3.612485349178314,0.10760116214893378,1
Health-ClosedIssues0010,10000,0.4865438420362532,0.006426380020759076,30,0.6424094557762146,0.08400679618676282,2,0.4851347578195499,0.006368800136768565,50,1.0053972363471986,0.007755691874960078,2,0.48148219906913275,0.005334997696808986,100,1.3298752307891846,0.21518295135257115,1,0.47910672064778703,0.0059422999125934165,200,3.014139974117279,0.8928272458917088,1,0.4865438420362532,0.006426380020759076,30,0.5400368571281433,0.023211646093991397,2,0.4851347578195499,0.006368800136768565,50,0.9641515970230102,0.008559376773361145,2,0.4813195469883489,0.005197299640310448,100,1.5381240248680115,0.10494788145247139,1,0.47696551681060484,0.006492295753099485,200,3.9733144879341125,0.15900818113439913,1
Health-ClosedIssues0011,10000,0.0546849844588147,0.04890080152874415,30,0.5870203971862793,0.0035074238592016113,2,0.039720246906527326,0.049904450010927255,50,0.8495588898658752,0.04397960102696168,2,0.011266215385732956,0.00907658459076706,100,1.679505503177643,0.07313904652004549,1,0.0058259743201099605,0.004910027450153924,200,3.872699809074402,0.3506617051586926,1,0.0546849844588147,0.04890080152874415,30,0.49632505178451536,0.047793065961768334,2,0.039720246906527326,0.049904450010927255,50,0.9752446055412293,0.01175307688534189,2,0.011266215385732956,0.00907658459076706,100,2.0770878195762634,0.02647892274083936,1,0.0058259743201099605,0.004910027450153924,200,3.9375364184379578,0.01403313436949953,1
Health-ClosedPRs0000,10000,0.0,0.0,30,0.3632634401321411,0.0027184554546558787,1,0.0,0.0,50,0.5070408701896667,0.005506778095086657,1,0.0,0.0,100,0.5369062185287475,0.00595633197121448,1,0.0,0.0,200,0.49977209568023684,0.002863808087618847,1,0.0,0.0,30,0.3753471851348877,0.002050843432461905,1,0.0,0.0,50,0.604764211177826,0.0023550922068826144,1,0.0,0.0,100,1.3699339985847474,0.05015749404433305,1,0.0,0.0,200,2.2911786675453185,0.1307515585227992,1
Health-ClosedPRs0002,10000,0.021121308675497823,1.3059866396360008e-05,30,0.5415085434913636,0.006591447083051845,1,0.021115254095207456,2.9436299366661747e-05,50,0.6944104790687561,0.03568863884060665,1,0.021115254095207456,2.9436299366661747e-05,100,0.777771532535553,0.08703469365807863,1,0.021115254095207456,2.9436299366661747e-05,200,0.7554670095443725,0.08553799293214367,1,0.021121308675497823,1.3059866396360008e-05,30,0.563199782371521,0.0018404310257387015,1,0.021115254095207456,2.9436299366661747e-05,50,0.8780556797981263,0.005915739101560063,1,0.021112333820303468,3.133494686674677e-05,100,1.8266529321670533,0.016416839007161475,1,0.021018994133806125,0.000415800880932421,200,3.763297212123871,0.014530177069282372,1
