Dataset,Rows,GA-30_mean,GA-30_std,GA-30_budget,GA-30_runtime_mean,GA-30_runtime_std,GA-30_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,ONEPLUSONE-30_mean,ONEPLUSONE-30_std,ONEPLUSONE-30_budget,ONEPLUSONE-30_runtime_mean,ONEPLUSONE-30_runtime_std,ONEPLUSONE-30_tier,ONEPLUSONE-50_mean,ONEPLUSONE-50_std,ONEPLUSONE-50_budget,ONEPLUSONE-50_runtime_mean,ONEPLUSONE-50_runtime_std,ONEPLUSONE-50_tier,ONEPLUSONE-100_mean,ONEPLUSONE-100_std,ONEPLUSONE-100_budget,ONEPLUSONE-100_runtime_mean,ONEPLUSONE-100_runtime_std,ONEPLUSONE-100_tier,ONEPLUSONE-200_mean,ONEPLUSONE-200_std,ONEPLUSONE-200_budget,ONEPLUSONE-200_runtime_mean,ONEPLUSONE-200_runtime_std,ONEPLUSONE-200_tier
FM-500-100-1.00-SAT-1,10000,0.3359516771845698,0.021905060461704855,30,0.23034532070159908,0.01184557935366412,1,0.3105402739789877,0.014476012348995175,50,0.6679219126701355,0.036104129476442495,1,0.2995285772354405,0.010993335171488032,100,0.6453234672546386,0.040766506033659757,1,0.29332443874990777,0.00451624508282782,200,1.217857265472412,0.07890255756266012,1,0.4187865858236711,0.050535994214204856,30.0,0.07046418190002439,0.0005918102033513691,3.0,0.3996318100793112,0.0403957377372223,50,0.11409721374511714,0.009602925518983417,3,0.3790807653646414,0.024234658439339377,100,0.09807120561599728,0.0022615002236437876,2,0.37179538612521235,0.017908363948420783,200,0.19630273580551147,0.005902700404473064,2
HSMGP_num,3456,0.013874995026512304,0.008526314358695322,30,0.14846624135971065,0.010480087553176925,1,0.009375125723927185,0.006891650686634714,50,0.2218836665153503,0.013455765580672747,1,0.006331517064942729,0.0060251375704669236,100,0.5425211429595947,0.038579132832584,1,0.0030756067825664446,0.004882125813081075,200,0.6862286806106568,0.09167855972227883,1,0.042130578522254866,0.01930781383397599,30.0,0.09987118244171139,0.001427443053379378,3.0,0.03329508654434499,0.015612775719430016,50,0.3245009660720825,0.016172927758201262,2,0.025103925615745204,0.014951854452782552,100,0.6207355499267578,0.0036640750119033057,2,0.01873116879012685,0.011294665603327652,200,0.8519786834716797,0.11327415201107735,1
HSQLDB,864,0.00613465189938858,0.008161686317355062,30,0.15176988840103145,0.013524463895206193,1,0.002973649607652175,0.002414996286952596,50,0.22215580940246576,0.013762504992858221,1,0.0017510793485907554,0.0004784748252001508,100,0.410249924659729,0.022413150575756182,1,0.00159315508973498,3.49567960056484e-05,200,0.6476086616516114,0.10833531006545982,1,0.020429095622050107,0.01584910601935427,30.0,0.021817636489868102,0.0011178531824522582,3.0,0.013732792841545294,0.011087305246248598,50,0.030884420871734576,0.001102764061144346,2,0.010777234785661779,0.008684497526783866,100,0.05077995061874384,0.0014357185678670087,2,0.005481506162711475,0.0054827201505921516,200,0.09631360769271846,0.001955353984456177,1
Health-ClosedIssues0000,10000,0.2588198978739998,0.1320836464885602,30,0.36187076568603516,0.02520378888943645,1,0.22752210629659841,0.1278340680375969,50,0.48989189863204957,0.06192521844072543,1,0.19219972406314406,0.09044029609492961,100,0.6917223930358887,0.08342274259798599,1,0.16047794848542157,0.04331941611130413,200,1.227154541015625,0.19257512444133204,1,0.39239758120031254,0.30003486900078497,30.0,0.44717293977737427,0.0039711697335946955,2.0,0.3297439466477055,0.2852327778385138,50,0.7640974521636963,0.017894757515681835,2,0.2612624954999611,0.23710036035877216,100,1.3392159938812256,0.007048297414734989,1,0.22320362540259228,0.1741624102092255,200,2.3690534114837645,0.20535688833184956,1
Health-ClosedIssues0001,10000,0.45565836292528655,0.013926539512743042,30,0.3724873423576355,0.033984364345689466,2,0.4527338969751174,0.01523564403901987,50,0.4818058371543884,0.05710950701840426,2,0.44847415381852773,0.014470009412601018,100,0.7281455397605896,0.08531349891510892,1,0.4452134759242362,0.01852806614882667,200,0.9914820671081543,0.18792054998266397,1,0.46250080158538803,0.011546799848135853,30.0,0.451663613319397,0.0073243402949612155,3.0,0.4529576520023963,0.018618329946142837,50,0.7412181615829467,0.004177130352211054,2,0.4469675189783147,0.02092012560220053,100,1.2551098108291625,0.15036812373472325,1,0.44614551199746133,0.020565369832284863,200,3.658580219745636,0.08566588407798735,1
Health-ClosedIssues0002,10000,0.17417322464732898,0.021881627647392984,30,0.37493215799331664,0.030299734092888563,1,0.16906768507980874,0.03054676894584777,50,0.5466165661811828,0.0572798613631606,1,0.1674466332962649,0.031122855801134535,100,0.774833369255066,0.1598423216174127,1,0.1644391708768713,0.033117982447363935,200,1.2265480518341065,0.30940441016287645,1,0.16976786088568405,0.032762489467610206,30.0,0.44056991338729856,0.005022830601342027,1.0,0.16976786088568405,0.032762489467610206,50,0.8613890647888184,0.07422045506417338,1,0.16460081038488703,0.038329526527313876,100,1.207357931137085,0.13337160831462305,1,0.15606368464708836,0.04285251872622236,200,2.349620008468628,0.1785168756601111,1
Health-ClosedIssues0003,10000,0.23982146947901586,0.040154186592414334,30,0.424686861038208,0.056666807357490946,2,0.22890868268945025,0.04257796678565227,50,0.5211819410324097,0.06461910217694801,1,0.20728513788458675,0.05192693889205292,100,0.7785302877426148,0.08473562274120697,1,0.2000564155534724,0.055203830006184125,200,1.1954952836036683,0.1311991257068031,1,0.2681149087387702,0.051629500851064235,30.0,0.40425771474838257,0.01925598646573167,3.0,0.25605266839560326,0.05000218748219461,50,0.7075291991233825,0.012059041506520114,3,0.2421734013667573,0.042222199736005966,100,1.5144141912460327,0.1353464977373803,2,0.22146515310152717,0.03515637902938911,200,2.8728686213493346,0.28209036033241025,1
Health-ClosedIssues0004,10000,0.2925302350081319,0.009015577515896912,30,0.33629956245422366,0.03725051916148048,1,0.29012099096427296,0.009532158324533415,50,0.5094651699066162,0.059387758302064546,1,0.28618979412801615,0.009342939416435842,100,0.7133351564407349,0.07728988324434939,1,0.28143518214327495,0.010084062251438937,200,1.1876645922660827,0.1258595849614424,1,0.3048266277300773,0.011233660257793961,30.0,0.5500890612602234,0.04647299339531962,3.0,0.3011500773719207,0.011090287882395683,50,0.6764901995658874,0.006435419353291091,3,0.2967962371712452,0.010444177713358172,100,1.2989588975906372,0.011630397666612433,2,0.2941006605937465,0.008802824469885537,200,2.896047079563141,0.25051709428616165,1
Health-ClosedIssues0005,10000,0.2405946151174115,0.004340563463358004,30,0.3385114908218384,0.029190960043620578,2,0.2385119676410244,0.005727504559291126,50,0.4917960286140442,0.06986272216513482,1,0.23618321729955918,0.007166833543916878,100,0.6849908351898193,0.07225565363511913,1,0.23389443658641623,0.00813628714603755,200,1.525670337677002,0.1578288325086669,1,0.24459797782508302,0.0024630059118757206,30.0,0.44446300268173217,0.0033871746549130116,3.0,0.24419271237248674,0.0022838171324791362,50,0.7810958504676819,0.009808069449218046,3,0.2431322135603733,0.0027512074797471455,100,1.2878016114234925,0.008305567580104466,3,0.2411038645415488,0.004581373410671099,200,2.757470405101776,0.235428226025171,2
Health-ClosedIssues0006,10000,0.11858097434637387,0.011751263053169198,30,0.3858893394470215,0.03226314309956979,2,0.11401550386672014,0.01051763124457369,50,0.5241938829421997,0.05867004579923783,1,0.10541411476166496,0.011952451437197458,100,0.673925232887268,0.07664069915203806,1,0.1021737448486627,0.01222479280750642,200,1.333925712108612,0.17394009952522316,1,0.1301671438734626,0.023015033909477872,30.0,0.6339717030525207,0.016065379859842726,2.0,0.12362018941531283,0.015393138882816133,50,0.7739185929298401,0.011950683832424876,2,0.11182072064582724,0.009529674825550885,100,1.4903780341148376,0.11305593035239662,1,0.10669047929542845,0.012292663866932523,200,2.8137315273284913,0.24095954002545575,1
Health-ClosedIssues0007,10000,0.5457349928129811,0.06420998094848367,30,0.32729804515838623,0.024321321011336532,2,0.524212352639156,0.08330999209418076,50,0.5699422240257264,0.057773146558409774,1,0.5034454948278959,0.09225264108503776,100,0.6647488117218018,0.085757959545254,1,0.48213263746395063,0.1018743664321455,200,1.5289925932884216,0.2515403543559516,1,0.5955258017837026,0.013200186319085606,30.0,0.4633789658546448,0.0027001804085230677,3.0,0.5883978266854781,0.019252429937584224,50,0.7634783983230591,0.0110664176461755,3,0.565641641509092,0.04338365993917432,100,1.3204979658126832,0.15073757389865303,2,0.559443969351028,0.04293880756316814,200,2.5324762940406798,0.22158790796557334,2
Health-ClosedIssues0008,10000,0.3113649753841637,0.07142041706605931,30,0.4834609627723694,0.04592404054165092,1,0.29070535489275245,0.06605766910801815,50,0.5918234586715698,0.062067125662191316,1,0.27525221981585973,0.0645465054105221,100,0.8618613243103027,0.09234522452560522,1,0.2690132363277674,0.06398064976795596,200,1.4884711146354674,0.1619109414721112,1,0.3882871035406007,0.11098773913883794,30.0,0.4752020359039307,0.029985543008373444,2.0,0.3694915031398802,0.10863654880214631,50,0.905545973777771,0.008737301083992103,2,0.33150526465632474,0.0927165683542439,100,1.0516370296478272,0.01160579167152652,2,0.2945465877484067,0.04579331856647779,200,3.9776915669441224,0.13686662177914366,1
