Dataset,Rows,EDA-30_mean,EDA-30_std,EDA-30_budget,EDA-30_runtime_mean,EDA-30_runtime_std,EDA-30_tier,EDA-50_mean,EDA-50_std,EDA-50_budget,EDA-50_runtime_mean,EDA-50_runtime_std,EDA-50_tier,EDA-100_mean,EDA-100_std,EDA-100_budget,EDA-100_runtime_mean,EDA-100_runtime_std,EDA-100_tier,EDA-200_mean,EDA-200_std,EDA-200_budget,EDA-200_runtime_mean,EDA-200_runtime_std,EDA-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedPRs0009,10000,0.5972362445540292,0.11597670040142183,30,0.4654926896095276,0.004830484957524941,2,0.5885362752899183,0.11707759358706431,50.0,0.7513483166694641,0.00730493303212655,2.0,0.5796823394988035,0.11658945706116822,100.0,1.383933162689209,0.1579059984341136,2.0,0.5787718242904207,0.11599406549932771,200.0,1.9120762944221497,0.31089864353090757,2.0,0.5855812691741719,0.139434069840827,30,0.32018495798110963,0.004663338685126694,2,0.5308717370911491,0.16271748261077654,50,0.7274855136871338,0.07021881223611702,1,0.4850391701888855,0.17486939197552107,100.0,1.2872346758842468,0.17402231297027676,1.0,0.4810666145335879,0.17655447388116743,200.0,2.339808797836304,0.5457193294440273,1.0
Health-ClosedPRs0010,10000,0.4916014546105985,0.07427916079360374,30,0.3051654458045959,0.0024990662974063646,2,0.47460372312074384,0.10077102887883402,50.0,0.5902247190475464,0.024781351896427432,2.0,0.4652561327888437,0.10343184835618968,100.0,1.044582736492157,0.0061618876428327345,2.0,0.4617140568548027,0.1045148000854284,200.0,1.6925525307655334,0.3107266441753664,2.0,0.36398041623889565,0.13597995634200835,30,0.4071220397949219,0.0054274977430695225,1,0.326472973056087,0.13322522860351765,50,0.6599358081817627,0.03468860968301057,1,0.294569167761235,0.11544673483245267,100.0,0.958400285243988,0.1096047920840588,1.0,0.27184337681707654,0.10128558175406059,200.0,2.573913264274597,0.4592781897225819,1.0
Health-ClosedPRs0011,10000,0.0,0.0,30,0.5362906813621521,0.011924162285973042,1,0.0,0.0,50.0,0.5103576302528381,0.018693075711278956,1.0,0.0,0.0,100.0,1.018059992790222,0.004783055655520458,1.0,0.0,0.0,200.0,2.7162954092025755,0.33134512985518266,1.0,0.0,0.0,30,0.39955190420150755,0.00528019731175252,1,0.0,0.0,50,0.667655861377716,0.008183934121452003,1,0.0,0.0,100.0,1.3363574028015137,0.014617375905288846,1.0,0.0,0.0,200.0,3.593744623661041,0.18335815907904854,1.0
Health-Commits0000,10000,0.22731630627747598,0.09980546253034302,30,0.45000306367874143,0.002015414478919464,2,0.20152529553205908,0.07035479996389409,50.0,0.7743969440460206,0.004845150998413488,2.0,0.19683711205945925,0.07137687509859855,100.0,1.5626542925834657,0.031061510390913923,2.0,0.19562204395439264,0.0719374262071775,200.0,1.9087402939796447,0.2564198862859594,2.0,0.17019238556494468,0.06337471026556862,30,0.46382339000701905,0.003996519295391594,1,0.15915321296579843,0.05639204126947618,50,0.7400190472602844,0.013816652230993057,1,0.14932119734776061,0.06102243984208811,100.0,1.3213041782379151,0.08721442548218393,1.0,0.14568263438256965,0.06052661430016248,200.0,2.5513930201530455,0.3734482794393718,1.0
Health-Commits0001,10000,0.16495625295871416,2.4119430803833637e-05,30,0.3113726258277893,0.013152876601313375,2,0.16482014417814814,0.0005797681016965321,50.0,0.5205611109733581,0.007581168722278741,2.0,0.16478661585043844,0.0007296540071302658,100.0,2.0808568954467774,0.03393345412612524,2.0,0.16478661585043844,0.0007296540071302658,200.0,1.642740297317505,0.319093141647796,2.0,0.16496231242538753,2.150984823944601e-05,30,0.4549585223197937,0.003979832815802519,2,0.16461133773401088,0.0010553807090559575,50,0.5514799952507019,0.006650237317852451,1,0.16458801189401032,0.001119241463482195,100.0,1.020308291912079,0.03604790321898038,1.0,0.1645795384544153,0.0011194678076791329,200.0,2.3285526633262634,0.28830017180083545,1.0
Health-Commits0002,10000,0.4915510971405082,0.04184895967165415,30,0.3062442779541016,0.002022998360785221,2,0.4912318955460018,0.04178628653810309,50.0,0.8154294967651368,0.047694578276805864,2.0,0.4899451815754071,0.0418699451993753,100.0,1.2527619481086731,0.15803604505155705,2.0,0.4899451815754071,0.0418699451993753,200.0,1.656982147693634,0.3360426610600734,2.0,0.4776509133659953,0.07615985575983444,30,0.29866847991943357,0.004580888516926551,2,0.4590704961816165,0.09027058791003202,50,0.5305930852890015,0.024816472162437916,2,0.4008791701307864,0.12425127202762289,100.0,0.982473886013031,0.09200311283444176,1.0,0.33276368636787124,0.13795684115807394,200.0,1.4389159440994264,0.4320075503006589,1.0
Health-Commits0003,10000,0.35967485538463795,0.038151328342928115,30,0.6163233876228332,0.0076604209388032715,3,0.33876627578381097,0.0458532336214829,50.0,0.5052921652793885,0.0023970792035965163,2.0,0.3134358426651973,0.04155449538206906,100.0,1.0837854743003845,0.015320963968304289,1.0,0.3103856967548152,0.04293361343131665,200.0,1.5818198800086976,0.294706976055272,1.0,0.3494359881619529,0.04202698480502926,30,0.3025655150413513,0.002547747129272863,3,0.32908802082510136,0.045024321320022646,50,0.7887949466705322,0.02021963386078806,2,0.3061463183717793,0.05375916649663952,100.0,1.4854283690452577,0.20009426253392698,1.0,0.28965500109020037,0.05717700034542899,200.0,1.532661497592926,0.3909555801158654,1.0
Health-Commits0004,10000,0.22528837814112918,0.0033485607499742533,30,0.3027777552604675,0.0027240401842413254,2,0.22508653075002516,0.003307329196932803,50.0,0.5074663400650025,0.003235157049686523,2.0,0.22448134934682287,0.00382417753363068,100.0,1.137269961833954,0.01326655528279535,2.0,0.22446637754516058,0.0038194997664415,200.0,3.938288462162018,0.05649908167610459,2.0,0.22460184275750344,0.0033935987360933606,30,0.4246274471282959,0.008502098626327313,2,0.22017930273334688,0.009633185481665389,50,0.4898570656776428,0.02196348998675245,1,0.2181715672322952,0.010478871196585112,100.0,1.2421025395393372,0.23884679050410484,1.0,0.21640023695465813,0.011682953100507192,200.0,2.995241606235504,0.6101852181308866,1.0
Health-Commits0005,10000,0.24362843632550865,0.06056345040108215,30,0.4667932987213135,0.017064908418917953,2,0.21311166428100492,0.06172984746186439,50.0,0.555904233455658,0.005624078623659972,1.0,0.20813483897826388,0.06321321166461369,100.0,1.0097527265548707,0.004073198763673331,1.0,0.20533497450988386,0.05823556848086095,200.0,1.5853540062904359,0.2862668093559464,1.0,0.20576694471885154,0.0247645194151659,30,0.31463404893875124,0.0030906777307793377,1,0.1944819146758576,0.02446348987674934,50,0.5193217635154724,0.003920142439297934,1,0.18303140283810893,0.026074750993425825,100.0,1.0573839664459228,0.05609746020327474,1.0,0.17752703155629562,0.024201864282403854,200.0,2.4734131574630736,0.24569093061768923,1.0
Health-Commits0006,10000,0.29937686376526623,0.012608018270712569,30,0.4122587203979492,0.0029238539906569373,3,0.29484562877725673,0.014906129781848357,50.0,0.7016959905624389,0.042889400208691454,3.0,0.2903589518239308,0.01785569118134437,100.0,1.1317914366722106,0.009650193032095763,2.0,0.2902746727309915,0.01794805454429171,200.0,2.8676473021507265,0.19140378822861193,2.0,0.28440080211303725,0.026140331893990235,30,0.31587847471237185,0.007772255756505773,2,0.2701941210966686,0.03233426657018998,50,0.4883693218231201,0.052386540056994516,1,0.2600385803981879,0.03305103578466362,100.0,1.198129904270172,0.2661271801558045,1.0,0.25274249816350436,0.03242040316049632,200.0,2.7770449995994566,0.8733487077845914,1.0
Health-Commits0007,10000,0.25516098182657776,0.083909489670616,30,0.45204546451568606,0.0033909265174071096,2,0.23675823149369507,0.08674047773503796,50.0,0.745358157157898,0.004623200287890064,2.0,0.23434328337541172,0.08464248258033549,100.0,1.862017524242401,0.033886875341912454,2.0,0.22831170476055423,0.08384491338294416,200.0,2.4026602149009704,0.21383230735640874,2.0,0.2016037318926967,0.026359451005439048,30,0.3120866060256958,0.0017344977906114546,1,0.19761766254080604,0.027526784436807707,50,0.9791999816894531,0.05619781246782147,1,0.18537263892820804,0.0260581084744448,100.0,0.9808330655097961,0.05105558638051283,1.0,0.17799935850683474,0.02455747147176098,200.0,1.8934942841529847,0.2545610353280103,1.0
Health-Commits0008,10000,0.38834811696495686,0.02496242684259803,30,0.472442090511322,0.015333861694865433,3,0.37585059499483875,0.02840797089337567,50.0,0.9803510189056397,0.006523370630940005,2.0,0.3719929956834188,0.0280752876231038,100.0,1.2825870513916016,0.17367521937214678,2.0,0.37159638651923677,0.027779624872420864,200.0,2.425056314468384,0.22033178997051978,2.0,0.3664522893550763,0.033229148147520114,30,0.3030000805854797,0.003246185022038081,2,0.3444769457689582,0.042400071704566736,50,0.5230636477470398,0.031123206237453606,1,0.3313046775013946,0.04374833889067945,100.0,0.9398550391197205,0.11547152403102288,1.0,0.3184044074689435,0.041202338239389145,200.0,1.403092896938324,0.4042564966761775,1.0
Health-Commits0009,10000,0.14061389854008752,0.0049759334488354255,30,0.592675244808197,0.004445458288534504,3,0.13841292685177287,0.005800157222888084,50.0,0.7505060911178589,0.006355949168242596,3.0,0.13776128015095254,0.005622111307597286,100.0,1.0283813953399659,0.004496115613705076,2.0,0.13695618864875475,0.006059619294165495,200.0,2.457209587097168,0.22102101640742244,2.0,0.13704508851471453,0.008234634109645964,30,0.559257197380066,0.004235419606132559,2,0.13465744858259365,0.008516719955308897,50,0.5034944176673889,0.01581997592686401,2,0.1321664244223698,0.009111315824838071,100.0,1.4961316585540771,0.12575097477952968,1.0,0.12852862125496187,0.009227421380728101,200.0,1.6268143892288207,0.2913602989962347,1.0
Health-Commits0010,10000,0.2977562601994569,0.016249134112007787,30,0.4545640230178833,0.0032573432075978805,2,0.290260080234299,0.014246661289773546,50.0,0.8468986988067627,0.04618993795505088,2.0,0.2875560752945315,0.01590974880670646,100.0,1.9002279877662658,0.014713041317956614,1.0,0.28700056140504254,0.016365283024610117,200.0,1.5608772158622741,0.29274896633089803,1.0,0.29721975925386374,0.01724580322755924,30,0.4409435987472534,0.00582331429839353,2,0.2925061545428026,0.016410364356402994,50,0.8551729559898377,0.05396921511004148,2,0.28599970416320275,0.01571520896862741,100.0,1.240376055240631,0.173962879971582,1.0,0.27820717176613863,0.013785696834233007,200.0,3.861059617996216,0.04003460334099654,1.0
