Dataset,Rows,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier
FM-500-100-1.00-SAT-1,10000,0.3712783273243816,0.028796651016735744,30,0.3575023651123047,0.02364286665104325,3,0.3622180980243441,0.025909399166684974,50,0.6636637091636658,0.07125418513632042,3,0.328820545927011,0.014910903965295033,100,1.3928254008293153,0.08955969979061314,1,0.31113085336883056,0.006660371212804058,200.0,3.8350616812705995,0.08491947010225079,1.0,0.37493676382986774,0.03816036309045658,30.0,0.24903252124786376,0.0102814777231427,3.0,0.34549932090078633,0.027872038083040167,50,0.38870973587036134,0.00781574251268786,2,0.31193807017375075,0.014243027879028446,100,0.8375060558319092,0.07408727047257374,1,0.2986066235861242,0.010369125229427973,200,2.492798388004303,0.5522022213624191,1
HSMGP_num,3456,0.18032338859005778,0.06897186188257533,30,0.3663637042045593,0.008811182871249866,3,0.15606863690735268,0.07160760555301963,50,0.3918822169303894,0.03288791607144313,3,0.11523302361753807,0.044807602916720285,100,1.6840409755706787,0.17507896912032017,2,0.0666483020681304,0.05526242106826809,200.0,5.157751882076264,0.3041031067789627,1.0,0.013322845681259165,0.007366903340797191,30.0,0.10267140865325926,0.0005993344662932963,1.0,0.008079323996614254,0.0059031318574642175,50,0.16853172779083248,0.0007235559464572948,1,0.0042586030635376705,0.0042380842873447795,100,0.6377444505691529,0.01221637168977861,1,0.0019026745464839547,0.001816976510193987,200,0.6338643312454224,0.035573501205594375,1
HSQLDB,864,0.035249551945375476,0.04482334470494042,30,0.2976810336112976,0.02386480777757199,2,0.016297454175713686,0.023702708521761366,50,0.6101024270057678,0.0317049794159196,1,0.004507978423398675,0.0070657424765289256,100,1.6860870242118835,0.06604240504731428,1,0.0019179890535676951,0.0005429052343276242,200.0,6.416360485553741,0.2069370371774839,1.0,0.00508184228534131,0.0025619224609803935,30.0,0.1322850108146667,0.002729329358658806,1.0,0.004304153557728194,0.0024626399540042436,50,0.23905867338180536,0.004799319866725684,1,0.0028741087801117554,0.0016937135064281365,100,0.5539015173912049,0.052421318921027825,1,0.0026727248812768055,0.001663810689708573,200,0.7193794250488281,0.18572552125027034,1
Health-ClosedIssues0000,10000,0.24047491647568683,0.0014520098526639897,30,0.4184200167655945,0.03267389909250329,2,0.239710212471037,0.0015203097579846727,50,0.6559542536735534,0.017888111984285655,2,0.23888088893580547,0.0012886626812039217,100,1.677912664413452,0.06288145648655802,2,0.2369826221100229,0.0021572186604180876,200.0,2.5681016087532043,0.3089224526595761,2.0,0.22556502347604193,0.08023777707800607,30.0,0.5184089183807373,0.029287701218812367,2.0,0.17299808937074157,0.03838602417166189,50,0.5221880316734314,0.005115050477079347,1,0.15699591308852015,0.024152919506827075,100,1.0121297478675841,0.024935399549324895,1,0.14612666430616333,0.015732388157624348,200,3.3667085766792297,0.18311752024398792,1
Health-ClosedIssues0001,10000,0.3577461066099232,0.04867172107272433,30,0.6290491104125977,0.054437519362582044,1,0.33741685648885605,0.04834538117478056,50,2.2443997144699095,0.037095745497725374,1,0.3007095834489842,0.04175391760052057,100,1.453367030620575,0.035795632812065034,1,0.25876019219961616,0.03611724935191609,200.0,2.9731041550636292,0.3173004212533265,1.0,0.453420436497033,0.016544282016828952,30.0,0.3373239040374756,0.004040373544887378,3.0,0.4458168801921568,0.015151076357149332,50,0.7533977270126343,0.059637204405229696,3,0.4392779319355327,0.01339895284121733,100,1.0627246260643006,0.017477053865193878,2,0.4305160996804262,0.01840006707095746,200,1.5028490543365478,0.25513314459460174,2
Health-ClosedIssues0002,10000,0.36574890971741586,0.00022880711888540676,30,0.49791414737701417,0.03255188432461184,4,0.36555227608029633,0.00040391664391596795,50,0.8733197689056397,0.006031759006197159,3,0.36540361742311855,0.0004273902670714896,100,1.372188103199005,0.23373750655874623,3,0.36507544372629647,0.000538968067801077,200.0,2.521312582492828,0.37429524823778354,2.0,0.17265536049491842,0.02474689741133235,30.0,0.2972469687461853,0.0024348405235026125,1.0,0.15978686497298272,0.038829708381962806,50,0.5053765416145325,0.0062564238203547074,1,0.14339357767327096,0.04311858775553809,100,1.8240296006202699,0.09186029797139421,1,0.12602316573041103,0.04122530103087639,200,1.3716166019439697,0.2760169486434337,1
Health-ClosedIssues0003,10000,0.4850949626558555,0.10856779671275678,30,0.5313317775726318,0.03076658461956146,3,0.46097462546590984,0.11502557693010897,50,0.7938970923423767,0.1063272952322243,3,0.4013290065629194,0.11860238034940482,100,1.6375934720039367,0.16660628341814848,2,0.354482275225854,0.10151635905811615,200.0,3.788138484954834,0.26925617650246914,2.0,0.24566410596909477,0.039330170033363636,30.0,0.43576819896698,0.005937535536419998,1.0,0.20932098874532595,0.03766165327403081,50,0.7810497641563415,0.01397080045567687,1,0.17897943515021192,0.031520272347887256,100,2.05495525598526,0.045280006141352726,1,0.15606705342527433,0.02411322954491311,200,3.1629761457443237,0.3058569064991546,1
Health-ClosedIssues0004,10000,0.5876087249201083,0.0310685246402698,30,0.5352146744728088,0.02949538129101995,3,0.5790654968486995,0.028350218361302817,50,0.8081219911575317,0.10956028414054884,3,0.5616053358429385,0.021034501422845762,100,1.6539684176445006,0.17787792130581329,2,0.5445682257047265,0.015043023958145945,200.0,4.118770742416382,0.3775279098391766,2.0,0.2856327511295836,0.011414049999480497,30.0,0.40952301025390625,0.0032266920662000586,1.0,0.27863651473916623,0.00986136791288884,50,0.6756913542747498,0.005052813987630507,1,0.2698094835239026,0.00568574221948364,100,1.0446866154670715,0.030098136271516376,1,0.26523597605719684,0.00587869998816972,200,3.1689626932144166,0.28187074141485596,1
Health-ClosedIssues0005,10000,0.4282606309612974,0.0027527635920085634,30,0.6273374438285828,0.043480654785628084,3,0.4276541905913792,0.002735583626426669,50,1.2225724577903747,0.010301697960512087,3,0.4221221602324164,0.010910733430147401,100,1.6662638545036317,0.1732602456722099,2,0.4187227909211398,0.011600714978161043,200.0,3.86499764919281,0.258171370918078,2.0,0.23944208373742876,0.005437491050193628,30.0,0.44946794509887694,0.0048472274393941495,1.0,0.23799126255497516,0.00551426672174069,50,0.8567539572715759,0.069866015927989,1,0.2343351977492397,0.0036237621499943698,100,1.8791954159736632,0.03784413467601566,1,0.22981137482456723,0.003721405350478682,200,2.255636990070343,0.2019357411063879,1
Health-ClosedIssues0006,10000,0.5688747509308671,0.03279253123563739,30,0.5692942380905152,0.03586955581218813,3,0.5582717207844997,0.023831084000520357,50,1.025911271572113,0.059117384083589394,3,0.5287743799938583,0.03730174671519318,100,1.6506444811820984,0.17077282816270933,2,0.4980529977310299,0.04420689793216065,200.0,3.784537208080292,0.254820323072144,2.0,0.12469462988795235,0.010706877053017063,30.0,0.44169405698776243,0.0027208160982279505,1.0,0.10992827087983748,0.015145902394833616,50,0.6523247241973877,0.08696644229043256,1,0.09459948612019248,0.01193230070795221,100,1.212043583393097,0.15757046957356602,1,0.08478223387317477,0.010553465849906416,200,4.0426781415939335,0.11685970509529041,1
