Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.3550860212074426,0.06305129452431595,30,0.6669129967689514,0.003806395405860938,2,0.3175570330270153,0.06320574925924333,50,1.1292635560035706,0.062287526014763346,2,0.27429498680933195,0.024564860860867763,100,2.5778225898742675,0.14598177426153008,1,0.264062573127354,0.015093308186114877,200,5.6974460005760195,0.2831682103062671,1,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,2,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.4865438420362532,0.006426380020759076,30,0.47500325441360475,0.0023673353650825266,3,0.4851347578195499,0.006368800136768565,50,1.2330018997192382,0.04117771367349637,3,0.4813195469883489,0.005197299640310448,100,2.184535837173462,0.19286070322055715,2,0.47712963113658724,0.007886054033525804,200,6.6225444912910465,0.0988630444797725,1,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.0546849844588147,0.04890080152874415,30,0.6454548001289367,0.008650863896359384,2,0.039720246906527326,0.049904450010927255,50,1.1927508950233459,0.04130260286790515,2,0.011266215385732956,0.00907658459076706,100,3.048811340332031,0.07719392124081477,1,0.006943363234514775,0.006898923424070436,200,6.6486353278160095,0.11029180464787897,1,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,2,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,0.46215890645980834,0.004824202065276482,1,0.0,0.0,50,0.8447694659233094,0.03848219351389702,1,0.0,0.0,100,2.0734655022621156,0.059795693791413015,1,0.0,0.0,200,3.683669900894165,0.07119993406332038,1,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.021121308675497823,1.3059866396360008e-05,30,0.616646146774292,0.004952737918321414,2,0.021115254095207456,2.9436299366661747e-05,50,1.022990608215332,0.045517048978962055,2,0.021112333820303468,3.133494686674677e-05,100,1.9531679153442383,0.0585681906833034,2,0.020850581890689796,0.0006094299964176041,200,5.888925695419312,0.24360848497937831,1,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,2,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,2,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,2.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,1.0
Health-ClosedPRs0003,10000,0.08309179389350554,7.25444128273518e-06,30,0.5614565014839172,0.007056545854947355,4,0.08309179389350554,7.25444128273518e-06,50,0.9863279461860657,0.07212921830581952,4,0.08309179389350554,7.25444128273518e-06,100,2.6366385221481323,0.13578735869337624,4,0.083081948813231,3.142680310118769e-05,200,5.7904973983764645,0.32929762267812485,3,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,2,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,2,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,2.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,1.0
Health-ClosedPRs0004,10000,0.4155424762039079,0.10761285133012603,30,0.4722526431083679,0.0038872991246242444,3,0.3554308863101666,0.06533487151839291,50,0.9819209337234497,0.03412566407370391,2,0.33611120885282525,0.04162916165656231,100,2.7792784214019775,0.09911536364781058,1,0.3183911096567654,0.032902090830117255,200,5.180842101573944,0.23861678447396284,1,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,2,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.002297823370419472,0.0028698827932502153,30,0.4861578464508057,0.006248648313441166,2,0.0006820740688842569,0.0008614834628515406,50,0.8276688575744628,0.031218529373787593,1,0.0002073370959672844,0.0004848815383960307,100,2.1678108096122743,0.17022416382537692,1,4.527621103070348e-06,1.3961610562883052e-05,200,4.934553551673889,0.31717639504341394,1,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,2,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.37100729034632846,0.12058042679623816,30,0.5552054405212402,0.008063728541694876,3,0.2798952097863339,0.10605884540343133,50,0.966616153717041,0.037637307654773015,2,0.22478321386588712,0.08542340304471044,100,2.766181492805481,0.07366077943493829,2,0.18920315499374132,0.07765140192503076,200,5.347454035282135,0.4394925782532707,1,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,2,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.12517115086015979,0.06986684822940038,30,0.6561476707458496,0.003462272977477455,2,0.09205785052676382,0.03905860177154526,50,0.9007498621940613,0.04866126465965866,2,0.06467082196091065,0.025948984789225363,100,2.097175407409668,0.09149003485985308,1,0.050784979824020804,0.0163811988942312,200,5.122134578227997,0.44992501710175414,1,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,2,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
Health-ClosedPRs0008,10000,0.6656898869329861,0.08978477018113905,30,0.7198309779167176,0.008543045070173528,3,0.6193870780140072,0.056388162127454275,50,1.4348556280136109,0.043646939021845355,3,0.6013804982015969,0.031337707838986886,100,2.107730448246002,0.09636811992560465,2,0.5775668025630234,0.0163463532178252,200,6.660654413700104,0.1491592321545887,2,0.5576964136362242,0.12627331232457079,30,0.30874587297439576,0.004923288466971367,2,0.4507049359345726,0.17394344733742115,50,0.523919141292572,0.041166032643355575,1,0.41551516594012694,0.19070314132406876,100.0,0.8853743314743042,0.22077849031838748,1.0,0.4139035651532866,0.19156863527327325,200.0,2.4730019211769103,1.1422557951300678,1.0
Health-ClosedPRs0009,10000,0.5636417330908162,0.11994995874913522,30,0.6410507082939148,0.004290091564463848,2,0.5414945790497884,0.11634740515108814,50,0.9712330222129821,0.03965857169535011,2,0.4992604553848087,0.11575221622996715,100,2.356380808353424,0.18267018037769864,1,0.4169716976940002,0.08408622761272408,200,5.635240161418915,0.4647415236179777,1,0.5855812691741719,0.139434069840827,30,0.32018495798110963,0.004663338685126694,2,0.5308717370911491,0.16271748261077654,50,0.7274855136871338,0.07021881223611702,2,0.4850391701888855,0.17486939197552107,100.0,1.2872346758842468,0.17402231297027676,1.0,0.4810666145335879,0.17655447388116743,200.0,2.339808797836304,0.5457193294440273,1.0
Health-ClosedPRs0010,10000,0.4727297011511363,0.061374856842373635,30,0.5163657069206238,0.007847635743571642,3,0.4549404365281002,0.061613758722262525,50,0.9445401906967164,0.041554785755955545,3,0.41895579051129184,0.04905009657334587,100,2.059606683254242,0.0623636565121121,2,0.3681171651992586,0.05870641036444237,200,5.098499059677124,0.30537802501145134,1,0.36398041623889565,0.13597995634200835,30,0.4071220397949219,0.0054274977430695225,1,0.326472973056087,0.13322522860351765,50,0.6599358081817627,0.03468860968301057,1,0.294569167761235,0.11544673483245267,100.0,0.958400285243988,0.1096047920840588,1.0,0.27184337681707654,0.10128558175406059,200.0,2.573913264274597,0.4592781897225819,1.0
Health-ClosedPRs0011,10000,0.0,0.0,30,0.48637934923172,0.006237670050031079,1,0.0,0.0,50,0.9160919308662414,0.06674256266328603,1,0.0,0.0,100,1.924985945224762,0.06186623869423135,1,0.0,0.0,200,4.793130254745483,0.20863467389451776,1,0.0,0.0,30,0.39955190420150755,0.00528019731175252,1,0.0,0.0,50,0.667655861377716,0.008183934121452003,1,0.0,0.0,100.0,1.3363574028015137,0.014617375905288846,1.0,0.0,0.0,200.0,3.593744623661041,0.18335815907904854,1.0
