Dataset,Rows,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.4778519148820857,0.0937671217103939,30,0.6045840978622437,0.043938240070952164,3,0.438831398299062,0.07324394510447067,50,1.215341901779175,0.014412624914574752,3,0.4163892957041412,0.04784968075677726,100,2.8907687425613404,0.0930099893571237,2,0.3833099238105831,0.03355491946726685,200.0,6.5762410998344425,0.14823255699698135,2.0,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,1,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.4446346755757255,0.029835754576523862,30,0.5621203541755676,0.0460867044311678,1,0.4391114950300688,0.027095665328385036,50,1.1286763429641724,0.009954602660015232,1,0.4188801636614533,0.022631506540103923,100,2.8814393639564515,0.0937818565126035,1,0.40276935754426396,0.012325118340209858,200.0,6.423616337776184,0.08870927064770398,1.0,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,3,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,2.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,2.0
Health-ClosedIssues0011,10000,0.16324547118966679,0.026783718238958906,30,0.5870454430580139,0.03969050368863426,3,0.1623397178870258,0.02651378269833864,50,1.4368281841278077,0.01484266876491254,3,0.155037694370802,0.03243262282806059,100,1.7982817888259888,0.04250940455274528,3,0.1380141680323578,0.040362359595853894,200.0,6.793351840972901,0.09127485579205295,2.0,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,1,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,0.4677610397338867,0.009712533039517421,1,0.0,0.0,50,0.8122807383537293,0.010005006767919506,1,0.0,0.0,100,2.023205578327179,0.0710376227007621,1,0.0,0.0,200.0,5.066832053661346,0.15664601906698827,1.0,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.551618925807876,0.00010547081133442772,30,0.5984723329544067,0.05203920631120033,3,0.5516025802413138,0.00010038539005945228,50,1.1512587070465088,0.022083230712236494,3,0.5515172676742182,0.0001263976306386548,100,2.5089233756065368,0.08905561490289429,2,0.5514380156674724,0.00011504033008602343,200.0,6.176023817062378,0.1646836441289273,2.0,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,1,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,1,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,1.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,1.0
Health-ClosedPRs0003,10000,0.42149013315288225,0.020327000668255223,30,0.5032273173332215,0.03302493431132005,3,0.4138077876314906,0.02786085065858322,50,1.0212213397026062,0.05965069182029719,3,0.4060180512362758,0.029473765323150092,100,2.2643900752067565,0.12650945217472925,3,0.380109225181521,0.0653360752306332,200.0,5.388692140579224,0.32694190650880584,2.0,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,1,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,1,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,1.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,1.0
Health-ClosedPRs0004,10000,0.1178105694846735,0.0019672101999493163,30,0.5433617830276489,0.037823190467801235,1,0.11744694645884753,0.0018371799617209472,50,0.878281044960022,0.00711721107782115,1,0.11590927933324509,0.002233271316731229,100,2.199527955055237,0.16225497408642559,1,0.11424508919084184,0.0022220503527792283,200.0,5.746536588668823,0.33178448943335576,1.0,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,3,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,2,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,2.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,2.0
Health-ClosedPRs0005,10000,0.4804632851638663,0.025366037282239483,30,0.6802088856697083,0.04417308671243267,3,0.4801405132326904,0.025282597263579953,50,1.0518090724945068,0.014153538710456487,3,0.4699176686696401,0.04311383970619782,100,2.0784619569778444,0.04867397565303201,3,0.4510204203411529,0.05928559134994277,200.0,5.609714412689209,0.32248450158874986,2.0,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,1,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.5078503600614279,0.043545652710954695,30,0.5276223421096802,0.034901070205171816,3,0.49224411549963365,0.048334048548220904,50,1.1707672715187072,0.01422642866418487,3,0.46674276641061957,0.0330360797241705,100,1.9880208492279052,0.06885331439101953,2,0.44875461804285033,0.022914832468564197,200.0,5.819071519374847,0.26908548780978564,2.0,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,1,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.5591028266796878,0.1186109967314939,30,0.6351800084114074,0.04303908171410077,3,0.5264602426098535,0.134387340094304,50,0.9264420390129089,0.01258334612816238,3,0.47189338701845907,0.1687854164687941,100,2.194173741340637,0.11331244541330918,3,0.34646505825517665,0.14970283714130952,200.0,4.886265909671783,0.1015526289593686,2.0,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,1,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
