Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,MOEAD-30_mean,MOEAD-30_std,MOEAD-30_budget,MOEAD-30_runtime_mean,MOEAD-30_runtime_std,MOEAD-30_tier,MOEAD-50_mean,MOEAD-50_std,MOEAD-50_budget,MOEAD-50_runtime_mean,MOEAD-50_runtime_std,MOEAD-50_tier,MOEAD-100_mean,MOEAD-100_std,MOEAD-100_budget,MOEAD-100_runtime_mean,MOEAD-100_runtime_std,MOEAD-100_tier,MOEAD-200_mean,MOEAD-200_std,MOEAD-200_budget,MOEAD-200_runtime_mean,MOEAD-200_runtime_std,MOEAD-200_tier
Health-ClosedIssues0007,10000,0.5432524381178477,0.06895079653698193,30,0.620739758014679,0.03350877886076776,4,0.5205438405100643,0.06334087359865206,50,1.048375380039215,0.07350640709069638,3,0.48688080039753795,0.06060144761518054,100,3.1255405068397524,0.1127385444442417,2,0.45551646640137705,0.07123122577400072,200,5.128142249584198,0.4601871238005273,1,inf,nan,30,130.76688294410707,0.3134375047898903,5,inf,nan,50,130.91557124853134,0.21869157255371424,5,inf,nan,100,130.90718603134155,0.17308469456227668,5,inf,nan,200,130.87359257936478,0.07237698021065848,5
Health-ClosedIssues0008,10000,0.30446965780703106,0.04646613774076014,30,0.6984092712402343,0.013269986900179985,4,0.28941259865993413,0.04003387445645791,50,1.1464046716690064,0.04750934664068639,3,0.2580297076677327,0.0150904977359868,100,2.3228377223014833,0.1454405839649292,2,0.2507176972712499,0.01020868660190119,200,6.552331531047821,0.11183270651496476,1,inf,nan,30,130.72980191707612,0.3909413494620856,5,inf,nan,50,130.87398506402968,0.30709803609566083,5,inf,nan,100,130.76545090675353,0.041727579350296445,5,inf,nan,200,130.788877594471,0.14360850368814185,5
Health-ClosedIssues0009,10000,0.3550860212074426,0.06305129452431595,30,0.6669129967689514,0.003806395405860938,4,0.3175570330270153,0.06320574925924333,50,1.1292635560035706,0.062287526014763346,3,0.27429498680933195,0.024564860860867763,100,2.5778225898742675,0.14598177426153008,2,0.264062573127354,0.015093308186114877,200,5.6974460005760195,0.2831682103062671,1,inf,nan,30,130.84513298273086,0.038598731983031015,5,inf,nan,50,130.80607829093933,0.1353207517957795,5,inf,nan,100,130.89382528066636,0.06121768179088649,5,inf,nan,200,130.67925448417662,0.4659906902585107,5
Health-ClosedIssues0010,10000,0.4865438420362532,0.006426380020759076,30,0.47500325441360475,0.0023673353650825266,4,0.4851347578195499,0.006368800136768565,50,1.2330018997192382,0.04117771367349637,3,0.4813195469883489,0.005197299640310448,100,2.184535837173462,0.19286070322055715,2,0.47712963113658724,0.007886054033525804,200,6.6225444912910465,0.0988630444797725,1,inf,nan,30,130.86419620513917,0.08364055632663638,5,inf,nan,50,130.92167377471924,0.34994521381979643,5,inf,nan,100,130.82453534603118,0.10523255761009516,5,inf,nan,200,130.70245249271392,0.45695812165912425,5
Health-ClosedIssues0011,10000,0.0546849844588147,0.04890080152874415,30,0.6454548001289367,0.008650863896359384,4,0.039720246906527326,0.049904450010927255,50,1.1927508950233459,0.04130260286790515,3,0.011266215385732956,0.00907658459076706,100,3.048811340332031,0.07719392124081477,2,0.006943363234514775,0.006898923424070436,200,6.6486353278160095,0.11029180464787897,1,inf,nan,30,130.77637288570403,0.3771390354153412,5,inf,nan,50,130.76770528554917,0.4238210004866501,5,inf,nan,100,130.73347024917604,0.40002011641184254,5,inf,nan,200,130.72333167791368,0.4190820869224391,5
Health-ClosedPRs0000,10000,0.0,0.0,30,0.46215890645980834,0.004824202065276482,1,0.0,0.0,50,0.8447694659233094,0.03848219351389702,2,0.0,0.0,100,2.0734655022621156,0.059795693791413015,3,0.0,0.0,200,3.683669900894165,0.07119993406332038,4,inf,nan,30,130.92584549188615,0.2103618749023033,5,inf,nan,50,130.98121824264527,0.058186082540629076,5,inf,nan,100,130.90684456825255,0.1817993815205735,5,inf,nan,200,130.93668801784514,0.17034352580626239,5
Health-ClosedPRs0002,10000,0.021121308675497823,1.3059866396360008e-05,30,0.616646146774292,0.004952737918321414,4,0.021115254095207456,2.9436299366661747e-05,50,1.022990608215332,0.045517048978962055,3,0.021112333820303468,3.133494686674677e-05,100,1.9531679153442383,0.0585681906833034,2,0.020850581890689796,0.0006094299964176041,200,5.888925695419312,0.24360848497937831,1,inf,nan,30,130.94830458164216,0.17896095567778908,5,inf,nan,50,130.91947014331816,0.0651264295327326,5,inf,nan,100,130.89731427431107,0.16681862919724544,5,inf,nan,200,131.01300908327102,0.5066905851262661,5
Health-ClosedPRs0003,10000,0.08309179389350554,7.25444128273518e-06,30,0.5614565014839172,0.007056545854947355,2,0.08309179389350554,7.25444128273518e-06,50,0.9863279461860657,0.07212921830581952,3,0.08309179389350554,7.25444128273518e-06,100,2.6366385221481323,0.13578735869337624,4,0.083081948813231,3.142680310118769e-05,200,5.7904973983764645,0.32929762267812485,1,inf,nan,30,130.72656490802765,0.502776820892407,5,inf,nan,50,130.79678205251693,0.41347134167155497,5,inf,nan,100,130.8602275133133,0.06239332088570395,5,inf,nan,200,130.9188904643059,0.11729210128378179,5
Health-ClosedPRs0004,10000,0.4155424762039079,0.10761285133012603,30,0.4722526431083679,0.0038872991246242444,4,0.3554308863101666,0.06533487151839291,50,0.9819209337234497,0.03412566407370391,3,0.33611120885282525,0.04162916165656231,100,2.7792784214019775,0.09911536364781058,2,0.3183911096567654,0.032902090830117255,200,5.180842101573944,0.23861678447396284,1,inf,nan,30,130.80550899505616,0.27805792516472666,5,inf,nan,50,130.86243305206298,0.06874881334965759,5,inf,nan,100,130.72229439020157,0.4601547230175332,5,inf,nan,200,130.78058087825775,0.42613188859718604,5
Health-ClosedPRs0005,10000,0.002297823370419472,0.0028698827932502153,30,0.4861578464508057,0.006248648313441166,4,0.0006820740688842569,0.0008614834628515406,50,0.8276688575744628,0.031218529373787593,3,0.0002073370959672844,0.0004848815383960307,100,2.1678108096122743,0.17022416382537692,2,4.527621103070348e-06,1.3961610562883052e-05,200,4.934553551673889,0.31717639504341394,1,inf,nan,30,130.91085158586503,0.6007075420642314,5,inf,nan,50,130.91624006032944,0.13147705310675595,5,inf,nan,100,130.75944501161575,0.32788988310216244,5,inf,nan,200,130.8314677476883,0.11790605111633205,5
