Dataset,Rows,SMSEMOA-30_mean,SMSEMOA-30_std,SMSEMOA-30_budget,SMSEMOA-30_runtime_mean,SMSEMOA-30_runtime_std,SMSEMOA-30_tier,SMSEMOA-50_mean,SMSEMOA-50_std,SMSEMOA-50_budget,SMSEMOA-50_runtime_mean,SMSEMOA-50_runtime_std,SMSEMOA-50_tier,SMSEMOA-100_mean,SMSEMOA-100_std,SMSEMOA-100_budget,SMSEMOA-100_runtime_mean,SMSEMOA-100_runtime_std,SMSEMOA-100_tier,SMSEMOA-200_mean,SMSEMOA-200_std,SMSEMOA-200_budget,SMSEMOA-200_runtime_mean,SMSEMOA-200_runtime_std,SMSEMOA-200_tier,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier
SS-I,1080,0.42602476723610055,0.1122243472217348,30,0.13851120471954342,0.01327060512294756,2,0.3977856480197839,0.12208871937680904,50.0,0.27724112272262574,0.01716526087700047,2.0,0.27127491504016044,0.09577165405460727,100,1.0461100816726685,0.03646038610740328,1,0.2511999554263558,0.07645720248447302,200.0,1.1158119797706605,0.21862169614231414,1.0,0.35239582421652804,0.11229965171991742,30,0.3739899158477783,0.021354119855041823,2,0.302606147882598,0.10407883463583495,50,0.883639907836914,0.008723716055826745,1,0.263632467403205,0.07679676113138753,100,1.0987494230270385,0.04616843133169384,1,0.24618567822764606,0.06596388026954672,200.0,3.3481989026069643,0.3545056561642957,1.0
SS-J,3840,0.3585046181113126,0.225355066450217,30,0.21213538646697994,0.003139515909079309,2,0.26758985757652093,0.2086748855562773,50.0,0.2725008845329285,0.0012057791001675315,2.0,0.15942562423115844,0.196734715095736,100,1.1437858939170837,0.10608774069228823,1,0.14553632323965499,0.19846507115117604,200.0,1.3363590121269227,0.02170316062611754,1.0,0.2635330695671511,0.2418252102372604,30,0.4360523819923401,0.04521217992295218,2,0.18102544697234255,0.20383430126459334,50,0.5201039671897888,0.027908486907054986,1,0.14301906244328794,0.19834659969570456,100,1.484088933467865,0.1808316312966032,1,0.13013298683885272,0.20079239807076216,200.0,4.663422167301178,0.26623667023647285,1.0
SS-K,2880,0.26563555969747044,0.06264437798590632,30,0.14701092243194575,0.018104818071780774,2,0.2513727374535303,0.05176552601575825,50.0,0.2763329744338989,0.018434485241769036,2.0,0.1921399146745773,0.02412800989271858,100,0.6782858014106751,0.0037681558830974337,1,0.18570527338222725,0.023785849923634892,200.0,1.2641302585601806,0.2048162852254866,1.0,0.23706636175297696,0.07129251374539904,30,0.38524826765060427,0.013291373866131776,2,0.20736733889036968,0.029541029635353877,50,0.4884746551513672,0.022002661333080924,1,0.1862470054965314,0.017839364331410305,100,1.1292858004570008,0.04165995799456437,1,0.1697304291743433,0.006387305063023406,200.0,3.2905933976173403,0.2567875245489214,1.0
SS-L,1023,0.21863199394535907,0.054087202548860805,30,0.2148532629013061,0.004109134741772193,2,0.19838388173855348,0.04358160559447085,50.0,0.2826509833335876,0.014200706745906134,2.0,0.16903685575143373,0.009895894312469452,100,0.6811437726020813,0.01691432088216405,1,0.163585760187964,0.0039577569765295705,200.0,1.241981816291809,0.2065798301302535,1.0,0.2075985708219048,0.05325245733552281,30,0.32976059913635253,0.022278407636171452,2,0.187231480819061,0.022860738503360158,50,0.5723732471466064,0.03741926020937795,1,0.17256791046168668,0.00850826649323353,100,1.332728958129883,0.14917237515392215,1,0.16527463668204712,0.005182529674158618,200.0,2.6697389602661135,0.35600978988777654,1.0
SS-M,864,0.11556665283229386,0.051128198132305576,30,0.20862787961959833,0.016517469593213777,3,0.08882476146206723,0.032474659178767205,50.0,0.7079978346824646,0.028084152051451036,2.0,0.05923493348143507,0.029661287279774688,100,1.0142993807792664,0.08264900226726964,1,0.04551291473438159,0.027663370304868908,200.0,1.5555132269859313,0.257504492684193,1.0,0.0803483007921222,0.03953516981910099,30,0.8054333806037903,0.007033581242994995,2,0.05192828255702521,0.02687481398486041,50,1.502311384677887,0.10034295693492397,1,0.038900518707487966,0.009968473814276365,100,2.740550708770752,0.27168940198316344,1,0.03209294909494095,0.005455514271658219,200.0,3.6853187918663024,0.3916385597682149,1.0
SS-N,53662,0.6445341456117346,0.03566718111351078,30,0.14465605020523067,0.015283631510889165,4,0.6222321072807729,0.040077116650071985,50.0,0.30246577262878416,0.01818010587124703,3.0,0.5702505306475556,0.046038199529208464,100,1.0987038612365723,0.12967259468768705,1,0.5357877107161098,0.039001349503664386,200.0,1.3618836641311645,0.007117909678510948,1.0,0.6230494191627792,0.04063110664736307,30,0.3909865260124207,0.03976107505419126,3,0.5982261451390432,0.04051562195570451,50,0.6371939182281494,0.039312780055835904,2,0.5657181404159619,0.04179530181310965,100,1.1889112830162047,0.16951421619253548,1,0.5280590790522195,0.037851513989997594,200.0,4.842557370662689,0.36296463002180995,1.0
SS-O,972,0.4654681457532144,0.07506059655290129,30,0.15959045886993403,0.020352692261818937,2,0.4424790569263067,0.06783543297406525,50.0,0.27350151538848877,0.012559664332773909,2.0,0.3813115658251522,0.04248040335818273,100,1.1905166149139403,0.09992729819920909,1,0.35912192360484674,0.0339522678264438,200.0,2.0238491177558897,0.16681021982165842,1.0,0.4346688625532053,0.05442577023565496,30,0.3045796871185303,0.021418768170126463,2,0.4217074235659354,0.05781093409703796,50,0.5478045344352722,0.03470301246557654,2,0.37433468479891036,0.03249306012617167,100,1.6111228346824646,0.20516382949513104,1,0.3403412307256501,0.017152037868714998,200.0,2.59887318611145,0.33030101364980013,1.0
SS-P,1023,0.21863199394535907,0.054087202548860805,30,0.13864064216613764,0.007260286345663768,2,0.19838388173855348,0.04358160559447085,50.0,0.2832625865936279,0.016434276779672134,2.0,0.16903685575143373,0.009895894312469452,100,0.6887529253959656,0.020614508210002564,1,0.163585760187964,0.0039577569765295705,200.0,2.204403817653656,0.2439297887761925,1.0,0.2075985708219048,0.05325245733552281,30,0.29496883153915404,0.020056257699866107,2,0.187231480819061,0.022860738503360158,50,0.5690756916999817,0.038250520239844016,1,0.17256791046168668,0.00850826649323353,100,1.4475721836090087,0.18435766239745713,1,0.16527463668204712,0.005182529674158618,200.0,2.571734607219696,0.3707924438651716,1.0
SS-Q,2736,0.4953215936499529,0.020795100223466388,30,0.20602525472640987,0.012492058837841364,2,0.49458773306449516,0.02046341900937333,50.0,0.6624053239822387,0.07302559871635685,2.0,0.4783843229235426,0.011345229000934863,100,1.0451560378074647,0.023329126476422126,1,0.47240913656089256,0.0022856877348453393,200.0,2.878629970550537,0.2618244448485305,1.0,0.4951192948412997,0.02334592971839121,30,0.43551087379455566,0.022333468626896735,2,0.4806164764270635,0.012421720948843312,50,0.7557765722274781,0.032901655052757495,1,0.4740798580488936,0.0047012113641591675,100,2.8838231921195985,0.16958829274288278,1,0.4712876836180258,0.0016050771594877142,200.0,3.3529361367225645,0.3774231294820729,1.0
SS-R,3008,0.48749124330076576,0.013228473550631155,30,0.20646539926528926,0.008901668576029422,2,0.48195338894660883,0.010530516216344325,50.0,0.3264517068862915,0.024074415829453206,2.0,0.472022461233731,0.006019188950154503,100,0.6903009057044983,0.01948135824748323,1,0.46832219282617576,0.00474407891146961,200.0,2.580843722820282,0.017766292136269807,1.0,0.48351569357236607,0.011153466370325063,30,0.4597501397132874,0.037309872593249596,2,0.47866840121448584,0.009861947900393008,50,0.5871849417686462,0.029171150735558916,2,0.46984265841401,0.006721617531229725,100,1.5671568393707276,0.18376093597279494,1,0.46699887058140604,0.005949037020159026,200.0,2.906276082992554,0.34208620934790857,1.0
