Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier
HSQLDB,864,inf,nan,30,4.887580871582031e-06,2.0878200829951205e-06,5,inf,nan,50,3.337860107421875e-06,3.189354200648969e-07,5,inf,nan,100,3.361701965332031e-06,7.252249391787659e-07,5,inf,nan,200,3.0040740966796874e-06,6.397441799640054e-07,5,0.035249551945375476,0.04482334470494042,30,0.2976810336112976,0.02386480777757199,4,0.016297454175713686,0.023702708521761366,50,0.6101024270057678,0.0317049794159196,3,0.004507978423398675,0.0070657424765289256,100,1.6860870242118835,0.06604240504731428,2,0.0019179890535676951,0.0005429052343276242,200.0,6.416360485553741,0.2069370371774839,1.0
Health-ClosedIssues0000,10000,0.2436035472793674,0.08124869683254071,30,0.4111568808555603,0.017896622850373353,2,0.1971589273666558,0.04340968601686768,50,0.7020341038703919,0.033024599375745624,1,0.1762449802718085,0.01737836565604451,100,1.5049140095710754,0.04263887977870421,1,0.16525997917143045,0.01748495069092038,200,2.9389729380607603,0.30358763864035315,1,0.24047491647568683,0.0014520098526639897,30,0.4184200167655945,0.03267389909250329,2,0.239710212471037,0.0015203097579846727,50,0.6559542536735534,0.017888111984285655,2,0.23888088893580547,0.0012886626812039217,100,1.677912664413452,0.06288145648655802,2,0.2369826221100229,0.0021572186604180876,200.0,2.5681016087532043,0.3089224526595761,2.0
Health-ClosedIssues0001,10000,0.4534503448138981,0.021031773269409207,30,0.5042796850204467,0.001995079614613707,3,0.4443007046898203,0.026285755972866955,50,0.9312045097351074,0.03509764228406714,3,0.43980374627476343,0.024623764109980874,100,1.2952330827713012,0.23735182141399777,3,0.42221692934720256,0.02479846328675889,200,5.056904065608978,0.06944379009162537,2,0.3577461066099232,0.04867172107272433,30,0.6290491104125977,0.054437519362582044,1,0.33741685648885605,0.04834538117478056,50,2.2443997144699095,0.037095745497725374,1,0.3007095834489842,0.04175391760052057,100,1.453367030620575,0.035795632812065034,1,0.25876019219961616,0.03611724935191609,200.0,2.9731041550636292,0.3173004212533265,1.0
Health-ClosedIssues0002,10000,0.1788156469320195,0.007005811315925642,30,0.5257809042930603,0.007145431572648381,1,0.17424291459639574,0.020737231829568176,50,0.8903644561767579,0.08255721796555562,1,0.16920274124214613,0.028554942598215186,100,1.7104488849639892,0.18717054267532485,1,0.14771890651538433,0.04570387814947718,200,3.775747263431549,0.23952680199503998,1,0.36574890971741586,0.00022880711888540676,30,0.49791414737701417,0.03255188432461184,4,0.36555227608029633,0.00040391664391596795,50,0.8733197689056397,0.006031759006197159,3,0.36540361742311855,0.0004273902670714896,100,1.372188103199005,0.23373750655874623,3,0.36507544372629647,0.000538968067801077,200.0,2.521312582492828,0.37429524823778354,2.0
Health-ClosedIssues0003,10000,0.21397280771566315,0.040386414560268445,30,0.5202122926712036,0.004735469087465573,1,0.19247584490314723,0.036260887501976966,50,0.8616321444511413,0.11131883254920291,1,0.17094856255900365,0.02797369303225981,100,1.9047646164894103,0.24552073302452898,1,0.15385063390375242,0.005470043204040262,200,3.847444224357605,0.23834443545763082,1,0.4850949626558555,0.10856779671275678,30,0.5313317775726318,0.03076658461956146,3,0.46097462546590984,0.11502557693010897,50,0.7938970923423767,0.1063272952322243,3,0.4013290065629194,0.11860238034940482,100,1.6375934720039367,0.16660628341814848,2,0.354482275225854,0.10151635905811615,200.0,3.788138484954834,0.26925617650246914,2.0
Health-ClosedIssues0004,10000,0.292052620866614,0.011274834418332188,30,0.6185630083084106,0.004352018293001084,1,0.2870530059384997,0.008469782539811831,50,0.8556672096252441,0.10601630761928388,1,0.2804625666687478,0.007928082518774532,100,1.8399478316307067,0.23499876337474035,1,0.2781040386510164,0.007609851530381799,200,3.827814149856567,0.2624242139338894,1,0.5876087249201083,0.0310685246402698,30,0.5352146744728088,0.02949538129101995,3,0.5790654968486995,0.028350218361302817,50,0.8081219911575317,0.10956028414054884,3,0.5616053358429385,0.021034501422845762,100,1.6539684176445006,0.17787792130581329,2,0.5445682257047265,0.015043023958145945,200.0,4.118770742416382,0.3775279098391766,2.0
Health-ClosedIssues0005,10000,0.24040169914290127,0.004658361305913099,30,0.5699543237686158,0.010619286165967511,1,0.23808492129231767,0.0048390089749992034,50,0.9864761829376221,0.03430890233773411,1,0.2374768892684561,0.004801781863245757,100,1.6979477763175965,0.17720339410094677,1,0.23347282164787458,0.00454413167665079,200,4.1591023206710815,0.33219403001915476,1,0.4282606309612974,0.0027527635920085634,30,0.6273374438285828,0.043480654785628084,3,0.4276541905913792,0.002735583626426669,50,1.2225724577903747,0.010301697960512087,3,0.4221221602324164,0.010910733430147401,100,1.6662638545036317,0.1732602456722099,2,0.4187227909211398,0.011600714978161043,200.0,3.86499764919281,0.258171370918078,2.0
Health-ClosedIssues0006,10000,0.12342376603815867,0.008522299168281337,30,0.5564061164855957,0.013905898011385443,1,0.11802956448020305,0.0074000705597693965,50,0.8004163384437561,0.03738103702201573,1,0.11109920642574841,0.008129921259893563,100,1.8154330134391785,0.20342413267119483,1,0.10524387544302356,0.008816516663489198,200,6.154932594299316,0.11567831696315055,1,0.5688747509308671,0.03279253123563739,30,0.5692942380905152,0.03586955581218813,3,0.5582717207844997,0.023831084000520357,50,1.025911271572113,0.059117384083589394,3,0.5287743799938583,0.03730174671519318,100,1.6506444811820984,0.17077282816270933,2,0.4980529977310299,0.04420689793216065,200.0,3.784537208080292,0.254820323072144,2.0
Health-ClosedIssues0007,10000,0.5432524381178477,0.06895079653698193,30,0.620739758014679,0.03350877886076776,2,0.5205438405100643,0.06334087359865206,50,1.048375380039215,0.07350640709069638,2,0.48688080039753795,0.06060144761518054,100,3.1255405068397524,0.1127385444442417,1,0.45551646640137705,0.07123122577400072,200,5.128142249584198,0.4601871238005273,1,0.5196340067032178,0.05158951867504346,30,0.5708284258842469,0.037574817870685936,2,0.5059868029052188,0.0463882423468707,50,0.8827678322792053,0.11383549542912084,2,0.4780071086953542,0.039119014705123904,100,1.8114818692207337,0.2420681714626349,1,0.44544159932130223,0.01667490792925468,200.0,5.110261523723603,0.32755448576740287,1.0
Health-ClosedIssues0008,10000,0.30446965780703106,0.04646613774076014,30,0.6984092712402343,0.013269986900179985,2,0.28941259865993413,0.04003387445645791,50,1.1464046716690064,0.04750934664068639,1,0.2580297076677327,0.0150904977359868,100,2.3228377223014833,0.1454405839649292,1,0.2507176972712499,0.01020868660190119,200,6.552331531047821,0.11183270651496476,1,0.34454118252004556,0.011373581925684318,30,0.5559445738792419,0.035101524959706996,4,0.3394945162464962,0.009067644057475012,50,1.2072187423706056,0.04024954338107375,4,0.3328312367801059,0.004461753282914461,100,1.9833566188812255,0.044095980245149456,3,0.3232542556995409,0.010987738672953365,200.0,4.101150691509247,0.33015079337912095,2.0
