Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.32683474920986044,0.07083057603369397,30,5.256659281253815,0.42814241971238237,2,0.2826771512611519,0.049663187856570985,50,9.378034245967864,1.0434138539604685,1,0.2657566341762317,0.0479224663736573,100,21.90512263774872,2.2145060575448543,1,0.23867923359816579,0.009576428160116307,200,44.77832911014557,4.114113467894149,1,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,2,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.48194697865661346,0.006392265560159643,30,4.8877766013145445,0.43025796507586217,2,0.480639727898075,0.007152178043414932,50,8.952867543697357,1.1108728321050645,2,0.47147805032982354,0.009190357237210794,100,21.144359815120698,2.221873743339353,1,0.466092217054592,0.00958165742705987,200,44.065387952327725,5.128811891385789,1,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.02696550992919581,0.026886007555061046,30,4.491642165184021,0.46561108222546843,2,0.01920542598562381,0.02608625107980847,50,17.940895116329195,1.3726796911578194,1,0.004068016044017895,0.006960253939265764,100,20.59467006921768,2.579955263986386,1,0.0023269787154478303,0.0061954276855597625,200,36.79263453483581,4.792564362062101,1,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,3,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,2,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,4.023287379741669,0.5425908952094955,1,0.0,0.0,50,7.68355963230133,1.0416847166228613,1,0.0,0.0,100,19.063914930820467,2.6237744190342784,1,0.0,0.0,200,35.22536514997482,4.488741489082557,1,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.021096542354763482,0.00011453903330245893,30,4.551448321342468,0.6298053863391442,3,0.020784463910868224,0.0006390758630551448,50,7.546447670459747,1.089486425595951,2,0.020178411754139508,0.0008819086268035055,100,17.77962120771408,2.298785657862578,1,0.02007796430732477,0.0008803153433115123,200,37.34859807491303,5.120454092330186,1,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,3,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,3,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,3.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,2.0
Health-ClosedPRs0003,10000,0.083064398309853,0.00012977121594345744,30,4.261550772190094,0.5467242178106274,3,0.08304721881638054,0.0001636612897247222,50,8.0590771317482,1.1055080528784231,3,0.08249661413685476,0.0007479565928585053,100,18.396261358261107,2.435637011420646,1,0.08246420132170461,0.000832047872141108,200,37.36668659448624,4.169213821394527,1,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,3,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,3,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,3.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,2.0
Health-ClosedPRs0004,10000,0.3237017767925444,0.06861095802604673,30,5.429679048061371,0.6256896912973477,2,0.30244772526325525,0.033994952161301696,50,8.443996596336365,1.165707265638378,1,0.29166432994954616,0.03646740527870864,100,19.903754436969756,2.756494320296796,1,0.2806280566379677,0.005686748511593477,200,38.79978835582733,5.128202477255433,1,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,2,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.001340562116072121,0.004034395616073244,30,4.493973839282989,0.562781419008538,2,0.0006343199768692207,0.001953947627300637,50,8.325497364997863,1.1588129819793889,1,0.00023960307365559507,0.0007988615518879327,100,18.976876819133757,2.2401482416305813,1,0.0,0.0,200,36.144532561302185,5.684000626531754,1,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,2,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,2,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.2975003644082965,0.15922333914150036,30,4.580322778224945,0.6496651404701003,2,0.17449903960502763,0.1455577533692808,50,8.437441229820251,1.1355390672883057,1,0.12321067872851713,0.09217684991299616,100,18.822875380516052,2.353269403978591,1,0.0656293515719919,0.07239869619014482,200,38.54686051607132,4.665758183080562,1,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,2,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.08114809757737977,0.04931932989130895,30,4.440011000633239,0.5147327756351083,2,0.0561937412270566,0.03841492026189634,50,10.079298913478851,1.154273956470469,1,0.026456200645978655,0.01822185700955806,100,18.946680986881255,2.5407333491124686,1,0.017799045087127076,0.029313737516806396,200,36.06936948299408,5.180529593087302,1,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,2,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
