Dataset,Rows,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
redis,4400,0.48231505455839274,0.0210654752166128,30,0.1722480177879333,0.0019127845795363558,3,0.47142715018151093,0.018464074475131154,50,0.3069990396499634,0.0016652573082332445,3,0.4627650859414076,0.018319649228258194,100,0.59901362657547,0.021655303247233856,2,0.4343791353088336,0.017602352918666724,200,1.0046138048171998,0.028746791719057176,1,0.4724382595542999,0.02510778874901423,30,0.184548008441925,0.0017590606911519853,3,0.46007539903429684,0.026684667206893237,50,0.26700979471206665,0.015274804804170272,2,0.4406981349203904,0.025128387533042112,100.0,0.4943146824836731,0.003784396836343153,1.0,0.4221715154003217,0.02397158175214984,200.0,1.2666542053222656,0.01989011057033146,1.0
rs-6d-c3_obj1,3840,0.011715318379352744,0.02293639715997035,30,0.1889033675193786,0.0006906355878645628,2,0.00455427589235999,0.010442495962313397,50,0.31777827739715575,0.00436310304989938,2,0.0012270488158422246,0.0016911028198518618,100,0.43816936016082764,0.0068593716835120035,1,0.0007339289413798903,0.0007009574430415403,200,1.1552605390548707,0.09771430985254223,1,0.008017699128735269,0.016748882617410088,30,0.19399069547653197,0.0014394079923631044,2,0.0063265592793760915,0.013242869418181927,50,0.27070131301879885,0.010746930791952882,2,0.006174052038409754,0.01323500440548977,100.0,0.541822862625122,0.06777801160252958,2.0,0.006098406162053218,0.013266995133525434,200.0,1.2778124451637267,0.22567734476356843,2.0
rs-6d-c3_obj2,3840,0.00035894636271436014,0.0008093847444459925,30,0.1736413717269897,0.0034529021091303717,2,6.511263856490146e-06,3.90194089347415e-06,50,0.17410855293273922,0.0012327619096112474,1,3.7945133957328904e-06,2.8340976188934043e-06,100,0.5960902214050293,0.027187976847069355,1,2.4776432194006936e-06,4.806811104463456e-07,200,1.079635214805603,0.030156760046350428,1,0.0002666896090573353,0.000807092370308159,30,0.1327035069465637,0.0005490119279327617,2,0.00013462534250419735,0.0005867988931514853,50,0.3037330389022827,0.004995145864999764,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sol-6d-c2-obj1,2866,0.014626386517553328,0.0003983524702019931,30,0.09782172441482541,0.0010914414896283967,2,0.014487855194861204,0.00028907071805621344,50,0.16140729188919062,0.0031570506084840984,2,0.014301154903661078,0.00022714733505683053,100,0.5929755926132202,0.03425044871298079,1,0.01426566229259565,0.0002354640379203347,200,1.2557557582855225,0.08163388575982392,1,0.014683528706560506,0.0007716130714760466,30,0.16441180706024167,0.0036124742882915136,2,0.0145982816014153,0.0006380913282502224,50,0.28810139894485476,0.002320509334502614,2,0.014520460886273415,0.0006418748539884013,100.0,0.34316856861114503,0.007043996660054066,2.0,0.014435508901996259,0.0006654428035046836,200.0,0.956806230545044,0.0265408863676469,1.0
storm,1557,0.00010486047921279356,3.242994396487867e-05,30,0.16096386909484864,0.0025447098612157567,2,9.186744540918506e-05,2.769355104313978e-05,50,0.30223536491394043,0.005492650049146975,1,7.198965294446522e-05,2.2446387369472275e-05,100,0.5654430389404297,0.022339210313618598,1,6.424818861298412e-05,1.824714268392562e-05,200,0.9293626308441162,0.01549214468395658,1,0.00014055440450150609,0.00013597169794943328,30,0.1913966298103332,0.0013964761778937646,2,0.00013668750108547173,0.0001369250623527483,50,0.3187990427017212,0.00835572942668832,2,0.00012530895784568878,0.00013385684269743144,100.0,0.6502413988113404,0.006066646756108881,2.0,0.00012035250932631379,0.00013244906597013382,200.0,1.3219483852386475,0.01413202649392115,2.0
wc+rs-3d-c4-obj1,196,0.013044619561827089,0.021688370857589352,30,0.14732390642166132,0.004286921495295031,1,0.00856369161769995,0.016450845062352774,50,0.270434296131134,0.019861934919354132,1,0.0073436289120417,0.01620739138201704,100,0.36222043037414553,0.08242846591833547,1,0.0036102906881247806,0.0021092570237515504,200,0.38241573572158816,0.1247968558014676,1,0.05168684417549065,0.0730767840770078,30,0.10313080549240108,0.007564786302500497,2,0.022730248006894625,0.032183956433295566,50,0.14813213348388668,0.024086183615547093,1,0.007814438386385139,0.015968819246130667,100.0,0.31879233121871947,0.10848261666282583,1.0,0.007814438386385139,0.015968819246130667,200.0,0.22006380558013916,0.13011442297915815,1.0
wc+sol-3d-c4-obj1,196,0.009806635368583701,0.020399314055641025,30,0.17189401388168335,0.009030963132024788,1,0.0064483079387589945,0.015415674231601678,50,0.15206903219223017,0.010987486487577202,1,0.006082708165555615,0.014152599160750068,100,0.4125593066215515,0.08524131176767837,1,0.0024689146842119354,0.002058070367073311,200,0.3257041335105896,0.1038702508072829,1,0.08872439004401998,0.1137027622838302,30,0.17575867176055904,0.005638475735669748,2,0.06292292625337481,0.10303572165039857,50,0.21227427721023556,0.02901653352275423,2,0.0525967017048475,0.10553777507640606,100.0,0.347398567199707,0.13063133493103715,2.0,0.04608220604331339,0.10651209528524688,200.0,0.4674718379974365,0.28817531862338447,2.0
wc+wc-3d-c4-obj1,196,0.018863151083432277,0.04162900626435521,30,0.19356395006179805,0.00598752392352873,1,0.005480729741384075,0.004670896848676276,50,0.25917495489120485,0.0225419417637269,1,0.004254525453910565,0.0034982195358399166,100,0.342551589012146,0.07639355752920673,1,0.004111591933167285,0.0030965085167105207,200,0.8996177434921264,0.2452103627441386,1,0.07275293505082271,0.08232744618698527,30,0.15357353687286374,0.007970280182141454,2,0.05397000897876921,0.0780915531978173,50,0.5107699394226074,0.09305825840205018,2,0.009114350283438086,0.02406165660683589,100.0,0.274685800075531,0.10065721762763422,1.0,0.0037172212337145045,0.0022061707641210233,200.0,0.3729520201683044,0.16929381630935808,1.0
wc-6d-c1-obj1,2880,0.015519883543153984,0.033037738901859175,30,0.0998319029808044,0.001118568053199623,1,0.00839018790261371,0.027576199546258496,50,0.2822034239768982,0.008513425120109825,1,0.007936927270667575,0.026909932878240495,100,0.5377587795257568,0.04103525726958681,1,0.006600824696243632,0.02591228817183645,200,0.8732889056205749,0.11772094841317882,1,0.1054697445824494,0.06657767163097454,30,0.1403271079063415,0.0011886263323195713,2,0.09510886328267312,0.07289981062585725,50,0.2422736406326294,0.021763953634704344,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
x264,53662,0.21245800089103736,0.026235276006663318,30,0.15784996747970576,0.0063058731314247106,3,0.1969859164871621,0.026030360232456785,50,0.16647143363952632,0.005685401587210583,2,0.1684700433923619,0.01876282070967574,100,0.5177399158477783,0.016575652526493605,1,0.14664629366427054,0.020679688675890318,200,0.7153208255767822,0.012776458026574424,1,0.1887548076600573,0.029213841448116992,30,0.15172959566116329,0.0009745790248553262,2,0.17346573878242075,0.03082067908096772,50,0.22317098379135128,0.00182458787819679,1,0.1544372496122987,0.03024909462617695,100.0,0.47724491357803345,0.003404710419904292,1.0,0.1497589400165789,0.03237105178403624,200.0,1.009277582168579,0.014352426671276954,1.0
