Dataset,Rows,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier
HSQLDB,864,0.00508184228534131,0.0025619224609803935,30.0,0.1322850108146667,0.002729329358658806,2.0,0.004304153557728194,0.0024626399540042436,50,0.23905867338180536,0.004799319866725684,2,0.0028741087801117554,0.0016937135064281365,100,0.5539015173912049,0.052421318921027825,1,0.0026727248812768055,0.001663810689708573,200,0.7193794250488281,0.18572552125027034,1,0.0023132417008482347,0.0008358248190488725,30,0.14455200433731075,0.0068215221593753055,1,0.00212520154976876,0.0006794363509191151,50,0.2640703797340393,0.015702574814915726,1,0.0016922008379361552,7.750282750107084e-05,100.0,0.558160126209259,0.0328418361055869,1.0,0.0016088007413008298,4.368202570009043e-05,200,1.2469638466835022,0.07558767037701923,1
Health-ClosedIssues0000,10000,0.22556502347604193,0.08023777707800607,30.0,0.5184089183807373,0.029287701218812367,2.0,0.17299808937074157,0.03838602417166189,50,0.5221880316734314,0.005115050477079347,1,0.15699591308852015,0.024152919506827075,100,1.0121297478675841,0.024935399549324895,1,0.14612666430616333,0.015732388157624348,200,3.3667085766792297,0.18311752024398792,1,0.1854922942386426,0.030817196446781055,30,0.35265369415283204,0.022835636723112222,1,0.16692007818836954,0.020567770417081462,50,0.7085200905799866,0.0817406213805811,1,0.14835694672908875,0.00981258648572437,100.0,1.1859367489814758,0.07592361697045712,1.0,0.14098372014687993,0.004681290502791263,200,2.3457741022109984,0.03390677580049335,1
Health-ClosedIssues0001,10000,0.453420436497033,0.016544282016828952,30.0,0.3373239040374756,0.004040373544887378,3.0,0.4458168801921568,0.015151076357149332,50,0.7533977270126343,0.059637204405229696,2,0.4392779319355327,0.01339895284121733,100,1.0627246260643006,0.017477053865193878,1,0.4305160996804262,0.01840006707095746,200,1.5028490543365478,0.25513314459460174,1,0.45295331654092913,0.017252824289983936,30,0.35251606702804567,0.025693483024021004,3,0.4436145591117232,0.024083496863583492,50,0.6277548193931579,0.03488445926676207,2,0.4373317094466077,0.02620538736869666,100.0,1.1855552077293396,0.006343761757650866,1.0,0.4345011094693326,0.025157281421943328,200,2.3418216586112974,0.012811609148994532,1
Health-ClosedIssues0002,10000,0.17265536049491842,0.02474689741133235,30.0,0.2972469687461853,0.0024348405235026125,3.0,0.15978686497298272,0.038829708381962806,50,0.5053765416145325,0.0062564238203547074,2,0.14339357767327096,0.04311858775553809,100,1.8240296006202699,0.09186029797139421,1,0.12602316573041103,0.04122530103087639,200,1.3716166019439697,0.2760169486434337,1,0.17882779636638302,0.007008487557915416,30,0.378667950630188,0.03654641038926818,3,0.17874635694213398,0.007000203307603153,50,0.5910214304924011,0.043676585558332995,3,0.16018827865055524,0.03638877889327388,100.0,1.2258816957473755,0.07500335138218359,2.0,0.14231084594813914,0.04649413827247885,200,2.5565746426582336,0.1430076282650122,1
Health-ClosedIssues0003,10000,0.24566410596909477,0.039330170033363636,30.0,0.43576819896698,0.005937535536419998,3.0,0.20932098874532595,0.03766165327403081,50,0.7810497641563415,0.01397080045567687,2,0.17897943515021192,0.031520272347887256,100,2.05495525598526,0.045280006141352726,1,0.15606705342527433,0.02411322954491311,200,3.1629761457443237,0.3058569064991546,1,0.18840529519174076,0.038358596757951176,30,0.596832275390625,0.0426050427390693,1,0.17382364545281428,0.029896818800352873,50,1.0756274819374085,0.060299948044387715,1,0.14932121750753924,0.005482614141736436,100.0,1.3301778197288514,0.13654323472606905,1.0,0.14440987931521682,0.0041123475659546995,200,4.351706683635712,0.15165823874542153,1
Health-ClosedIssues0004,10000,0.2856327511295836,0.011414049999480497,30.0,0.40952301025390625,0.0032266920662000586,3.0,0.27863651473916623,0.00986136791288884,50,0.6756913542747498,0.005052813987630507,2,0.2698094835239026,0.00568574221948364,100,1.0446866154670715,0.030098136271516376,1,0.26523597605719684,0.00587869998816972,200,3.1689626932144166,0.28187074141485596,1,0.28819520511720587,0.011322737474601356,30,0.5803221464157104,0.04186579352582298,3,0.2803220488814542,0.007147981990958011,50,0.946501362323761,0.04222990472023305,2,0.27580900007668935,0.007657103550275125,100.0,2.023308074474335,0.05124057570495054,1.0,0.27214149242704033,0.006298608336165378,200,3.9299302816390993,0.027776478875623404,1
Health-ClosedIssues0005,10000,0.23944208373742876,0.005437491050193628,30.0,0.44946794509887694,0.0048472274393941495,3.0,0.23799126255497516,0.00551426672174069,50,0.8567539572715759,0.069866015927989,2,0.2343351977492397,0.0036237621499943698,100,1.8791954159736632,0.03784413467601566,1,0.22981137482456723,0.003721405350478682,200,2.255636990070343,0.2019357411063879,1,0.24017655618732206,0.004713909364272751,30,0.5846823215484619,0.043874013416679715,3,0.23693643168421463,0.0054321586751914204,50,0.9093310832977295,0.05413032641126922,2,0.23475594693836838,0.005362351203304825,100.0,1.9337641954421998,0.04858611358470974,1.0,0.23203384793689413,0.004554122630428329,200,3.638904404640198,0.15804484637889563,1
Health-ClosedIssues0006,10000,0.12469462988795235,0.010706877053017063,30.0,0.44169405698776243,0.0027208160982279505,4.0,0.10992827087983748,0.015145902394833616,50,0.6523247241973877,0.08696644229043256,2,0.09459948612019248,0.01193230070795221,100,1.212043583393097,0.15757046957356602,1,0.08478223387317477,0.010553465849906416,200,4.0426781415939335,0.11685970509529041,1,0.11704846643100401,0.0116632886752796,30,0.5111225008964538,0.06125946925125908,3,0.10986377267536726,0.01396807110920043,50,0.8261987805366516,0.055022505687676374,2,0.10198000764514148,0.009777608810064385,100.0,2.0758312940597534,0.04446216147952547,1.0,0.09579630120861896,0.011905564167814365,200,3.5689719557762145,0.1728552799004128,1
Health-ClosedIssues0007,10000,0.46793330379285375,0.08503887486974047,30.0,0.44279606342315675,0.003984183679084816,2.0,0.4084123589335558,0.06734153422312933,50,0.7614056587219238,0.01578352371332779,1,0.36906360685485756,0.06634741636579133,100,1.6269268989562988,0.14860453601169954,1,0.3339630246373911,0.038456269523396154,200,1.8660770416259767,0.3631099365571243,1,0.5310340215207048,0.0639402325482218,30,0.5042503714561463,0.0592272310549277,4,0.49072491340015506,0.060768043451968755,50,0.8666575670242309,0.09869518646643374,3,0.44128358288831404,0.05249774101058089,100.0,1.7115557074546814,0.09813599811214738,2.0,0.4192382972559646,0.0335109721541516,200,3.6375300526618957,0.1551160252312139,1
Health-ClosedIssues0008,10000,0.3120549402279571,0.05450608496398433,30.0,0.47156769037246704,0.009602673788040701,2.0,0.27911304350272004,0.043046839501486314,50,0.7567784667015076,0.05351827322983563,2,0.2621909077123603,0.033983610888992065,100,1.2060765862464904,0.1317693830969186,1,0.2487836681191284,0.024374979308570036,200,2.9465630531311033,0.22865129543090199,1,0.2853411462208778,0.06538682054085408,30,0.4732944965362549,0.05230327770393239,2,0.25631735764900243,0.013787512004546183,50,0.9205079913139343,0.04817122769755558,1,0.24826384717958852,0.00808979758985091,100.0,1.5978625297546387,0.10128110579444628,1.0,0.2430333425073278,0.004560744434278786,200,3.0499614477157593,0.18466723661943585,1
