Dataset,Rows,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.4311053018881325,0.05938228401212684,30,0.4960823655128479,0.038423806957737235,3,0.4126136685000111,0.08257101046730325,50,0.8353560566902161,0.053696091181014406,3,0.38953322121212314,0.09450750601574898,100,1.1625093698501587,0.16645890778886965,2,0.35620726429500715,0.10452081926069683,200,3.246354305744171,0.14547534630217437,2,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,1,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.4877835524850518,0.007716545376256462,30,0.4985537648200989,0.03572057881787797,3,0.48516255127812535,0.008163866194300207,50,0.8409752607345581,0.05990038538371777,3,0.48127896735424897,0.011511389637722408,100,1.5593839287757874,0.12034365254616142,2,0.47695294406546573,0.013449247051357851,200,3.1908856630325317,0.17433016309879518,1,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.14579240174813518,0.09754208934405159,30,0.518478512763977,0.03408848887476306,2,0.10512068599399801,0.08427165477163011,50,0.7277774572372436,0.03956489624112273,2,0.07212364346380659,0.06823718585357062,100,1.522927451133728,0.06736968550694912,1,0.04541559548163584,0.06315328103266792,200,2.418863022327423,0.1745487462222611,1,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,1,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30,0.2772157311439514,0.018922206912723817,1,0.0,0.0,50,0.46793498992919924,0.03398634114071734,1,0.0,0.0,100,0.9533465266227722,0.0799348448164196,1,0.0,0.0,200,1.8538512706756591,0.09532895768094762,1,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.02112422895040175,1.9059202359400131e-16,30,0.517840850353241,0.032875202560161666,2,0.021123456414235537,3.454886765526663e-06,50,0.6214664936065674,0.033756454859947,2,0.021123456414235537,3.454886765526663e-06,100,1.4013762831687928,0.05065722989641958,2,0.02111611793867798,3.627354716135365e-05,200,2.8092043876647947,0.19070472783095133,2,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,2,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,2,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,2.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,1.0
Health-ClosedPRs0003,10000,0.08308143211089546,5.359374185123254e-05,30,0.4333693504333496,0.023579089458290115,2,0.08300785947074338,0.00033500149166965304,50,0.800937807559967,0.04739561284201404,2,0.0829760639181292,0.00036749876997756994,100,2.867797076702118,0.1947589964110144,2,0.08284802668743085,0.0005261043152881867,200,2.5661407232284548,0.18294556087834013,1,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,2,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,2,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,2.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,1.0
Health-ClosedPRs0004,10000,0.5394983312705302,0.17352965657306535,30,0.3945336937904358,0.02906657131673162,2,0.4864604908695259,0.1695610179508821,50,0.6647836089134216,0.037574025376233056,2,0.4398340460855158,0.15226456410480102,100,0.899439787864685,0.054619802202746565,2,0.3805385612585266,0.12283979836193266,200,3.1969941020011903,0.1387266078791844,1,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,1,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.01873885666921552,0.0460683961790574,30,0.3987621426582336,0.03285562890920798,2,0.008198644454517732,0.012596457668836358,50,0.6735038161277771,0.06183447663343062,1,0.001978327315635081,0.004504986327174798,100,1.4589032173156737,0.1170071952859824,1,0.0012352133883243481,0.0040919589081267116,200,2.7885979294776915,0.214886311265082,1,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,1,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.5220683605736881,0.1294886456153136,30,0.3517420649528503,0.021750426014896938,3,0.46596549215250127,0.17680120360160106,50,0.449172043800354,0.03588690673547161,3,0.3664268360923165,0.22497037533374967,100,1.1799071669578551,0.050072635233519264,2,0.2292551564549196,0.21074900136437377,200,2.363990545272827,0.16425188043516126,1,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,1,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.23158956935649838,0.15109886715020038,30,0.26574360132217406,0.017846805602443738,3,0.20374584471847396,0.14651792476707654,50,0.6466391086578369,0.03880790025690871,3,0.1375939376722296,0.12954501777076838,100,1.342941677570343,0.11053836132857531,2,0.08715808338386326,0.11570808843523042,200,2.348047339916229,0.1680195137492287,1,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,1,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
