Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier
SS-K,2880,0.09317841909808515,0.03567303463400198,30,5.95401177406311,0.6767662915337168,2,0.079996437749659,0.026410073864618137,50,8.796830034255981,1.1209279460671464,2,0.07156931823578669,0.017262480938275013,100,17.91027612686157,2.5035372375093745,1,0.06507369210518509,0.002835355683641,200.0,37.46666238307953,4.187581308396374,1.0,0.08132835240193688,0.027160331979116093,30,0.2024578213691711,0.001116054519143811,2,0.07053720507040342,0.013711095046004729,50,0.34202823638916013,0.005064313743643489,1,0.06540966530066837,0.0030036946203004077,100.0,0.725806474685669,0.016412708391002194,1.0,0.06475694341135776,0.002669631967314028,200,5.058494579792023,0.11805239472760966,1
SS-L,1023,0.20909662762251124,0.07327161749510457,30,4.698170614242554,0.8463989789277729,2,0.17436807530032766,0.004083049878072005,50,7.692365384101867,1.1726223821098336,1,0.1707018077746511,0.0030421880553986713,100,15.013380205631256,2.3308379228889615,1,0.169878187741782,0.0022329862141601394,200.0,32.325112426280974,4.021775139421856,1.0,0.17863203312522022,0.008290957172848556,30,0.38347909450531004,0.007542939376831065,1,0.17178125973304653,0.0031308759581955077,50,0.5153432250022888,0.03232856751356993,1,0.16897986817940383,0.0008550037470601166,100.0,1.1866846561431885,0.10207363127476458,1.0,0.16897986817940383,0.0008550037470601166,200,2.6762710332870485,0.25462705530037005,1
SS-M,864,0.00486168994685493,0.0013536148566361088,30,5.9113470077514645,1.0495589269159822,2,0.004555400290736066,0.0016304737724437707,50,9.108965992927551,1.1590245532635994,2,0.0035038407052223794,0.0003861492300853769,100,23.23439438343048,2.146750862004471,1,0.003368855345030465,8.216787612320223e-05,200.0,40.788995039463046,5.295193066602391,1.0,0.00477465562952566,0.0008722224305577848,30,0.30258357524871826,0.004043775387782301,2,0.004083944910535815,0.0004342544882965543,50,0.70913245677948,0.014459188621622295,1,0.00366225094381379,0.0002502405937657899,100.0,1.6116500496864319,0.18118719436923791,1.0,0.003468966539317045,0.00013558872723317054,200,1.708725905418396,0.2917194790791299,1
SS-N,53662,0.14955924170220844,0.0129254395645691,30,8.74712837934494,1.1008367174447944,3,0.13855531755090084,0.01243039924738222,50,13.986693954467773,1.4250606234355663,2,0.12034916057135887,0.015204038956813985,100,32.58939249515534,3.4171577941083173,1,0.11808439313690862,0.01596543429954265,200.0,73.48081003427505,4.465395379870693,1.0,0.1581445993495953,0.014203283310427313,30,0.2657391786575317,0.003674364473693739,4,0.15070221770106712,0.006405229812256887,50,0.6486284375190735,0.015086681406425573,3,0.14486659926506143,0.004807967881695394,100.0,0.9556329727172852,0.023657626744125856,2.0,0.1415917434915431,0.005582598073112771,200,1.9820337772369385,0.06355136054302987,2
SS-O,972,0.19236030706271784,0.010506194260003949,30,5.436647260189057,0.7449300246649566,2,0.18749736554206056,0.01037878660380972,50,8.849236047267913,1.1294949130535905,1,0.18319682316484004,0.005828089576195634,100,18.321339225769044,3.0183244935807645,1,0.18114571724971543,0.003291784687966309,200.0,38.773081195354465,4.604777128377991,1.0,0.197057190350032,0.03309308749832286,30,0.28249419927597047,0.003702704640539003,2,0.193610978768612,0.032376687393254146,50,0.5213739395141601,0.008653714279735138,2,0.19129414051729637,0.03073598314848058,100.0,0.9714906215667725,0.019340199776509588,2.0,0.18569411964449628,0.02184754470474408,200,2.158272445201874,0.1246845505376456,1
SS-P,1023,0.19770928429169535,0.06156980563089995,30,3.5708405137062074,0.7652436508241678,2,0.17353164280413816,0.005024840642920208,50,6.190704166889191,1.346091665605127,1,0.17071497278653305,0.0032646532324175476,100,15.191893923282624,2.1054349331157582,1,0.16979133170162675,0.0017714965349601465,200.0,20.47784972190857,6.029582600555235,1.0,0.17863203312522022,0.008290957172848556,30,0.3379186987876892,0.01800903867276231,1,0.17178125973304653,0.0031308759581955077,50,0.47704302072525023,0.009080740181489683,1,0.16897986817940383,0.0008550037470601166,100.0,1.0928969264030457,0.0836874443121764,1.0,0.16897986817940383,0.0008550037470601166,200,3.0380896806716917,0.14297622800968915,1
SS-Q,2736,0.060196451447140774,0.0014352961451546402,30,4.544285321235657,0.5589560416983027,2,0.05977496394154538,0.0016014192152039228,50,7.013751459121704,1.1126186004268437,2,0.05923784517726677,0.0012443877829985516,100,13.626113057136536,2.9687208649761265,1,0.05775052276583416,0.0005492457868587293,200.0,25.77995345592499,6.608775506641275,1.0,0.06144563142748789,0.001638217227687598,30,0.5336063265800476,0.4448844247850782,3,0.06024279325159769,0.0015436309794213605,50,0.7988776326179504,0.011861980734918617,2,0.058962929723431166,0.0010892818939468936,100.0,1.3551363468170166,0.046531280961525645,1.0,0.058162728561837976,0.0006128225301606603,200,2.513888251781464,0.23779139629400453,1
SS-R,3008,0.18025322526499948,0.018664398553101466,30,4.925942587852478,0.7619115226845471,2,0.17328235550152835,0.008008076340478329,50,7.247882914543152,1.1359574696682317,1,0.1710355855676776,0.006697628109454308,100,13.490423679351807,3.759752373242029,1,0.1699085092369449,0.007118297240069496,200.0,38.43153014183044,5.459577707214494,1.0,0.17889058790666726,0.012569743944805515,30,0.3100345849990845,0.005589386457264465,2,0.17459992976997774,0.007755318240466241,50,0.6701957821846009,0.01478149822447949,1,0.1719587096305797,0.00775062230290107,100.0,1.0941612720489502,0.030580249250928535,1.0,0.17019182025990556,0.006995387851829692,200,2.0179813861846925,0.19607367040733834,1
SS-S,3840,0.061939526127754205,0.03720359532816267,30,4.239006149768829,0.7085047831793105,2,0.03759006725047831,0.02849296244781814,50,6.667358756065369,0.897770768920995,1,0.018830118866310426,0.019224124316384938,100,12.885828578472138,3.1429954616927596,1,0.01939175022410458,0.02190172540578605,200.0,22.47727781534195,6.34503340606142,1.0,0.06265763635992869,0.04237186100416459,30,0.27762651443481445,0.03330450445062146,2,0.04794387312775826,0.03437784250370844,50,0.5145133256912231,0.005527852963279702,2,0.027101659387954086,0.01566474288731128,100.0,1.1032055497169495,0.07133851911722203,1.0,0.023555939435185535,0.015607428084479126,200,1.9587890386581421,0.040078185028498185,1
SS-T,5184,0.04210755435153585,0.021564185623897898,30,6.028405869007111,0.7211465919592891,2,0.03561226686038217,0.02149770958423472,50,10.283178639411926,0.8671644083673207,2,0.024922575037345324,0.016283225782970798,100,12.41329300403595,3.24404836002892,1,0.017075558090012148,0.0034044032266112895,200.0,23.640232849121094,6.29788308524228,1.0,0.051559706409190956,0.02415663566713463,30,0.2580016732215881,0.0319837044311188,3,0.034062821732796594,0.018944600300244786,50,0.5679975390434265,0.020754926937642065,2,0.020763696409037292,0.007012134902618883,100.0,0.6057297706604003,0.09389475309937025,1.0,0.01704392007444758,0.0011727899346126896,200,1.5130914211273194,0.048611577036014084,1
