Dataset,Rows,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
Health-ClosedIssues0009,10000,0.42374627007331817,0.06766366512461369,30.0,0.5170037269592285,0.02403317464100293,2.0,0.41425514376158795,0.07998346629599229,50,0.8572513937950135,0.05003971447434327,2,0.4016307734579209,0.08153664420105035,100,1.8900062441825867,0.17997188636892542,2,0.3889863181196125,0.08283672981747735,200,3.0237758636474608,0.2847758149009584,2,0.3254036295151357,0.07532139650285374,30,0.3083476543426514,0.002157789582643529,1,0.28438663272042985,0.060664337438611604,50,0.9975992202758789,0.04228364802193406,1,0.25116207850909367,0.015603958276607077,100.0,0.9899099111557007,0.16277053491081872,1.0,0.24511884421027225,0.007781540656928413,200.0,1.4695609927177429,0.5329344678139737,1.0
Health-ClosedIssues0010,10000,0.48960032618431243,0.005995500477072769,30.0,0.509471321105957,0.023109503923929787,3.0,0.4861020061077294,0.007227906341491313,50,0.8055105805397034,0.034861511296181466,3,0.4806985395186798,0.009892430095604893,100,1.7920066714286804,0.067679484121569,2,0.47420869847922786,0.012620157889341456,200,3.866352045536041,0.17719259960007316,1,0.4856254987124692,0.00829915264253748,30,0.5842599987983703,0.011948828480001932,3,0.4823334239448619,0.008974322067893989,50,0.9431380510330201,0.011149725447544384,2,0.47416154379257225,0.011639354872739344,100.0,1.0034124612808228,0.03511106640457472,1.0,0.4701170828880993,0.010697261118567957,200.0,4.3864482045173645,0.24620456423475184,1.0
Health-ClosedIssues0011,10000,0.1402629293760938,0.10895086691316368,30.0,0.5237903475761414,0.03224721910609881,2.0,0.10233915667695462,0.08849755944402989,50,0.8450314998626709,0.043185771166422145,2,0.06984499062999362,0.06966545498002119,100,1.5658769488334656,0.06556476939681258,1,0.04541505396058832,0.051642976216849525,200,2.1051201462745666,0.19716433472369457,1,0.054727421319181756,0.050532824943200355,30,0.4026386022567749,0.003580906301742123,1,0.029064098094686103,0.03864778765177889,50,0.7842666983604432,0.025078544849425732,1,0.010343415230766585,0.014615204817448848,100.0,2.0194377064704896,0.05281406498625237,1.0,0.008612117120917778,0.014421478627102411,200.0,3.7792304039001463,0.12449893934110476,1.0
Health-ClosedPRs0000,10000,0.0,0.0,30.0,0.26825478076934817,0.012199417309607686,1.0,0.0,0.0,50,0.46357648372650145,0.02177855912762923,1,0.0,0.0,100,1.2497156381607055,0.0673368006624867,1,0.0,0.0,200,2.001007413864136,0.13692760619233552,1,0.0,0.0,30,0.34649966955184935,0.004888445840987482,1,0.0,0.0,50,0.6437401413917542,0.01053043811830232,1,0.0,0.0,100.0,1.1463876247406006,0.009514950998465272,1.0,0.0,0.0,200.0,2.349835216999054,0.010122661381812868,1.0
Health-ClosedPRs0002,10000,0.021039602935538127,0.0003784590437999581,30.0,0.9419538736343384,0.0533528637205342,1.0,0.021039602935538127,0.0003784590437999581,50,0.6775986790657044,0.038147464664423036,1,0.021003599682731865,0.000403412433422701,100,1.4721888542175292,0.10855392183953196,1,0.02087999313265509,0.0005971988869701449,200,2.8213212370872496,0.17694989072172648,1,0.02112422895040175,1.9059202359400131e-16,30,0.47042858600616455,0.01354465217131605,1,0.02112422895040175,1.9059202359400131e-16,50,0.7562434077262878,0.010684092003275488,1,0.02112422895040175,1.9059202359400131e-16,100.0,1.7376758933067322,0.04633218780725769,1.0,0.020968427541655902,0.00047965401413825853,200.0,3.219956159591675,0.1488026012779558,1.0
Health-ClosedPRs0003,10000,0.08307943187924896,6.253904971617812e-05,30.0,0.4265834212303162,0.02088354243952444,2.0,0.08301522337265657,0.00034968822066448215,50,0.7997879266738892,0.031300892173513215,2,0.08300961347690014,0.0003747764371806081,100,1.477075982093811,0.10839047519953417,2,0.0829799929532967,0.0004147173433102458,200,3.8773307323455812,0.21883445709027394,2,0.08306859963433172,9.550018837741373e-05,30,0.48908478021621704,0.01103976723850422,2,0.08306693634065913,9.611443445091022e-05,50,0.939457106590271,0.029258050820893274,2,0.08305814450018256,9.843453414945946e-05,100.0,1.531432294845581,0.15428269880405535,2.0,0.08283068598298962,0.00046615598212556566,200.0,3.0804282903671263,0.35833317018860383,1.0
Health-ClosedPRs0004,10000,0.5550719019578298,0.13005037059093388,30.0,0.3983659267425537,0.021373091356890875,3.0,0.5075976493619885,0.13251657949186502,50,0.777922785282135,0.06369612284268512,3,0.4396617712610234,0.14679985508593957,100,1.276141059398651,0.07932797569096094,2,0.3716242052613611,0.12082189092727541,200,3.1194326996803285,0.23863399904987947,1,0.36125547571242833,0.11766463671691983,30,0.3000466346740723,0.003845440847856424,1,0.30841546353214944,0.07845471105566078,50,0.5375490665435791,0.030028786249803895,1,0.2855231606655969,0.00967016007915782,100.0,1.5786893367767334,0.20317383293208174,1.0,0.2825180002112452,0.007156826552906758,200.0,2.9257997989654543,0.5645369059417271,1.0
Health-ClosedPRs0005,10000,0.017147837481998322,0.05246196397231816,30.0,0.4840352773666382,0.025399801882828203,2.0,0.004969488820763422,0.010999093726592846,50,0.4319731593132019,0.020424585978438645,1,0.00216696708137418,0.004658060461225543,100,1.2562345027923585,0.05410501139090234,1,0.00045670395860277223,0.0012285574047937854,200,2.684136247634888,0.22381198387636314,1,0.0014885966640536266,0.0040904737959492465,30,0.4660868883132935,0.007802821622303301,1,0.0009985947199816986,0.004048019995260112,50,0.5116507053375244,0.014915121171803908,1,0.00048470205818784966,0.0019299222695123072,100.0,1.523836040496826,0.17546498930117962,1.0,0.00021983375820131814,0.0007688229524572989,200.0,2.810558795928955,0.3129215048250524,1.0
Health-ClosedPRs0006,10000,0.507239000659184,0.1309062636505204,30.0,0.4112225890159607,0.020513522688768795,3.0,0.47773562324146035,0.16284446804339148,50,0.6443867564201355,0.033979536322024655,3,0.3534654272215714,0.20819808943428383,100,1.5543054699897767,0.07196305525655627,2,0.26568016208396766,0.24394083685143214,200,2.6446173429489135,0.13926613951966785,1,0.22557134175029595,0.18348609493632492,30,0.46990797519683836,0.00815834326545993,1,0.1533517807020865,0.15387797352977728,50,0.7054710388183594,0.037501135380351346,1,0.10885007978875234,0.1389296468510617,100.0,1.2677817702293397,0.12935672835083112,1.0,0.09628755025836784,0.14232728535189432,200.0,3.3672889113426208,0.4421188185265602,1.0
Health-ClosedPRs0007,10000,0.29076469505952474,0.13587636564969996,30.0,0.3689642310142517,0.015775103735596995,3.0,0.23045997384998268,0.14369873991436996,50,0.6535292387008667,0.034119761575546644,3,0.15782098456831453,0.13188395164610267,100,1.2031891703605653,0.0646700364660867,2,0.11130711557166229,0.12535889077441437,200,2.44067804813385,0.18462706116907335,1,0.10743599303539324,0.10106441012046591,30,0.5471264481544494,0.008934037283369901,1,0.0436466419533104,0.044130473180707626,50,0.49677534103393556,0.010210343230989006,1,0.02276945441228031,0.015388945091917036,100.0,3.311468207836151,0.2547194874295752,1.0,0.01932872842885251,0.013905538527351788,200.0,3.4005688309669493,0.40038780575803257,1.0
Health-ClosedPRs0008,10000,0.7246545108167475,0.16229654219325043,30.0,0.2704958200454712,0.010284679795698432,3.0,0.6837971556924195,0.16837599072229217,50,0.6299597740173339,0.027646320424273823,3,0.6316604180915465,0.16282091444786279,100,1.184983777999878,0.05482026662309648,3,0.5574279137466254,0.15105814855248564,200,2.3569955229759216,0.17159604400403683,2,0.5576964136362242,0.12627331232457079,30,0.30874587297439576,0.004923288466971367,2,0.4507049359345726,0.17394344733742115,50,0.523919141292572,0.041166032643355575,1,0.41551516594012694,0.19070314132406876,100.0,0.8853743314743042,0.22077849031838748,1.0,0.4139035651532866,0.19156863527327325,200.0,2.4730019211769103,1.1422557951300678,1.0
